gene	mean	n	rank_among_all_genes	n_genes
TACSTD2	2.9180095414688494	1517	8367	19193
CLDN1	3.2656886272136636	1517	7510	19193
CLDN2	0.7054707901514006	1517	13264	19193
CLDN3	1.7481771368493535	1517	10761	19193
CLDN4	3.8793880087030943	1517	5906	19193
CLDN5	0.2599240014913297	1517	15383	19193
CLDN6	0.47738791725386737	1517	14144	19193
CLDN7	3.3524369637274156	1517	7303	19193
CLDN8	0.22194004819391977	1517	15658	19193
CLDN9	0.7713329543757989	1517	13059	19193
CLDN10	0.4585979710473917	1517	14225	19193
CLDN11	1.6226210648909385	1517	11004	19193
CLDN12	4.346668931907859	1517	4615	19193
CLDN14	0.23464074186420825	1517	15549	19193
CLDN15	2.8837136468586775	1517	8436	19193
CLDN16	0.6422045557047347	1517	13486	19193
CLDN17	0.01898912646567103	1517	18163	19193
CLDN18	0.24070301055721485	1517	15501	19193
CLDN19	0.07264498738054673	1517	17112	19193
CLDN20	0.3089528789222843	1517	15037	19193
CLDN22	0.061769843553885165	1517	17266	19193
CLDN23	1.1173093326824894	1517	12094	19193
CLDN24	0.09360709739662111	1517	16851	19193
CLDN25	0.00454900078655069	1517	18762	19193
CLDN34	0.039149944704683845	1517	17637	19193
