layer	cohort	gene	n_lines_in_cohort	n_quantified	n_pairwise_vs_TACSTD2	rho_vs_TACSTD2	p_vs_TACSTD2	median_abundance	mean_abundance	q_vs_TACSTD2	in_confirmatory_family	rank_rho_among_claudins	rank_median_among_claudins	n_claudins_tested
protein	ALL_CANCERS	CLDN1	375	312	312	0.3740381948368141	8.502519779808715e-12	-0.23113700248514352	-0.10999565435104697	1.9130669504569612e-11	True	5	3	9
protein	ALL_CANCERS	CLDN2	375	81	81	0.1084914182475158	0.3349978329536728	-0.404078998018055	0.083626688891933	0.3349978329536728	True	8	7	9
protein	ALL_CANCERS	CLDN3	375	295	295	0.32183103200052354	1.555473992063995e-08	-0.34090574285569	-0.12798367414200962	2.7998531857151908e-08	True	6	6	9
protein	ALL_CANCERS	CLDN4	375	197	197	0.6185563288536458	3.4747719907650856e-22	-0.0680274584733476	-0.047821355041511734	1.5636473958442886e-21	True	1	2	9
protein	ALL_CANCERS	CLDN6	375	216	216	0.48480810678860187	3.924192804272894e-14	-0.336695815256714	-0.359251312981846	1.1772578412818684e-13	True	3	5	9
protein	ALL_CANCERS	CLDN7	375	278	278	0.6107500630449407	8.204775587658234e-30	-0.46324918232337553	-0.16314330319859216	7.384298028892411e-29	True	2	8	9
protein	ALL_CANCERS	CLDN11	375	126	126	0.10846944131983503	0.2266618071459836	-0.592372947949065	-0.12708174911941775	0.29142232347340746	True	9	9	9
protein	ALL_CANCERS	CLDN12	375	160	160	0.4205467010430095	3.081190368116247e-08	-0.04894274530878395	0.0018080531008271394	4.621785552174371e-08	True	4	1	9
protein	ALL_CANCERS	CLDN16	375	9	9	0.0	1.0	-0.830980547007516	0.055565165416723614		False			9
protein	ALL_CANCERS	CLDN18	375	90	90	0.11205498621228958	0.29302760991824195	-0.2679629924299825	-0.1481180903365838	0.3296560611580222	True	7	4	9
