gene	median	n	rank_among_all_proteins	n_proteins
TACSTD2	-0.743133675781582	375	12043	12196
CLDN1	-0.23113700248514352	312	10184	12196
CLDN2	-0.404078998018055	81	11065	12196
CLDN3	-0.34090574285569	295	10772	12196
CLDN4	-0.0680274584733476	197	7587	12196
CLDN5		0		12196
CLDN6	-0.336695815256714	216	10753	12196
CLDN7	-0.46324918232337553	278	11315	12196
CLDN8		0		12196
CLDN9		0		12196
CLDN10		0		12196
CLDN11	-0.592372947949065	126	11762	12196
CLDN12	-0.04894274530878395	160	6619	12196
CLDN14		0		12196
CLDN15		0		12196
CLDN16	-0.830980547007516	9	12134	12196
CLDN17		0		12196
CLDN18	-0.2679629924299825	90	10404	12196
CLDN19		0		12196
CLDN20		0		12196
CLDN22		0		12196
CLDN23		0		12196
CLDN24		0		12196
CLDN25		0		12196
CLDN34		0		12196
