layer	cohort	n_lines	n_TACSTD2	n_CLDN4	n_pairwise_TACSTD2_CLDN4	rho_TACSTD2_CLDN4	p_TACSTD2_CLDN4	CLDN4_rank_rho_among_claudins	CLDN4_rank_median_among_claudins	n_claudins_tested	top_claudin_by_rho	top_rho
RNA	ALL_CANCERS	1517	1517	1517	1517	0.7140260754208457	7.818927175482941e-237	2.0	4.0	24	CLDN7	0.7256020094184968
RNA	LINEAGE:Biliary Tract	42	42	42	42	0.7025975749036341	2.1407559877904435e-07	2.0	1.0	23	CLDN7	0.7969364348860809
RNA	LINEAGE:Bladder/Urinary Tract	37	37	37	37	0.74158368895211	1.5122334400937936e-07	1.0	1.0	23	CLDN4	0.74158368895211
RNA	LINEAGE:Bone	43	43	43	43	0.6195845378938125	9.416573529115937e-06	4.0	4.0	24	CLDN3	0.700903572760736
RNA	LINEAGE:Bowel	80	80	80	80	0.3927401443435905	0.00031405445518388166	3.0	1.0	23	CLDN9	0.5240805354420446
RNA	LINEAGE:Breast	67	67	67	67	0.4855232965148976	3.119512134830457e-05	4.0	1.0	24	CLDN7	0.5570443684240974
RNA	LINEAGE:CNS/Brain	97	97	97	97	0.4256674931923472	1.3825130814577924e-05	5.0	4.0	23	CLDN7	0.5255353826668292
RNA	LINEAGE:Cervix	20	20	20	20	0.6902255639097743	0.0007563948378339712	2.0	3.0	23	CLDN16	0.7037593984962407
RNA	LINEAGE:Esophagus/Stomach	73	73	73	73	0.6031346898477393	1.632202868678863e-08	2.0	1.0	24	CLDN9	0.6168609285367143
RNA	LINEAGE:Fibroblast	39	39	39	39	0.213721528849832	0.19140956874421966	7.0	5.0	23	CLDN2	0.4891343480963517
RNA	LINEAGE:Head and Neck	65	65	65	65	0.6418706293706294	8.307253792398461e-09	2.0	3.0	24	CLDN7	0.6809877622377623
RNA	LINEAGE:Kidney	46	46	46	46	0.1356387158942278	0.368763123707389	10.0	3.0	23	CLDN16	0.5596740727395266
RNA	LINEAGE:Liver	27	27	27	27	-0.17237176694591086	0.38992697747654126	18.0	3.0	24	CLDN18	0.4344765052236211
RNA	LINEAGE:Lung	204	204	204	204	0.606775395411263	6.642019438965092e-22	2.0	1.0	24	CLDN7	0.6217572472575369
RNA	LINEAGE:Lymphoid	166	166	166	166	0.6801865671655777	6.903754291252288e-24	1.0	3.0	24	CLDN4	0.6801865671655777
RNA	LINEAGE:Myeloid	62	62	62	62	0.6462894601285217	1.3994869266722109e-08	1.0	4.0	23	CLDN4	0.6462894601285217
RNA	LINEAGE:Ovary/Fallopian Tube	67	67	67	67	0.633535539475671	8.72090166104511e-09	1.0	4.0	23	CLDN4	0.633535539475671
RNA	LINEAGE:Pancreas	54	54	54	54	0.5948006408224611	2.1065907856788632e-06	1.0	1.0	24	CLDN4	0.5948006408224611
RNA	LINEAGE:Peripheral Nervous System	40	40	40	40	0.35014924603780395	0.026762758121725027	12.0	3.0	22	CLDN2	0.6389318623331307
RNA	LINEAGE:Pleura	22	22	22	22	0.625181451140298	0.0018634629478391602	1.0	5.0	22	CLDN4	0.625181451140298
RNA	LINEAGE:Skin	95	95	95	95	0.5393000907199	1.7125976061675923e-08	3.0	4.0	23	CLDN3	0.6747541357620999
RNA	LINEAGE:Soft Tissue	56	56	56	56	0.2364673914042695	0.07932310751754394	7.0	3.0	23	CLDN24	0.34691420156611946
RNA	LINEAGE:Uterus	40	40	40	40	0.645709226400046	6.817223204878909e-06	1.0	3.0	24	CLDN4	0.645709226400046
protein	ALL_CANCERS	375	375	197	197	0.6185563288536458	3.4747719907650856e-22	1.0	2.0	9	CLDN4	0.6185563288536458
protein	LINEAGE:Bowel	30	30	21	21	0.13246753246753248	0.567048530648251	3.0	3.0	4	CLDN12	0.45
protein	LINEAGE:Breast	30	30	19	19	0.7035087719298245	0.0007772711951260765			3	CLDN4	0.7035087719298245
protein	LINEAGE:Esophagus/Stomach	28	28	12	12	0.7132867132867133	0.009201779777634764			3	CLDN4	0.7132867132867133
protein	LINEAGE:Lung	76	76	44	44	0.703875968992248	9.813589251845172e-08	1.0	1.0	7	CLDN4	0.703875968992248
protein	LINEAGE:Lymphoid	24	24	7	7	-0.14285714285714288	0.7599453002180927			1	CLDN1	0.3984962406015037
protein	LINEAGE:Pancreas	20	20	7	7	0.7500000000000002	0.0521814004570578			0	CLDN4	0.7500000000000002
protein	LINEAGE:Skin	33	33	23	23	0.3448616600790514	0.10705938492033767	2.0	4.0	5	CLDN11	0.6503496503496504
