symbol	present	ensembl	log2FC	stat	pvalue	padj	baseMean
TACSTD2	True	ENSG00000184292	-3.26327041610181	-17.0947928935181	1.62271488282816e-65	1.94563514451096e-61	1165.094548292
CLDN4	True	ENSG00000189143	0.284440042778056	1.51736701724038	0.1291740464809	0.46637365651771	746.470927429133
CLDN7	True	ENSG00000181885	0.51048843124066	2.99024281166948	0.0027875576331619	0.0569383577880956	430.420328146759
B2M	True	ENSG00000166710	0.538924757008079	1.97193102886256	0.0486174805703344	0.29970364629219	10776.6112810955
HLA-A	True	ENSG00000206503	0.628420754384249	1.80831953573956	0.0705567830846006	0.355452029069059	230.432815941531
HLA-B	True	ENSG00000234745	0.561791689055904	1.93068219171256	0.0535223665202389	0.31215738115169	3866.53917030144
HLA-C	True	ENSG00000204525	0.698859043983182	2.27712974206901	0.0227784790911015	0.195921064779273	86.3257889923133
STAT1	True	ENSG00000115415	0.744280479003958	2.46670180089502	0.0136363866166786	0.14756342557218	599.036040253244
ISG15	True	ENSG00000187608	1.44016729014779	4.41783124652845	9.96962098626179e-06	0.0012323273775801	201.182946556651
IFI44L	True	ENSG00000137959	1.64801398577492	5.07546867464842	3.8654203705513e-07	0.0001077823028904	100.806949099535
MX1	True	ENSG00000157601	0.933901312861352	2.66203873412252	0.0077668940207575	0.105513824223238	740.507293343462
