dataset	contrast	gene_set	human_symbol	assayed_symbol	log2FC	pvalue	FDR	n	note
GSE50927	baseline KO vs WT	MHC_APM	ERAP2	Erap2	NA	NA	NA	NA	not assayed or below expression filter
GSE50927	baseline KO vs WT	MHC_APM	HLA-A	H2-K1	-0.070918061	0.724031147	1.0	2.0	submitter edgeR; whole mouse lung
GSE50927	baseline KO vs WT	MHC_APM	HLA-B	H2-D1	0.354590336	0.066866018	0.48248859	2.0	submitter edgeR; whole mouse lung
GSE50927	baseline KO vs WT	MHC_APM	HLA-C		NA	NA	NA	NA	not assayed or below expression filter
GSE50927	baseline KO vs WT	MHC_APM	NLRC5	Nlrc5	0.747974933	0.004173122	0.092615153	2.0	submitter edgeR; whole mouse lung
GSE50927	baseline KO vs WT	MHC_APM	PDIA3	Pdia3	0.195243782	0.164834934	0.749684047	2.0	submitter edgeR; whole mouse lung
GSE50927	baseline KO vs WT	MHC_APM	PSMB10	Psmb10	0.367612833	0.014323027	0.203986117	2.0	submitter edgeR; whole mouse lung
GSE50927	baseline KO vs WT	MHC_APM	PSMB8	Psmb8	0.431991771	0.026174502	0.290707433	2.0	submitter edgeR; whole mouse lung
GSE50927	baseline KO vs WT	MHC_APM	PSMB9	Psmb9	0.901806032	0.001094233	0.037343278	2.0	submitter edgeR; whole mouse lung
GSE50927	baseline KO vs WT	MHC_APM	PSME1	Psme1	0.199192675	0.179477569	0.782806359	2.0	submitter edgeR; whole mouse lung
GSE50927	baseline KO vs WT	MHC_APM	PSME2	Psme2	0.239154212	0.145031728	0.702189081	2.0	submitter edgeR; whole mouse lung
GSE50927	baseline KO vs WT	MHC_APM	TAP1	Tap1	0.183633493	0.441394482	1.0	2.0	submitter edgeR; whole mouse lung
GSE50927	baseline KO vs WT	MHC_APM	TAP2	Tap2	-0.008632457	0.962929036	1.0	2.0	submitter edgeR; whole mouse lung
GSE50927	baseline KO vs WT	MHC_APM	TAPBP	Tapbp	0.104827622	0.471505925	1.0	2.0	submitter edgeR; whole mouse lung
GSE207704	T47D KO vs WT	IFN_ISG	ADAR	ADAR	-0.08426267992406707	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	T47D KO vs WT	IFN_ISG	BST2	BST2	-3.5913726764914817	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	T47D KO vs WT	IFN_ISG	CMPK2	CMPK2	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	T47D KO vs WT	IFN_ISG	CXCL10	CXCL10	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	T47D KO vs WT	IFN_ISG	CXCL11	CXCL11	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	T47D KO vs WT	IFN_ISG	CXCL9	CXCL9	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	T47D KO vs WT	IFN_ISG	DDX58	DDX58	-0.2633283468251895	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	T47D KO vs WT	IFN_ISG	DHX58	DHX58	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	T47D KO vs WT	IFN_ISG	EIF2AK2	EIF2AK2	0.18443340513907056	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	T47D KO vs WT	IFN_ISG	IFI27	IFI27	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	T47D KO vs WT	IFN_ISG	IFI35	IFI35	-1.8555154233226252	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	T47D KO vs WT	IFN_ISG	IFI44	IFI44	-2.7607929420586004	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	T47D KO vs WT	IFN_ISG	IFI44L	IFI44L	0.23872319438508485	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	T47D KO vs WT	IFN_ISG	IFI6	IFI6	-1.3530224323312459	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	T47D KO vs WT	IFN_ISG	IFIH1	IFIH1	-0.4018378822831552	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	T47D KO vs WT	IFN_ISG	IFIT1	IFIT1	-0.029861165758550638	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	T47D KO vs WT	IFN_ISG	IFIT2	IFIT2	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	T47D KO vs WT	IFN_ISG	IFIT3	IFIT3	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	T47D KO vs WT	IFN_ISG	IFITM1	IFITM1	0.1816258927303184	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	T47D KO vs WT	IFN_ISG	IFITM2	IFITM2	0.653111887021768	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	T47D KO vs WT	IFN_ISG	IFITM3	IFITM3	0.14391726260802232	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	T47D KO vs WT	IFN_ISG	IRF7	IRF7	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	T47D KO vs WT	IFN_ISG	IRF9	IRF9	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	T47D KO vs WT	IFN_ISG	ISG15	ISG15	-1.905566472904706	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	T47D KO vs WT	IFN_ISG	ISG20	ISG20	-0.6147696924354853	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	T47D KO vs WT	IFN_ISG	LY6E	LY6E	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	T47D KO vs WT	IFN_ISG	MX1	MX1	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	T47D KO vs WT	IFN_ISG	MX2	MX2	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	T47D KO vs WT	IFN_ISG	OAS1	OAS1	-0.6124965148229619	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	T47D KO vs WT	IFN_ISG	OAS2	OAS2	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	T47D KO vs WT	IFN_ISG	OAS3	OAS3	-0.6171259296999624	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	T47D KO vs WT	IFN_ISG	OASL	OASL	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	T47D KO vs WT	IFN_ISG	RSAD2	RSAD2	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	T47D KO vs WT	IFN_ISG	STAT1	STAT1	0.10411344070600272	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	T47D KO vs WT	IFN_ISG	STAT2	STAT2	0.015490782107799911	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	T47D KO vs WT	IFN_ISG	TRIM21	TRIM21	-0.9227038545682676	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	T47D KO vs WT	IFN_ISG	TRIM22	TRIM22	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	T47D KO vs WT	IFN_ISG	USP18	USP18	-0.3478015085446971	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	T47D KO vs WT	IFN_ISG	XAF1	XAF1	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	T47D KO vs WT	MHC_APM	B2M	B2M	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	T47D KO vs WT	MHC_APM	CALR	CALR	-0.20513588697577537	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	T47D KO vs WT	MHC_APM	CANX	CANX	0.15871908826457418	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	T47D KO vs WT	MHC_APM	ERAP1	ERAP1	-0.4119432531226879	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	T47D KO vs WT	MHC_APM	ERAP2	ERAP2	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	T47D KO vs WT	MHC_APM	HLA-A	HLA-A	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	T47D KO vs WT	MHC_APM	HLA-B	HLA-B	NA	NA	NA	NA	not assayed or below expression filter
GSE207704	T47D KO vs WT	MHC_APM	HLA-C	HLA-C	-0.49893653488167977	NA	NA	2.0	log2 ratio of submitted mean FPKM; genes with mean FPKM < 0.5 dropped
GSE207704	T47D KO vs WT	MHC_APM	NLRC5	NLRC5	NA	NA	NA	NA	not assayed or below expression filter
