dataset	contrast	gene_set	human_symbol	assayed_symbol	log2FC	pvalue	FDR	n	note
GSE22493	SKOV-3 KD	IFN_ISG	IFIT1	IFIT1	-2.0257	0.055391903334707976	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	IFN_ISG	IFIT2	IFIT2	-0.38763333333333333	0.7433280120414376	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	IFN_ISG	IFIT3	IFIT3	-0.013533333333333397	0.9859553218863034	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	IFN_ISG	IFITM1	IFITM1	NA	NA	NA	NA	not assayed or below expression filter
GSE22493	SKOV-3 KD	IFN_ISG	IFITM2	IFITM2	1.0762166666666666	0.34443181985175214	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	IFN_ISG	IFITM3	IFITM3	NA	NA	NA	NA	not assayed or below expression filter
GSE22493	SKOV-3 KD	IFN_ISG	IRF7	IRF7	0.27286666666666665	0.324220340097066	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	IFN_ISG	IRF9	IRF9	NA	NA	NA	NA	not assayed or below expression filter
GSE22493	SKOV-3 KD	IFN_ISG	ISG15	ISG15	0.48323333333333335	0.6200350302535708	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	IFN_ISG	ISG20	ISG20	-0.5500666666666666	0.8156722214073776	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	IFN_ISG	LY6E	LY6E	-0.10306666666666671	0.9466785705651736	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	IFN_ISG	MX1	MX1	0.3584	0.5593994377922237	0.9994726191160785	2.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	IFN_ISG	MX2	MX2	NA	NA	NA	NA	not assayed or below expression filter
GSE22493	SKOV-3 KD	IFN_ISG	OAS1	OAS1	0.22746666666666668	0.6697008418517798	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	IFN_ISG	OAS2	OAS2	0.8787333333333334	0.46184826980459703	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	IFN_ISG	OAS3	OAS3	0.4810999999999999	0.4053684413429014	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	IFN_ISG	OASL	OASL	-0.7057500000000001	0.7273307887501566	0.9994726191160785	2.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	IFN_ISG	RSAD2	RSAD2	NA	NA	NA	NA	not assayed or below expression filter
GSE22493	SKOV-3 KD	IFN_ISG	STAT1	STAT1	0.47235	0.14863750911863258	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	IFN_ISG	STAT2	STAT2	-0.4742166666666668	0.15566125412564513	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	IFN_ISG	TRIM21	TRIM21	NA	NA	NA	NA	not assayed or below expression filter
GSE22493	SKOV-3 KD	IFN_ISG	TRIM22	TRIM22	0.04866666666666666	0.9132432668199832	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	IFN_ISG	USP18	USP18	0.6320666666666667	0.7967431430396266	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	IFN_ISG	XAF1	XAF1	NA	NA	NA	NA	not assayed or below expression filter
GSE22493	SKOV-3 KD	MHC_APM	B2M	B2M	-1.1704	0.5642884359828393	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	MHC_APM	CALR	CALR	0.2361333333333333	0.41865845848163286	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	MHC_APM	CANX	CANX	-0.5918666666666667	0.5041784778661816	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	MHC_APM	ERAP1	ERAP1	NA	NA	NA	NA	not assayed or below expression filter
GSE22493	SKOV-3 KD	MHC_APM	ERAP2	ERAP2	NA	NA	NA	NA	not assayed or below expression filter
GSE22493	SKOV-3 KD	MHC_APM	HLA-A	HLA-A	-0.8463333333333333	0.4118322751102467	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	MHC_APM	HLA-B	HLA-B	-0.4496666666666666	0.7782518979587414	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	MHC_APM	HLA-C	HLA-C	-0.48213333333333336	0.5948749301527572	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	MHC_APM	NLRC5	NLRC5	NA	NA	NA	NA	not assayed or below expression filter
GSE22493	SKOV-3 KD	MHC_APM	PDIA3	PDIA3	NA	NA	NA	NA	not assayed or below expression filter
GSE22493	SKOV-3 KD	MHC_APM	PSMB10	PSMB10	-0.0841	0.6709900989602408	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	MHC_APM	PSMB8	PSMB8	0.4172833333333334	0.3517506635480519	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	MHC_APM	PSMB9	PSMB9	1.8998666666666668	0.09144333838702307	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	MHC_APM	PSME1	PSME1	-0.8122000000000001	0.42772936477849105	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	MHC_APM	PSME2	PSME2	0.3598666666666667	0.5599566207091772	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	MHC_APM	TAP1	TAP1	-0.34031666666666677	0.8248597563644622	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	MHC_APM	TAP2	TAP2	-1.2611333333333332	0.2984570403049446	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
GSE22493	SKOV-3 KD	MHC_APM	TAPBP	TAPBP	-0.45754999999999996	0.49445396820474347	0.9994726191160785	3.0	paired two-colour log2(KD/control); probes median-collapsed
