cut	predictor	endpoint	kind	n	n_q4	n_q1	metric	effect	p	median_q4	median_q1	delta_median	U	rank_biserial_q4_gt_q1	note
continuous_Spearman	CLDN4	CD8A	known	44			Spearman_rho	-0.4026779422128259	0.006729315354140171						already known leftover row
continuous_Spearman	CLDN4	CD8B	extra	44			Spearman_rho	-0.42043692741367156	0.004489036686900224						
continuous_Spearman	CLDN4	CD8sig (CD8A+CD8B mean-z)	extra	44			Spearman_rho	-0.45665961945031713	0.0018339492267522028						
continuous_Spearman	CLDN4	CD274	extra	44			Spearman_rho	-0.1689922480620155	0.2728130992836733						
continuous_Spearman	CLDN4	HLA-A	extra	44			Spearman_rho	-0.03977394109560374	0.7976909256798151						
continuous_Spearman	CLDN4	HLA-B	extra	44			Spearman_rho	-0.12073711115308179	0.4349873897310191						
continuous_Spearman	CLDN4	HLA-C	extra	44			Spearman_rho	0.12433439848129947	0.4213244790517617						
continuous_Spearman	CLDN4	HLA_I (HLA-A/B/C mean-z)	extra	44			Spearman_rho	0.0054265478027981425	0.9721119438244339						
continuous_Spearman	CLDN4	HLA-E	extra	44			Spearman_rho	-0.1956546314535698	0.20308651214549836						
continuous_Spearman	CLDN4	HLA-F	extra	44			Spearman_rho	-0.03721454787467711	0.8104621355842397						
continuous_Spearman	CLDN4	HLA-G	extra	44			Spearman_rho	-0.047632805872894576	0.7588139593949782						
continuous_Spearman	CLDN4	HLA-DRA	extra	44			Spearman_rho	-0.1386785362936082	0.3693156964614039						
continuous_Spearman	CLDN4	B2M	extra	44			Spearman_rho	-0.38514394470508895	0.00983289239174686						
continuous_Spearman	CLDN4	TACSTD2 (companion)	companion	44			Spearman_rho	0.6131078224101479	9.669179754306123e-06						
CLDN4_Q4_vs_Q1	CLDN4	CD8A	extra_primary	22	11	11	MWU_rank_biserial_Q4_gt_Q1	-0.5702479338842975	0.02557464990093702	3.923764778826803	4.654917391726836	-0.7311526129000332	26.0	-0.5702479338842975	CLDN4 Q4 vs Q1; endpoint CD8A
CLDN4_Q4_vs_Q1	CLDN4	CD8sig	extra	22	11	11	MWU_rank_biserial_Q4_gt_Q1	-0.6198347107438016	0.015115269356493486	-0.281264790656062	0.4611299849671705	-0.7423947756232325	23.0	-0.6198347107438016	CLDN4 Q4 vs Q1; endpoint CD8A+CD8B mean-z
CLDN4_Q4_vs_Q1	CLDN4	CD274	extra	22	11	11	MWU_rank_biserial_Q4_gt_Q1	-0.23966942148760328	0.35793336989339997	3.957209286789534	4.299902188392186	-0.34269290160265165	46.0	-0.23966942148760328	CLDN4 Q4 vs Q1; endpoint CD274
CLDN4_Q4_vs_Q1	CLDN4	HLA_I	extra	22	11	11	MWU_rank_biserial_Q4_gt_Q1	-0.04132231404958675	0.8954849014654552	-0.008236602411595852	-0.017288883591168397	0.009052281179572545	58.0	-0.04132231404958675	CLDN4 Q4 vs Q1; endpoint HLA-A/B/C mean-z
CLDN4_Q4_vs_Q1	CLDN4	HLA-A	extra	22	11	11	MWU_rank_biserial_Q4_gt_Q1	-0.09090909090909094	0.7412527744682345	5.346748743018642	6.996860784863142	-1.6501120418445003	55.0	-0.09090909090909094	CLDN4 Q4 vs Q1; endpoint HLA-A
CLDN4_Q4_vs_Q1	CLDN4	HLA-B	extra	22	11	11	MWU_rank_biserial_Q4_gt_Q1	-0.3553719008264463	0.1654972160408933	0.7227005116634986	3.8143545245167942	-3.0916540128532954	39.0	-0.3553719008264463	CLDN4 Q4 vs Q1; endpoint HLA-B
CLDN4_Q4_vs_Q1	CLDN4	HLA-C	extra	22	11	11	MWU_rank_biserial_Q4_gt_Q1	0.20661157024793386	0.41945934466651014	2.775782981670577	1.9563037928447031	0.8194791888258737	73.0	0.20661157024793386	CLDN4 Q4 vs Q1; endpoint HLA-C
CD8A_Q4_vs_Q1	CD8A	CLDN4	extra_primary	22	11	11	MWU_rank_biserial_Q4_gt_Q1	-0.4545454545454546	0.07623611561456439	6.8953994382050485	7.6863952624430185	-0.79099582423797	33.0	-0.4545454545454546	CD8A Q4 vs Q1; endpoint CLDN4
