item	n
GEO series samples (lung tumor RNA-seq)	44
Author count-matrix columns	44
Joined patient table (title = sample ID)	44
Unique patients	44
CLDN4 / CD8A / CD274 / HLA-A/B/C non-NA	44
CLDN4 Q1 / Q2 / Q3 / Q4	11 / 11 / 11 / 11
CD8A Q1 / Q2 / Q3 / Q4	11 / 11 / 11 / 11
Q4 vs Q1 used	11 vs 11
RECIST / DCB / PFS / MPR on GEO	0
HLA-I genes used	HLA-A,HLA-B,HLA-C
CD8sig genes used	CD8A,CD8B
