regulon	tf	kind	n_targets	mean_r	targets	n_cells	n_samples	note
ELF3_pearson_cldn4_high_tLung	ELF3	pearson_cldn4_high_tLung	50	0.19098769174651264	NEAT1;ZFP36;NFKBIA;KLF6;NFKBIZ;LMNA;SOX4;JUN;CCNL1;GPRC5A;IER3;FOSB;MALAT1;FOS;ATF3;MCL1;IER2;CXCL2;RHOB;RAB11FIP1;IER5;HES1;TACSTD2;SOCS3;ZFP36L2;JUNB;DUSP1;PVRL4;CEBPD;DUSP5;SAT1;TSC22D3;PIM3;VMP1;WSB1;STEAP4;CXCL8;CCND1;BCL6;NAPRT;NET1;EGR1;PLXNB2;MUC4;MAP3K8;CCDC64B;IRF2BP2;IFRD1;ICAM1;NR4A1	3174	10	tLung-only sensitivity; CLDN4-high within-sample; CLDN4 held out
GRHL1_pearson_cldn4_high_tLung	GRHL1	pearson_cldn4_high_tLung	50	0.21368671296965996	VSTM2L;PSCA;S100P;SNCG;IGKC;MUC4;SLC9A3R2;MAL2;CDC42EP5;LY6D;LSP1;S100A4;PVRL4;IGHG3;TTC9;HMGA1;MUC16;B3GNT7;NAPRT;GCLC;IGHG1;C9orf16;CCND1;IGLC2;ST14;UPK2;TMEM123;FAM3C;KRT17;ASS1;RNF141;KRT13;PAIP1;SMIM5;TNFRSF21;SPATS2L;EMP1;TMSB10;NET1;GPCPD1;IGF2BP2;CD99;IGFBP3;IRAK1;CD7;DUSP10;TSC22D3;CHMP4B;CRIP2;SERINC2	3174	10	tLung-only sensitivity; CLDN4-high within-sample; CLDN4 held out
GRHL2_pearson_cldn4_high_tLung	GRHL2	pearson_cldn4_high_tLung	50	0.07969786802167622	BDNF;NR1H4;TRIOBP;SALL1;ACTR2;ZNF667;MYH14;NUPR2;SCNN1A;ANKRD10;TGM1;GRIN1;DDX17;CKAP5;TPM4;TTC9;GREB1;PACSIN2;BMPR1B;TMEM184B;EIF5B;SLC6A3;S100A5;TNRC6B;PXN;MAGI1;PQLC3;CEND1;LHCGR;WIPF2;RABL6;ARHGAP35;VDR;WNT2;NRG3;RHOBTB3;SMIM19;UBE2G1;POLR2F;SH3GLB1;MYH11;RAB15;UBE2H;MYO1C;ARNTL2;GTF2I;UHMK1;MAPK1;THSD7A;DTX3L	3174	10	tLung-only sensitivity; CLDN4-high within-sample; CLDN4 held out
KLF4_pearson_cldn4_high_tLung	KLF4	pearson_cldn4_high_tLung	50	0.2686232306530599	FOSB;PPP1R15A;HEXIM1;BAIAP2;SERTAD1;ATF4;BRD2;ATF3;AREG;IER2;JUN;ARIH1;EGR1;TOB1;MIDN;DNAJB1;PLK3;GADD45B;MAFF;DDX5;EIF1;PPP1R1B;PDE4C;SNHG8;ZFAS1;RPL18;H3F3B;CCNL1;DDIT3;C11orf96;HPGD;CYR61;NEAT1;EGR2;OVOL1;SCGB3A2;TSC22D1;RHOB;BTG2;MYLIP;SNHG7;SGK1;HES1;ZC3H12A;C8orf4;DUSP1;RPS9;MT1E;SRSF5;JUNB	3174	10	tLung-only sensitivity; CLDN4-high within-sample; CLDN4 held out
KLF5_pearson_cldn4_high_tLung	KLF5	pearson_cldn4_high_tLung	50	0.19199742198279673	PPP1R15A;NFKBIA;EGR1;SFTA1P;IER2;FOSB;MAFF;JUNB;MCL1;BTG1;SGK1;ARIH1;C11orf96;AREG;BRD2;SERTAD1;PCF11;BTG2;KLF4;ATF4;ARL5B;HEXIM1;ERRFI1;ATF3;EIF4E;JUN;CXCL2;CYR61;ZFP36L1;CTGF;SAT1;EGR2;ZBTB43;PPP1R1B;CSRNP1;NEAT1;BAIAP2;TRIB1;GADD45B;PTRF;EIF5;DDX5;CCNL1;DDX3X;ZFP36;KLF6;TOB1;C8orf4;NR4A1;EPHA2	3174	10	tLung-only sensitivity; CLDN4-high within-sample; CLDN4 held out
OVOL1_pearson_cldn4_high_tLung	OVOL1	pearson_cldn4_high_tLung	50	0.17945506673771547	BRD2;BAIAP2;KLF4;PPP1R15A;HEXIM1;SNHG8;H3F3B;ARIH1;MAFF;GADD45B;IER2;PLK3;EGR2;PDE4C;SERTAD1;EIF4A2;CBX4;ZFAS1;DDIT3;SNHG7;H2AFX;RP11-350J20;FOSB;SNHG12;TOB1;ZC3H12A;BAG3;CCNL1;ATF4;PPP1R1B;SLC25A6;HES1;DDX5;RPL18;PPM1N;RP11-467L13;SCGB3A2;NFKBIA;EIF4A3;SRSF2;RPL13;C11orf96;MIDN;EGR1;RPL13A;RPS2;PSCA;MCL1;RPS5;TOB2	3174	10	tLung-only sensitivity; CLDN4-high within-sample; CLDN4 held out
OVOL2_pearson_cldn4_high_tLung	OVOL2	pearson_cldn4_high_tLung	50	0.11261277065711939	SLC9A3R2;IGHG4;VSTM2L;B3GNT7;IGKC;CRIP2;CLDN3;LY6K;MAL2;UNC93B1;TSC22D3;C6orf132;C9orf16;PLEC;SPTSSA;GOLM1;S100P;H1F0;SPOCK2;PSCA;BCAS4;SRD5A3;PNKD;TXNL4A;S100A4;PSMA7;TTC9;DYNLRB1;CERS6;CLDN6;SERPINF1;HSBP1L1;HTR2B;YIPF4;CAPS;GRINA;HOMER2;POLR2F;HDLBP;NXPH1;RHOBTB3;PPL;SLC39A6;PRAME;ARPC5;PTGDS;ST6GALNAC3;CRIP1;ATP1A3;H2AFY	3174	10	tLung-only sensitivity; CLDN4-high within-sample; CLDN4 held out
TFAP2A_pearson_cldn4_high_tLung	TFAP2A	pearson_cldn4_high_tLung	50	0.218800210084062	MARCKS;IGFBP3;CDKN2A;TGM2;RAC1;SPINT2;TMSB10;PLAU;MUC4;HEBP2;S100A2;TNFRSF21;ACTN4;CD99;HMGA1;COL1A1;SKAP2;KDELR2;ITGB8;LGALS1;FHL2;CRIP2;KRT17;DSP;LCN2;ST14;C19orf33;LSR;NRN1;TMEM123;FAM20C;CAPNS1;H2AFV;TRPM4;RALA;SOX11;CSTB;KRT19;MUC16;CLDN3;TNNT1;DSG2;VOPP1;FSCN1;PTGS2;MDK;FAM3C;TTYH3;EIF3B;SERINC2	3174	10	tLung-only sensitivity; CLDN4-high within-sample; CLDN4 held out
SP1_pearson_cldn4_high_tLung	SP1	pearson_cldn4_high_tLung	50	0.08271805347942734	TENM3;FAM120A;DDX17;WAC;LINC00969;SAV1;LASP1;FNIP2;PABPC1;NEAT1;AMOTL1;FOS;USP16;YME1L1;APLP2;IER3;PCYT1A;EGR1;EIF4E;MLXIP;YWHAZ;DUSP1;MCL1;ZNF354C;CAND1;ABHD2;MAP3K11;NFATC2;THUMPD3-AS1;ZFP36L1;KLF6;NONO;ERBB3;PLCL1;HNRNPUL2;CDH2;CLINT1;GNS;CDH1;SRRM2;DYNC1H1;RAB1A;PRR13;CTNND1;FXR1;SLC38A2;JUN;METRN;JUND;AHCYL1	3174	10	tLung-only sensitivity; CLDN4-high within-sample; CLDN4 held out
TP63_pearson_cldn4_high_tLung	TP63	pearson_cldn4_high_tLung	18	0.11867426515753952	NKX2-5;TRPM3;SNAP91;CA12;TLX2;PHLDB2;BMP2;UTF1;SFTPC;CTH;NPR1;GGTLC1;ACSL4;CPS1;TRERF1;AURKB;JUND;PHYH	3174	10	tLung-only sensitivity; CLDN4-high within-sample; CLDN4 held out
