tf	n_r10	n_top	mean_r_top	n_high_specific	det_high
ID4	599	50	0.283529859338752	93	0.17523773773773774
HEY1	239	50	0.32185019162233763	91	0.05880880880880881
SOX2	470	50	0.2712815583068299	75	0.22272272272272273
NR2F1	359	50	0.25686394381089916	64	0.1656031031031031
HDAC9	139	50	0.23468577093865314	57	0.05292792792792793
HIF3A	483	50	0.2949899326349808	56	0.06437687687687688
HMGA2	306	50	0.2085754025269953	47	0.10354104104104105
ID3	453	50	0.2165861602448049	40	0.3236361361361361
MEIS2	73	50	0.17494440745128287	34	0.12362362362362363
SERTAD1	601	50	0.256455176836579	31	0.42598848848848847
HOXB5	206	50	0.1879205365151066	29	0.10116366366366367
HOXC10	326	50	0.18129388226095547	29	0.07563813813813813
ZFP64	56	50	0.14910168014863096	21	0.11542792792792793
HOXC6	99	50	0.14754806130501935	20	0.05780780780780781
FOXC1	112	50	0.1510653627464581	18	0.12862862862862862
HMGA1	859	50	0.24738527074174257	17	0.6249374374374375
PLAGL1	388	50	0.2640583891043002	16	0.069507007007007
HOXC9	112	50	0.14944205691065526	16	0.08414664664664664
ARID3A	363	50	0.24170397029090576	14	0.19356856856856858
ID2	287	50	0.21760381297490192	13	0.32926676676676675
HOXB8	398	50	0.19828762286257617	13	0.07982982982982983
PPARG	152	50	0.15914282652220463	13	0.11893143143143144
CCND1	878	50	0.32240961018174785	11	0.6651651651651652
JUN	672	50	0.3128772956217626	11	0.8596096096096096
ZFP36	671	50	0.31020632049156566	11	0.6599724724724725
ELF3	767	50	0.292849317050244	11	0.8803178178178178
MXI1	225	50	0.17686778727504004	11	0.2686436436436436
MYCL	132	50	0.15096012030316394	11	0.07063313313313313
FOS	681	50	0.3056651826522104	10	0.8022397397397397
NFKBIA	773	50	0.2967525628212249	10	0.7953578578578578
IRF9	85	50	0.13573144701361717	10	0.11411411411411411
CRABP2	779	50	0.28304947511089246	9	0.6180555555555556
ID1	674	50	0.2513555821489414	9	0.5481731731731732
TSC22D1	495	50	0.22840018969425302	9	0.5598723723723724
HDAC2	486	50	0.17158049590212854	9	0.42117117117117114
SNAI1	128	50	0.15908942870539425	9	0.05349099099099099
MEF2C	95	50	0.13841323464949162	9	0.10172672672672672
XBP1	1174	50	0.3345598935553353	8	0.6917542542542543
TCF7L2	217	50	0.17060261222769962	8	0.30292792792792794
ATF1	152	50	0.16894348392306596	8	0.2555680680680681
TRIM31	138	50	0.16097838655019647	8	0.07982982982982983
EGR1	829	50	0.35667438429654824	7	0.585960960960961
ARNT2	340	50	0.24521244053054223	7	0.09503253253253253
EHF	320	50	0.20877288052899506	7	0.4247997997997998
HES4	678	50	0.20872958307797762	7	0.4577702702702703
PBX1	263	50	0.20381723036219962	7	0.19863613613613615
MAF	579	50	0.3559713242928237	6	0.11661661661661661
ATF3	817	50	0.33720254917856557	6	0.559496996996997
MUC1	826	50	0.2870631488792585	6	0.8642392392392393
MAFF	465	50	0.24937219492055557	6	0.32344844844844844
TSC22D3	534	50	0.24528064240792324	6	0.5441691691691691
TFDP2	311	50	0.20053418275626414	6	0.3280780780780781
PIAS1	72	50	0.13532729933952356	6	0.24443193193193194
NAB2	93	50	0.13219155564158722	6	0.20163913913913914
JUNB	570	50	0.30433841386360866	5	0.7982982982982983
NR4A1	573	50	0.2943461809557645	5	0.36098598598598597
BATF3	515	50	0.28452204457516533	5	0.08214464464464465
YBX1	1202	50	0.27572334930719866	5	0.8718718718718719
CREB3L1	706	50	0.2686219649417136	5	0.23836336336336336
IRX2	441	50	0.2513362100205957	5	0.19801051051051052
NFIA	380	50	0.2028791966149111	5	0.3122497497497497
CAMTA1	343	50	0.15293094503006213	5	0.6348223223223223
DNAJC1	112	50	0.12899975550213327	5	0.4139139139139139
FOSB	891	50	0.35288216040568465	4	0.6967592592592593
ENO1	920	50	0.271024610334315	4	0.9165415415415415
ONECUT3	403	50	0.26685418237557595	4	0.07044544544544544
SOX4	1186	50	0.25096237519912745	4	0.7707082082082082
