family	k	cohorts	malig_defs	tnk_def	score	n_patients	rho_TAC	p_TAC	I2_TAC	rho_CLDN	p_CLDN	I2_CLDN	stouffer_p_TAC	stouffer_p_CLDN	both_negative	tac_le_cut	cldn_le_cut	both_le_cut	weaker_rho	is_full_family	n_family_units
author_or_DRMref/tnk/mean	1	GSE131907	author_malig	tnk	mean	21	0.08181818181818182	0.7244098408074375	0.0	-0.39610389610389607	0.07547637795047248	0.0	0.7244098408074375	0.07547637795047248	False	False	True	False	0.08181818181818182	0	4
author_or_DRMref/tnk/mean	1	GSE205335	author_malig	tnk	mean	22	0.2840203274985884	0.20019815279526967	0.0	-0.20045172219085267	0.3710825718233011	0.0	0.20019815279526976	0.37108257182330107	False	False	False	False	0.2840203274985884	0	4
author_or_DRMref/tnk/mean	1	GSE207422	author_DRMref	tnk	mean	12	-0.4895104895104896	0.10625237175934595	0.0	-0.09090909090909093	0.7787253962454419	0.0	0.10625237175934599	0.7787253962454419	True	True	False	False	-0.09090909090909093	0	4
author_or_DRMref/tnk/mean	1	GSE325414	author_malig	tnk	mean	25	-0.07307692307692308	0.7284839479101775	0.0	-0.11923076923076922	0.5702629145851892	0.0	0.7284839479101775	0.5702629145851892	True	False	False	False	-0.07307692307692308	0	4
author_or_DRMref/tnk/mean	2	GSE131907+GSE205335	author_malig+author_malig	tnk	mean	43	0.18761511132502515	0.24813205517485049	0.0	-0.2987939229369048	0.06083736512529873	0.0	0.24447786664382753	0.060001626385160274	False	False	False	False	0.18761511132502515	0	4
author_or_DRMref/tnk/mean	2	GSE131907+GSE207422	author_malig+author_DRMref	tnk	mean	33	-0.17974309733148802	0.551851169555291	56.278969785519486	-0.30019427278501637	0.10752444293486588	0.0	0.5191197156286446	0.10661537617450499	True	False	False	False	-0.17974309733148802	0	4
author_or_DRMref/tnk/mean	2	GSE131907+GSE325414	author_malig+author_malig	tnk	mean	46	-0.003363400947262392	0.9830286033112196	0.0	-0.24909622562393258	0.10755581008419263	0.0	0.9832966692170017	0.10665465921807347	True	False	False	False	-0.003363400947262392	0	4
author_or_DRMref/tnk/mean	2	GSE205335+GSE207422	author_malig+author_DRMref	tnk	mean	34	-0.08613282951376305	0.8340836351350153	76.08549111314427	-0.1656489685826519	0.376327189077578	0.0	0.8890967009216368	0.3701961695609385	True	False	False	False	-0.08613282951376305	0	4
author_or_DRMref/tnk/mean	2	GSE205335+GSE325414	author_malig+author_malig	tnk	mean	47	0.09926852925835876	0.584968992845194	26.479234800720143	-0.15713770783697792	0.310306686569894	0.0	0.5367484634870573	0.3054969446564516	False	False	False	False	0.09926852925835876	0	4
author_or_DRMref/tnk/mean	2	GSE207422+GSE325414	author_DRMref+author_malig	tnk	mean	37	-0.22914521468823956	0.28878885135088395	26.714201441182745	-0.11102623128822188	0.5347793516876154	0.0	0.24492112576470193	0.5289494317244134	True	False	False	False	-0.11102623128822188	0	4
