family	k	cohorts	malig_defs	tnk_def	score	n_patients	rho_TAC	p_TAC	I2_TAC	rho_CLDN	p_CLDN	I2_CLDN	stouffer_p_TAC	stouffer_p_CLDN	both_negative	tac_le_cut	cldn_le_cut	both_le_cut	weaker_rho	is_full_family	n_family_units
strict_primary/tnk/pct	1	GSE205335	author_malig	tnk	pct	22	0.20835686053077357	0.3521105235596147	0.0	-0.43534726143421804	0.042861326301676765	0.0	0.3521105235596147	0.04286132630167677	False	False	True	False	0.20835686053077357	0	4
strict_primary/tnk/pct	1	GSE291670	marker_malig	tnk	pct	6	-0.4285714285714286	0.3965014577259473	0.0	-0.8857142857142858	0.01884548104956266	0.0	0.39650145772594725	0.018845481049562653	True	True	True	True	-0.4285714285714286	0	4
strict_primary/tnk/pct	1	GSE253013	marker_malig	tnk	pct	9	-0.8333333333333333	0.005265691029161747	0.0	-0.5333333333333333	0.13922686754397814	0.0	0.005265691029161756	0.1392268675439782	True	True	True	True	-0.5333333333333333	0	4
strict_primary/tnk/pct	1	GSE131907	author_malig	tnk	pct	21	-0.15064935064935067	0.5145138644694079	0.0	-0.5220779220779221	0.015195754492505785	0.0	0.514513864469408	0.015195754492505776	True	False	True	False	-0.15064935064935067	0	4
strict_primary/tnk/pct	2	GSE205335+GSE291670	author_malig+marker_malig	tnk	pct	28	0.08604508958996827	0.7410931988029977	13.916675951014696	-0.6549982320224481	0.07667756866314311	55.86993646457977	0.5811997688231425	0.005974153400498725	False	False	True	False	0.08604508958996827	0	4
strict_primary/tnk/pct	2	GSE205335+GSE253013	author_malig+marker_malig	tnk	pct	31	-0.4246248951113913	0.5196503566028263	88.97572204959346	-0.4599686574555623	0.012905818343269107	0.0	0.5783645505186539	0.012781291573153584	True	True	True	True	-0.4246248951113913	0	4
strict_primary/tnk/pct	2	GSE205335+GSE131907	author_malig+author_malig	tnk	pct	43	0.03383584644172044	0.8521248234919574	18.012871901354014	-0.4787109080847739	0.0015191063422345722	0.0	0.8319834175905108	0.001664127187209751	False	False	True	False	0.03383584644172044	0	4
strict_primary/tnk/pct	2	GSE291670+GSE253013	marker_malig+marker_malig	tnk	pct	15	-0.7356984096672734	0.007663751698148806	8.89013673279281	-0.7138342906922605	0.021746934493141492	23.203165014556042	0.00564344782183733	0.010368731173552442	True	True	True	True	-0.7138342906922605	0	4
strict_primary/tnk/pct	2	GSE291670+GSE131907	marker_malig+author_malig	tnk	pct	27	-0.19311202387538404	0.37014384048677806	0.0	-0.6759244700718828	0.028451655240091786	42.51345472934747	0.3555155913130088	0.0017169480825939222	True	False	True	False	-0.19311202387538404	0	4
strict_primary/tnk/pct	2	GSE253013+GSE131907	marker_malig+author_malig	tnk	pct	30	-0.5527425300948702	0.23218120963823485	79.73364555864526	-0.5249091413433457	0.004282646577779526	0.0	0.05003619870104904	0.0044863780733010545	True	True	True	True	-0.5249091413433457	0	4
strict_primary/tnk/pct	3	GSE205335+GSE291670+GSE253013	author_malig+marker_malig+marker_malig	tnk	pct	37	-0.41309252841523275	0.36714000776859135	78.64283120265945	-0.5497530584348814	0.0037284456505357667	11.739987103642694	0.4221516031093613	0.001799955349978993	True	True	True	True	-0.41309252841523275	0	4
strict_primary/tnk/pct	3	GSE205335+GSE291670+GSE131907	author_malig+marker_malig+author_malig	tnk	pct	49	-0.0022328739426372124	0.9887326820571801	0.0	-0.535823567034217	0.000561444606154653	11.824384199750579	0.9775379863615975	0.00024503327090116665	True	False	True	False	-0.0022328739426372124	0	4
strict_primary/tnk/pct	3	GSE205335+GSE253013+GSE131907	author_malig+marker_malig+author_malig	tnk	pct	52	-0.2932422757108408	0.3793749804041532	77.96702981842165	-0.48657558165555015	0.000490856413922465	0.0	0.397829835555788	0.0005220888946569729	True	False	True	False	-0.2932422757108408	0	4
strict_primary/tnk/pct	3	GSE291670+GSE253013+GSE131907	marker_malig+marker_malig+author_malig	tnk	pct	36	-0.5068367846299265	0.11394116779606377	59.51072957815302	-0.5876352081574302	0.0004610052919627057	0.0	0.03315439923341287	0.0005359686042413246	True	True	True	True	-0.5068367846299265	0	4
strict_primary/tnk/pct	4	GSE205335+GSE291670+GSE253013+GSE131907	author_malig+marker_malig+marker_malig+author_malig	tnk	pct	58	-0.30461923065548197	0.27541283932443006	67.96854842322566	-0.5286794479655534	6.604091398395499e-05	0.0	0.30113692111020884	7.688774884586447e-05	True	False	True	False	-0.30461923065548197	1	4
