accession	file	TACSTD2	CLDN4	CD274
GSE109010	GSE109010_Non-normalized_data.txt.gz	False	False	False
GSE110390	GSE110390_CP1108_NSCLC_21gene_expression.txt.gz	False	False	True
GSE110390	GSE110390_CP1108_UBC_21gene_expression.txt.gz	False	False	True
GSE115305	GSE115305_siglec9_counts_all.txt.gz	True	True	True
GSE121682	GSE121682_1_processed_22rv1_NT_vs_olaparib_6h_RatioData.csv.gz	False	False	False
GSE121682	GSE121682_2_processed_22rv1_NT_vs_olaparib_12h_RatioData.csv.gz	False	False	False
GSE121682	GSE121682_3_processed_22rv1_NT_vs_olaparib_18h_RatioData.csv.gz	False	False	False
GSE121682	GSE121682_4_processed_DU145_NT_vs_olaparib_6h_RatioData.csv.gz	False	False	False
GSE121682	GSE121682_5_processed_DU145_NT_vs_olaprib_12h_RatioData.csv.gz	False	False	False
GSE121682	GSE121682_6_processed_DU145_NT_vs_olaparib_18h_RatioData.csv.gz	False	False	False
GSE124199	GSE124199_Processed_data_matrix_Human_DCsubsets_LungCancer.txt.gz	True	True	True
GSE81089	GSE81089_FPKM_cufflinks.tsv.gz	True	True	True
GSE81089	GSE81089_readcounts_featurecounts.tsv.gz	True	True	True
GSE84789	GSE84789_fcount_primary_output.txt.gz	False	False	False
GSE91061	GSE91061_BMS038109Sample.hg19KnownGene.fpkm.csv.gz	True	True	True
GSE91061	GSE91061_BMS038109Sample.hg19KnownGene.raw.csv.gz	True	True	True
GSE91061	GSE91061_BMS038109Sample.hg19KnownGene.rld.csv.gz	True	True	True
GSE93157	GSE93157_raw_data_values.txt.gz	False	False	True
GSE99254	GSE99254_NSCLC.TCell.S11769.norm.centered.txt.gz	False	False	True
GSE99254	GSE99254_NSCLC.TCell.S12346.TPM.txt.gz	True	True	True
GSE99254	GSE99254_NSCLC.TCell.S12346.count.txt.gz	True	True	True
