accession	citation	regimen	pairing	contrast	n_pre	n_post	gene	metric	median_pre	median_post	direction	test	U	p	note
GSE207422	Hu et al. Genome Med 2023	neoadjuvant PD-1 + chemo	unmatched (different patients)	epi_all_post_vs_pre	3	12	TACSTD2	epithelial mean log1p(CP10K)	1.7669344732674872	1.5499217482801542	down	Mann-Whitney U (unpaired)	27.0	0.232967032967033	3 pre vs 12 post; sample unit; CopyKAT not on GEO
GSE207422	Hu et al. Genome Med 2023	neoadjuvant PD-1 + chemo	unmatched (different patients)	epi_nmpr_post_vs_pre	3	8	TACSTD2	epithelial mean log1p(CP10K)	1.7669344732674872	1.6955302888753436	down	Mann-Whitney U (unpaired)	15.0	0.6303030303030304	3 pre vs 8 NMPR post (residual tumor)
GSE207422	Hu et al. Genome Med 2023	neoadjuvant PD-1 + chemo	unmatched (different patients)	mal_all_post_vs_pre	2	7	TACSTD2	malignant-like mean log1p(CP10K)	1.813206747176458	1.8127463905552663	down	Mann-Whitney U (unpaired)	7.0	1.0	≥10 cells after dropping alveolar/club/ciliated epithelial
GSE207422	Hu et al. Genome Med 2023	neoadjuvant PD-1 + chemo	unmatched (different patients)	epi_all_post_vs_pre	3	12	CLDN4	epithelial mean log1p(CP10K)	1.5902823666729762	1.529394907470342	down	Mann-Whitney U (unpaired)	20.0	0.8395604395604395	3 pre vs 12 post; sample unit; CopyKAT not on GEO
GSE207422	Hu et al. Genome Med 2023	neoadjuvant PD-1 + chemo	unmatched (different patients)	epi_nmpr_post_vs_pre	3	8	CLDN4	epithelial mean log1p(CP10K)	1.5902823666729762	1.5771679587060898	down	Mann-Whitney U (unpaired)	13.0	0.9212121212121214	3 pre vs 8 NMPR post (residual tumor)
GSE207422	Hu et al. Genome Med 2023	neoadjuvant PD-1 + chemo	unmatched (different patients)	mal_all_post_vs_pre	2	7	CLDN4	malignant-like mean log1p(CP10K)	1.4674728462633264	1.342258099650346	down	Mann-Whitney U (unpaired)	8.0	0.8888888888888888	≥10 cells after dropping alveolar/club/ciliated epithelial
