n_pre	n_post	median_pre	median_post	delta_post_minus_pre	U	p	direction	test	note	accession	contrast	gene	metric	compartment	pairing	n_pre_patients	n_post_patients	pre_patients	post_patients	design_note
3	12	1.7669344732674872	1.5499217482801542	-0.21701272498733304	27.0	0.232967032967033	down	Mann-Whitney U (unpaired)		GSE207422	epi_all_post_vs_pre	TACSTD2	mean_log1p_cp10k	epithelial	unmatched	3	12	P01,P05,P08	P02,P03,P04,P06,P07,P09,P10,P11,P12,P13,P14,P15	unmatched 3 pre vs 12 post; epithelial (CopyKAT not deposited)
3	12	82.63157894736842	80.7165948275862	-1.9149841197822184	19.0	0.9450549450549449	down	Mann-Whitney U (unpaired)		GSE207422	epi_all_post_vs_pre	TACSTD2	pct_pos	epithelial	unmatched	3	12	P01,P05,P08	P02,P03,P04,P06,P07,P09,P10,P11,P12,P13,P14,P15	unmatched 3 pre vs 12 post; epithelial (CopyKAT not deposited)
3	12	1.5902823666729762	1.529394907470342	-0.060887459202634275	20.0	0.8395604395604395	down	Mann-Whitney U (unpaired)		GSE207422	epi_all_post_vs_pre	CLDN4	mean_log1p_cp10k	epithelial	unmatched	3	12	P01,P05,P08	P02,P03,P04,P06,P07,P09,P10,P11,P12,P13,P14,P15	unmatched 3 pre vs 12 post; epithelial (CopyKAT not deposited)
3	12	78.42105263157895	85.51229437528019	7.0912417437012465	9.0	0.232967032967033	up	Mann-Whitney U (unpaired)		GSE207422	epi_all_post_vs_pre	CLDN4	pct_pos	epithelial	unmatched	3	12	P01,P05,P08	P02,P03,P04,P06,P07,P09,P10,P11,P12,P13,P14,P15	unmatched 3 pre vs 12 post; epithelial (CopyKAT not deposited)
3	8	1.7669344732674872	1.6955302888753436	-0.07140418439214358	15.0	0.6303030303030304	down	Mann-Whitney U (unpaired)		GSE207422	epi_nmpr_post_vs_pre	TACSTD2	mean_log1p_cp10k	epithelial	unmatched	3	8	P01,P05,P08	P02,P04,P07,P09,P10,P12,P13,P15	unmatched pre vs NMPR post; epithelial
3	8	82.63157894736842	82.61309712116419	-0.018481826204236995	12.0	1.0	down	Mann-Whitney U (unpaired)		GSE207422	epi_nmpr_post_vs_pre	TACSTD2	pct_pos	epithelial	unmatched	3	8	P01,P05,P08	P02,P04,P07,P09,P10,P12,P13,P15	unmatched pre vs NMPR post; epithelial
3	8	1.5902823666729762	1.5771679587060898	-0.013114407966886343	13.0	0.9212121212121214	down	Mann-Whitney U (unpaired)		GSE207422	epi_nmpr_post_vs_pre	CLDN4	mean_log1p_cp10k	epithelial	unmatched	3	8	P01,P05,P08	P02,P04,P07,P09,P10,P12,P13,P15	unmatched pre vs NMPR post; epithelial
3	8	78.42105263157895	85.51229437528019	7.0912417437012465	7.0	0.3757575757575758	up	Mann-Whitney U (unpaired)		GSE207422	epi_nmpr_post_vs_pre	CLDN4	pct_pos	epithelial	unmatched	3	8	P01,P05,P08	P02,P04,P07,P09,P10,P12,P13,P15	unmatched pre vs NMPR post; epithelial
2	7	1.813206747176458	1.8127463905552663	-0.00046035662119159326	7.0	1.0	down	Mann-Whitney U (unpaired)		GSE207422	mal_all_post_vs_pre	TACSTD2	mean_log1p_cp10k	malignant-like	unmatched	2	7	P01,P05	P03,P04,P07,P09,P10,P12,P15	unmatched; ≥10 malignant-like (epithelial minus alveolar/club/ciliated)
2	7	82.57741509235233	84.44444444444444	1.8670293520921177	6.0	0.8888888888888888	up	Mann-Whitney U (unpaired)		GSE207422	mal_all_post_vs_pre	TACSTD2	pct_pos	malignant-like	unmatched	2	7	P01,P05	P03,P04,P07,P09,P10,P12,P15	unmatched; ≥10 malignant-like (epithelial minus alveolar/club/ciliated)
