geo_accession	title	source_name	strain	tissue	cell_type	genotype	developmental_stage	other_characteristics	matrix_file	platform_from_filename
GSM1313628	LP mouse Lung squamous cell carcinoma stroma cell, biological rep1	LP mouse Lung squamous cell carcinoma stroma cell	mixed 129/FVB	lung	stroma	Lkb1 -/- Pten-/-	Adult		GSE54352_series_matrix.txt.gz	
GSM1313629	LP mouse Lung squamous cell carcinoma stroma cell, biological rep2	LP mouse Lung squamous cell carcinoma stroma cell	mixed 129/FVB	lung	stroma	Lkb1 -/- Pten-/-	Adult		GSE54352_series_matrix.txt.gz	
GSM1313630	LP mouse Lung squamous cell carcinoma stroma cell, biological rep3	LP mouse Lung squamous cell carcinoma stroma cell	mixed 129/FVB	lung	stroma	Lkb1 -/- Pten-/-	Adult		GSE54352_series_matrix.txt.gz	
GSM1313631	Kras G12D mouse Lung Adenocarcinoma stroma cell, biological rep1	Kras G12D mouse Lung Adenocarcinoma stroma cell	mixed 129/FVB	lung	stroma	Kras G12D	Adult		GSE54352_series_matrix.txt.gz	
GSM1313632	Kras G12D mouse Lung Adenocarcinoma stroma cell, biological rep2	Kras G12D mouse Lung Adenocarcinoma stroma cell	mixed 129/FVB	lung	stroma	Kras G12D	Adult		GSE54352_series_matrix.txt.gz	
GSM1313633	Kras G12D mouse Lung Adenocarcinoma stroma cell, biological rep3	Kras G12D mouse Lung Adenocarcinoma stroma cell	mixed 129/FVB	lung	stroma	Kras G12D	Adult		GSE54352_series_matrix.txt.gz	
