geo_accession	title	source_name	strain	tissue	cell_type	genotype	developmental_stage	other_characteristics	matrix_file	platform_from_filename
GSM1313619	LP mouse Lung squamous cell carcinoma epithelial cell, biological rep1	LP mouse Lung squamous cell carcinoma epithelial cell	mixed 129/FVB	lung	epithelial	Lkb1 -/- Pten-/-	Adult		GSE54353_series_matrix.txt.gz	
GSM1313620	LP mouse Lung squamous cell carcinoma epithelial cell, biological rep2	LP mouse Lung squamous cell carcinoma epithelial cell	mixed 129/FVB	lung	epithelial	Lkb1 -/- Pten-/-	Adult		GSE54353_series_matrix.txt.gz	
GSM1313621	LP mouse Lung squamous cell carcinoma epithelial cell, biological rep3	LP mouse Lung squamous cell carcinoma epithelial cell	mixed 129/FVB	lung	epithelial	Lkb1 -/- Pten-/-	Adult		GSE54353_series_matrix.txt.gz	
GSM1313622	normal epithelial cell, biological rep1	normal lung epithelial cells-1	mixed 129/FVB	lung	epithelial	wild type	Adult		GSE54353_series_matrix.txt.gz	
GSM1313623	normal epithelial cell, biological rep2	normal lung epithelial cells-2	mixed 129/FVB	lung	epithelial	wild type	Adult		GSE54353_series_matrix.txt.gz	
GSM1313624	normal epithelial cell, biological rep3	normal lung epithelial cells-3	mixed 129/FVB	lung	epithelial	wild type	Adult		GSE54353_series_matrix.txt.gz	
GSM1313625	Kras G12D mouse Lung Adenocarcinoma epithelial cell, biological rep1	Kras G12D mouse Lung Adenocarcinoma epithelial cell	mixed 129/FVB	lung	epithelial	Kras G12D	Adult		GSE54353_series_matrix.txt.gz	
GSM1313626	Kras G12D mouse Lung Adenocarcinoma epithelial cell, biological rep2	Kras G12D mouse Lung Adenocarcinoma epithelial cell	mixed 129/FVB	lung	epithelial	Kras G12D	Adult		GSE54353_series_matrix.txt.gz	
GSM1313627	Kras G12D mouse Lung Adenocarcinoma epithelial cell, biological rep3	Kras G12D mouse Lung Adenocarcinoma epithelial cell	mixed 129/FVB	lung	epithelial	Kras G12D	Adult		GSE54353_series_matrix.txt.gz	
GSM1313628	LP mouse Lung squamous cell carcinoma stroma cell, biological rep1	LP mouse Lung squamous cell carcinoma stroma cell	mixed 129/FVB	lung	stroma	Lkb1 -/- Pten-/-	Adult		GSE54353_series_matrix.txt.gz	
GSM1313629	LP mouse Lung squamous cell carcinoma stroma cell, biological rep2	LP mouse Lung squamous cell carcinoma stroma cell	mixed 129/FVB	lung	stroma	Lkb1 -/- Pten-/-	Adult		GSE54353_series_matrix.txt.gz	
GSM1313630	LP mouse Lung squamous cell carcinoma stroma cell, biological rep3	LP mouse Lung squamous cell carcinoma stroma cell	mixed 129/FVB	lung	stroma	Lkb1 -/- Pten-/-	Adult		GSE54353_series_matrix.txt.gz	
GSM1313631	Kras G12D mouse Lung Adenocarcinoma stroma cell, biological rep1	Kras G12D mouse Lung Adenocarcinoma stroma cell	mixed 129/FVB	lung	stroma	Kras G12D	Adult		GSE54353_series_matrix.txt.gz	
GSM1313632	Kras G12D mouse Lung Adenocarcinoma stroma cell, biological rep2	Kras G12D mouse Lung Adenocarcinoma stroma cell	mixed 129/FVB	lung	stroma	Kras G12D	Adult		GSE54353_series_matrix.txt.gz	
GSM1313633	Kras G12D mouse Lung Adenocarcinoma stroma cell, biological rep3	Kras G12D mouse Lung Adenocarcinoma stroma cell	mixed 129/FVB	lung	stroma	Kras G12D	Adult		GSE54353_series_matrix.txt.gz	
