cluster	n
Non-exhausted	47498
NA	32487
CD4_C8-Treg	17021
CD4_C1-Naive	12638
Tex	9997
CD4_C2-Tcm	6907
CD4_C4-CD69	5763
CD4_C7-Th1-like	4060
CD4_C5-ISG15	3929
CD4_C6-RPL	3761
CD4_C3-Tem	2785
Prolif.	2161
CD4_C9-Prolif.	1321
XCL1	521
