sample	patient	n_cells
P1.post.1	P1	3069
P1.post.2	P1	3864
P1.post.3	P1	3175
P1.pre	P1	4664
P10.post.1	P10	2895
P10.pre	P10	7145
P11.pre	P11	2152
P12.pre	P12	3238
P13.post.1	P13	4287
P13.post.2	P13	3738
P13.pre	P13	1261
P14.pre	P14	3473
P15.pre	P15	2246
P16.pre	P16	1583
P17.pre	P17	1527
P18.pre	P18	3132
P19.post.1	P19	10519
P19.pre	P19	9467
P2.pre	P2	2443
P20.pre	P20	2813
P21.pre	P21	2887
P22.pre	P22	904
P23.pre	P23	2648
P24.pre	P24	1631
P25.pre	P25	6161
P26.pre	P26	368
P27.pre	P27	2241
P28.pre	P28	3603
P29.post.1	P29	1589
P29.pre	P29	2361
P3.pre	P3	2042
P30.post.1	P30	7779
P30.pre	P30	2828
P33.post.1	P33	5045
P33.pre	P33	1981
P34.pre	P34	4343
P35.post.1	P35	6170
P35.pre	P35	3780
P36.post.1	P36	4680
P37.post.1	P37	642
P38.post.1	P38	3807
P4.pre	P4	1070
P5.pre	P5	384
P6.pre	P6	1854
P7.pre	P7	508
P8.pre	P8	1768
P9.pre	P9	1084
