item	n	note
GSE179994 public series	1	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE179994 ; PMID 35121991
GSE179994 processed TME / epithelial / malignant matrix	0	GEO supplementary is T-cell-restricted; raw data not provided
GSE179994 T-cell barcodes in metadata	150849	GSE179994_Tcell.metadata.tsv.gz
GSE179994 patients in T-cell metadata	36	P1,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P2,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P3,P30,P33,P34,P35,P36,P37,P38,P4,P5,P6,P7,P8,P9
GSE179994 samples in T-cell metadata	47	pre/post tumor-biopsy T cells
GSE179994 malignant / epithelial cells in deposited labels	0	celltype = CD8/CD4/NA; clusters are T-cell states
GSE179994 usable matrix for patient-level malignant CLDN4	0	stop rule
Merge GSE179994 + GSE205335 patients	0	179994 gate failed; 205335 not downloaded or merged
Patient-level malignant CLDN4 vs T/NK	0	empty
CellChat-style (requires n_patients>=8)	0	not run
LIANA-style (requires n_patients>=8)	0	not run
GSE207422 added	0	explicitly excluded
Dual-high / TACSTD2 gate	0	CLDN4-only; not used
