signature	locked_n	present_n	present	missing
TNK	16	16	CD8A,CD8B,CD2,CD3D,CD3E,CD3G,NKG7,GNLY,PRF1,GZMA,GZMB,GZMK,KLRD1,KLRK1,KLRB1,NCR1	
IFN_Ayers	6	6	IFNG,STAT1,CXCL9,CXCL10,IDO1,HLA-DRA	
MHC_I	3	3	HLA-A,HLA-B,HLA-C	
CLDN4	1	1	CLDN4	
TACSTD2	1	1	TACSTD2	
CD274	1	1	CD274	
CD8A	1	1	CD8A	
NKG7	1	1	NKG7	
IFNG	1	1	IFNG	
STAT1	1	1	STAT1	
CXCL9	1	1	CXCL9	
CXCL10	1	1	CXCL10	
PTPRC	1	1	PTPRC	
EPCAM	1	1	EPCAM	
GFAP	1	1	GFAP	
PDCD1	1	1	PDCD1	
MKI67	1	1	MKI67	
