gene	present_in_matrix	n	nonzero_n	raw_median	cpm_median	cpm_q1	cpm_q3	cpm_max	n_cpm_ge_1	n_cpm_ge_5
CLDN4	True	29	28	15.0	0.48097936493583476	0.3030103142380118	0.64028423253733	8.025666080124237	3	1
TACSTD2	True	29	26	13.0	0.4573458803838071	0.07961625284593273	1.25785833614032	3.674088066226126	9	0
CD274	True	29	29	83.0	2.4917453430255225	1.849843199701293	4.4490910176957	14.187552031631991	27	7
CD8A	True	29	29	97.0	3.3932044088760565	1.8093699755187602	6.512245155803469	15.021519220421302	26	12
NKG7	True	29	27	29.0	1.1358014324571004	0.5084149401618046	2.8640134912088344	6.2892916807016	16	2
IFNG	True	29	6	0.0	0.0	0.0	0.0	0.20830011139427068	0	0
STAT1	True	29	29	3084.0	114.56888865734025	73.7042257883656	164.70247909379307	384.2029364335322	29	28
CXCL9	True	29	27	100.0	3.220963680767842	2.077049135753342	4.486086263264291	6.873903676010932	23	6
CXCL10	True	29	28	126.0	3.9941540220185825	1.0849484934766869	7.569264649804428	16.218343653213488	22	12
PTPRC	True	29	29	714.0	24.680730444915042	14.620267942575472	35.10982071757201	74.40426102573714	28	26
EPCAM	True	29	27	19.0	0.810055988755497	0.3263187999486281	0.9271095967656436	5.204126533759545	5	1
GFAP	True	29	29	263444.0	11344.294898605229	5063.2952251753	15046.687719282003	32681.34177693723	29	29
PDCD1	True	29	28	22.0	0.7493624130197651	0.37115281549102774	1.7126571132961375	5.831129730598044	11	1
MKI67	True	29	29	1138.0	53.977475929745424	8.748604678559369	135.0227974977879	499.65672573832296	26	24
CD8B	True	29	26	18.0	0.538321701347793	0.23308485710616295	1.319234038830381	3.397724585571485	12	0
CD2	True	29	28	41.0	1.2853565535189238	0.5790467866908412	3.0447237569709107	7.629978016721931	17	4
CD3D	True	29	27	14.0	0.5212929513839999	0.15010514114611578	1.2960895820087954	2.9208509595263643	10	0
CD3E	True	29	28	71.0	2.2729138501351263	0.9012056613929376	6.165280950541154	16.113982158749433	20	8
CD3G	True	29	27	19.0	0.6473919384166261	0.21899149743612054	1.3515980512044936	3.5425680621375215	11	0
GNLY	True	29	29	74.0	2.2717416174234524	1.0207149597935874	5.344955929763224	13.427105412964647	22	8
PRF1	True	29	29	64.0	2.0932475829175012	0.62932911418664	3.616680440191343	14.526546200262967	20	7
GZMA	True	29	28	28.0	0.8725510763353803	0.33023131052145477	2.7328373007717883	6.4581329274365435	14	1
GZMB	True	29	28	19.0	0.6959115290456771	0.25717829631208894	1.5223618784854553	5.8268740425304975	12	1
GZMK	True	29	28	21.0	0.73765313236436	0.25549008034214066	2.011368253368036	3.457333788827125	11	0
KLRD1	True	29	29	40.0	1.2465015376219717	0.7299716581204018	2.08883335186149	3.516942992082765	20	0
KLRK1	True	29	24	6.0	0.179440567115931	0.030489725358920475	0.3220963680767842	1.8431111235699709	2	0
KLRB1	True	29	27	14.0	0.41539126971731183	0.09486375383083555	0.8601078507664958	2.060746635804354	6	0
NCR1	True	29	23	1.0	0.047431876915417774	0.023308485710616292	0.20091638768086795	0.5175056434985627	0	0
IDO1	True	29	24	10.0	0.3171587246844699	0.11749669990935521	0.5609256919298873	2.0953783502695877	3	0
HLA-DRA	True	29	29	7020.0	209.5540322123157	141.6456676634152	303.83309828326463	712.0584409073467	29	28
HLA-A	True	29	29	18874.0	636.1569699721097	344.8009655911648	783.9268696986062	1122.2481656531313	29	29
HLA-B	True	29	29	16205.0	500.1668686173852	369.6763673500013	727.6913131774722	1068.4076304342325	29	29
HLA-C	True	29	29	13950.0	408.3644362315502	277.21862296281944	522.6964350467013	866.2781819425111	29	29
