dataset,immune_score,n,spearman_rho,spearman_p,purity_adj_rho,purity_adj_p,stromal_adj_rho,stromal_adj_p
GSE253564_pretreatment,ESTIMATE_ImmuneScore,32,-0.7163,0.0,-0.5295,0.0022,-0.7062,0.0
GSE253564_pretreatment,IFNG6_Ayers,32,-0.2881,0.1098,0.1157,0.5354,-0.2425,0.1888
GSE253564_pretreatment,GEP18_TcellInflamed,32,-0.438,0.0122,-0.0248,0.8947,-0.4043,0.0241
GSE253564_pretreatment,CYT_Rooney,32,-0.4611,0.0079,-0.1652,0.3745,-0.4504,0.011
GSE253564_pretreatment,CD8A,32,-0.5363,0.0016,-0.2425,0.1886,-0.5135,0.0031
GSE253564_pretreatment,purity_proxy(-ESTIMATEScore),32,0.588,0.0004,,,,
GSE248378_post_durvalumab,ESTIMATE_ImmuneScore,29,-0.665,0.0001,-0.4739,0.0109,-0.5928,0.0009
GSE248378_post_durvalumab,IFNG6_Ayers,29,-0.4882,0.0072,-0.2369,0.2248,-0.3919,0.0392
GSE248378_post_durvalumab,GEP18_TcellInflamed,29,-0.6478,0.0001,-0.428,0.0231,-0.5652,0.0017
GSE248378_post_durvalumab,CYT_Rooney,29,-0.8059,0.0,-0.7103,0.0,-0.7685,0.0
GSE248378_post_durvalumab,CD8A,29,-0.7059,0.0,-0.5773,0.0013,-0.662,0.0001
GSE248378_post_durvalumab,purity_proxy(-ESTIMATEScore),29,0.5429,0.0023,,,,
