dataset,immune_score,n,spearman_rho,spearman_p,purity_adj_rho,purity_adj_p
TCGA-LUAD,IFNG6_Ayers,497,-0.0209,0.642,-0.0183,0.684
TCGA-LUAD,GEP18_TcellInflamed,497,-0.0291,0.518,-0.0285,0.526
TCGA-LUAD,CYT_Rooney,497,-0.1099,0.0143,-0.1186,0.00821
TCGA-LUAD,CD8A,497,-0.0971,0.0304,-0.1041,0.0204
TCGA-LUAD,ABSOLUTE_purity,497,0.0101,0.823,,
TCGA-LUSC,IFNG6_Ayers,479,-0.187,3.81e-05,-0.2229,8.53e-07
TCGA-LUSC,GEP18_TcellInflamed,479,-0.1753,0.000115,-0.2317,3.03e-07
TCGA-LUSC,CYT_Rooney,479,-0.1329,0.00358,-0.1712,0.00017
TCGA-LUSC,CD8A,479,-0.2088,4.03e-06,-0.2479,4e-08
TCGA-LUSC,ABSOLUTE_purity,479,-0.074,0.106,,
