dataset	donor	n_cells	n_epithelial	n_malignant_like	n_tnk	n_b	n_b_tls_like	tnk_fraction	b_fraction	b_tls_like_fraction	eligible	eligible_b	epi_TACSTD2_mean_log1p	epi_TACSTD2_pct_pos	mal_TACSTD2_mean_log1p	mal_TACSTD2_pct_pos	epi_CLDN4_mean_log1p	epi_CLDN4_pct_pos	mal_CLDN4_mean_log1p	mal_CLDN4_pct_pos
GSE131907	NS_13	4845	1257	0	1619	565	570	0.33415892672858616	0.11661506707946337	0.11764705882352941	True	True	0.845565852625232	63.72315035799523			1.0276961801592843	72.79236276849642		
GSE131907	LUNG_T09	3840	106	0	1933	138	185	0.5033854166666667	0.0359375	0.048177083333333336	True	True	1.3936149668485636	83.9622641509434			1.2698748136037028	83.01886792452831		
GSE131907	LUNG_T34	3280	2449	8	360	35	40	0.10975609756097561	0.010670731707317074	0.012195121951219513	True	True	1.7145240172225182	90.11841567986933	0.6343967269042283	62.5	1.6768567452470615	91.83340138832176	0.39725672879349316	50.0
GSE131907	LUNG_T18	3705	1011	221	1054	266	283	0.2844804318488529	0.07179487179487179	0.07638326585695007	True	True	1.9289485241921882	87.63600395647873	1.314324705688936	69.68325791855203	2.0264841645777074	91.0979228486647	1.5176560518161506	78.28054298642535
GSE131907	NS_04	1904	1212	342	123	1	17	0.06460084033613446	0.0005252100840336134	0.008928571428571428	True	False	1.1192016476934674	72.85478547854785	0.7419024132515151	55.55555555555556	1.9756355221951285	90.18151815181518	1.3437536973222732	76.31578947368422
GSE131907	EFFUSION_06	4884	229	154	3176	438	501	0.6502866502866503	0.08968058968058969	0.10257985257985258	True	True	1.741973767551572	65.50218340611353	0.9130350800396391	50.649350649350644	1.2751191907541382	57.20524017467249	0.5930259520329871	40.25974025974026
GSE131907	NS_19	3300	712	403	354	48	71	0.10727272727272727	0.014545454545454545	0.021515151515151515	True	True	1.1414594263640077	70.36516853932584	0.9151357303766654	62.531017369727046	1.0500464527549527	68.82022471910112	0.7271450673038654	56.82382133995038
GSE131907	BRONCHO_11	3178	197	113	789	1380	1391	0.24826935179358087	0.434235368156073	0.43769666456891126	True	True	1.0722808828815495	70.05076142131979	0.8691283449476332	58.4070796460177	1.8258586326935247	81.21827411167513	1.2945045663911559	67.2566371681416
GSE131907	BRONCHO_58	2813	507	191	1518	132	146	0.5396373977959474	0.04692499111269108	0.05190188410949165	True	True	1.7459307774081978	75.7396449704142	0.9967697610438934	52.35602094240838	1.3824013544923632	70.41420118343196	0.6852815148830114	42.40837696335078
GSE131907	LUNG_T25	4374	216	6	1592	1670	1675	0.3639689071787837	0.3818015546410608	0.38294467306812985	True	True	1.4251306943135926	85.64814814814815	0.8283022165960001	66.66666666666666	1.2535565542057048	81.01851851851852	0.6452001684846485	50.0
GSE131907	EFFUSION_12	4224	22	11	2000	784	792	0.4734848484848485	0.1856060606060606	0.1875	True	True	3.33548840286294	90.9090909090909	2.34753001264866	81.81818181818183	2.9174813198063476	86.36363636363636	1.933314248082609	72.72727272727273
GSE131907	LUNG_T31	5578	273	39	3395	287	339	0.6086410899964145	0.05145213338114019	0.0607744711366081	True	True	1.3516230579800759	73.992673992674	0.4734561015440363	33.33333333333333	1.204423956334177	68.4981684981685	0.4752251495308812	33.33333333333333
GSE131907	NS_17	2409	1277	0	304	58	60	0.1261934412619344	0.024076380240763803	0.024906600249066	True	True	1.155584821934999	62.80344557556774			2.042728491688103	81.91072826938137		
GSE131907	NS_02	2313	157	131	986	137	140	0.4262862083873757	0.059230436662343275	0.06052745352356247	True	True	0.013244850583947998	1.2738853503184715	0.0052911998516026355	0.7633587786259541	1.2785926455213161	65.60509554140127	1.2662755868856617	65.64885496183206
GSE131907	EBUS_28	5182	4736	2799	229	8	8	0.04419143187958317	0.0015438054805094559	0.0015438054805094559	True	False	1.3997457886922307	86.12753378378379	1.2071269641218203	81.42193640585924	2.1830616795787594	96.13597972972973	1.9394798685508776	94.64094319399786
GSE131907	EFFUSION_64	3812	16	14	2684	939	942	0.7040923399790137	0.2463273871983211	0.24711437565582373	False	False	1.308451491429292	75.0	1.0903816385634395	71.42857142857143	1.3835963160612943	68.75	1.1218721410748023	64.28571428571429
GSE131907	LUNG_T28	4705	1231	58	1535	541	562	0.32624867162592985	0.11498405951115834	0.11944739638682253	True	True	1.9643356382569985	89.84565393988628	1.2220069192764613	75.86206896551724	2.1010227295519943	91.22664500406174	1.3261159419102295	79.3103448275862
