dataset	included	present	absent	n_cells	TACSTD2	CLDN4	n_cells_extracted	n_genes_in_vector	index	reason
GSE131907	True	['ACTA2', 'AGER', 'CCL19', 'CCL21', 'CD14', 'CD19', 'CD2', 'CD3D', 'CD3E', 'CD4', 'CD68', 'CD79A', 'CD79B', 'CD8A', 'CDH1', 'CLDN4', 'COL1A1', 'COL1A2', 'CR2', 'CXCL10', 'CXCL13', 'CXCL9', 'CXCR5', 'DCN', 'EPCAM', 'FAP', 'FCGR3A', 'FGFBP2', 'FOXJ1', 'GNLY', 'GZMB', 'JCHAIN', 'KLRD1', 'KLRF1', 'KRT18', 'KRT19', 'KRT5', 'KRT7', 'KRT8', 'LTB', 'LYZ', 'MKI67', 'MS4A1', 'MZB1', 'NAPSA', 'NCAM1', 'NKG7', 'NKX2-1', 'PDPN', 'PECAM1', 'PRF1', 'PTPRC', 'RAMP2', 'SCGB1A1', 'SCGB3A1', 'SFTPA1', 'SFTPA2', 'SFTPC', 'STMN1', 'TACSTD2', 'TPPP3', 'VWF', 'XBP1']	[]	128065.0	True	True	128065.0			
GSE253013	True	['PDPN', 'STMN1', 'TACSTD2', 'CD2', 'FCGR3A', 'PTPRC', 'CR2', 'EPCAM', 'GNLY', 'CD8A', 'FAP', 'FGFBP2', 'JCHAIN', 'CXCL9', 'CXCL10', 'CXCL13', 'MZB1', 'CD14', 'SCGB3A1', 'LTB', 'AGER', 'CLDN4', 'COL1A2', 'SFTPC', 'CCL19', 'CCL21', 'MS4A1', 'SCGB1A1', 'NCAM1', 'CD3E', 'CD3D', 'CXCR5', 'PRF1', 'SFTPA2', 'SFTPA1', 'ACTA2', 'MKI67', 'VWF', 'CD4', 'KLRF1', 'KLRD1', 'KRT7', 'KRT5', 'KRT8', 'KRT18', 'LYZ', 'DCN', 'GZMB', 'NKX2-1', 'CD19', 'TPPP3', 'CDH1', 'CD68', 'KRT19', 'RAMP2', 'COL1A1', 'CD79B', 'PECAM1', 'FOXJ1', 'CD79A', 'NAPSA', 'NKG7', 'XBP1']	[]		True	True	256379.0	32805.0	{'PDPN': 218, 'STMN1': 400, 'TACSTD2': 854, 'CD2': 1231, 'FCGR3A': 1681, 'PTPRC': 1924, 'CR2': 2056, 'EPCAM': 2710, 'GNLY': 2946, 'CD8A': 2963, 'FAP': 3391, 'FGFBP2': 5419, 'JCHAIN': 5606, 'CXCL9': 5651, 'CXCL10': 5653, 'CXCL13': 5665, 'MZB1': 6841, 'CD14': 6867, 'SCGB3A1': 7232, 'LTB': 7603, 'AGER': 7654, 'CLDN4': 8925, 'COL1A2': 9041, 'SFTPC': 10443, 'CCL19': 11356, 'CCL21': 11357, 'MS4A1': 12554, 'SCGB1A1': 12604, 'NCAM1': 13153, 'CD3E': 13202, 'CD3D': 13203, 'CXCR5': 13221, 'PRF1': 13759, 'SFTPA2': 13840, 'SFTPA1': 13841, 'ACTA2': 13899, 'MKI67': 14230, 'VWF': 14342, 'CD4': 14372, 'KLRF1': 14446, 'KLRD1': 14459, 'KRT7': 14817, 'KRT5': 14825, 'KRT8': 14834, 'KRT18': 14835, 'LYZ': 15074, 'DCN': 15173, 'GZMB': 16180, 'NKX2-1': 16234, 'CD19': 18133, 'TPPP3': 18467, 'CDH1': 18519, 'CD68': 19002, 'KRT19': 19503, 'RAMP2': 19552, 'COL1A1': 19744, 'CD79B': 19890, 'PECAM1': 19898, 'FOXJ1': 20041, 'CD79A': 22255, 'NAPSA': 22536, 'NKG7': 22579, 'XBP1': 23098}	
GSE148071	True	['ACTA2', 'AGER', 'CCL19', 'CCL21', 'CD14', 'CD19', 'CD2', 'CD3D', 'CD3E', 'CD4', 'CD68', 'CD79A', 'CD79B', 'CD8A', 'CDH1', 'CLDN4', 'COL1A1', 'COL1A2', 'CR2', 'CXCL10', 'CXCL13', 'CXCL9', 'CXCR5', 'DCN', 'EPCAM', 'FAP', 'FCGR3A', 'FGFBP2', 'FOXJ1', 'GNLY', 'GZMB', 'JCHAIN', 'KLRD1', 'KLRF1', 'KRT18', 'KRT19', 'KRT5', 'KRT7', 'KRT8', 'LTB', 'LYZ', 'MKI67', 'MS4A1', 'MZB1', 'NAPSA', 'NCAM1', 'NKG7', 'NKX2-1', 'PDPN', 'PECAM1', 'PRF1', 'PTPRC', 'RAMP2', 'SCGB1A1', 'SCGB3A1', 'SFTPA1', 'SFTPA2', 'SFTPC', 'STMN1', 'TACSTD2', 'TPPP3', 'VWF', 'XBP1']	[]	89887.0	True	True	89887.0			
GSE127465	True	['ACTA2', 'AGER', 'CCL19', 'CCL21', 'CD14', 'CD19', 'CD2', 'CD3D', 'CD3E', 'CD4', 'CD68', 'CD79A', 'CD79B', 'CD8A', 'CDH1', 'CLDN4', 'COL1A1', 'COL1A2', 'CR2', 'CXCL10', 'CXCL13', 'CXCL9', 'CXCR5', 'DCN', 'EPCAM', 'FAP', 'FCGR3A', 'FGFBP2', 'FOXJ1', 'GNLY', 'GZMB', 'JCHAIN', 'KLRD1', 'KLRF1', 'KRT18', 'KRT19', 'KRT5', 'KRT7', 'KRT8', 'LTB', 'LYZ', 'MKI67', 'MS4A1', 'MZB1', 'NAPSA', 'NCAM1', 'NKG7', 'NKX2-1', 'PDPN', 'PECAM1', 'PRF1', 'PTPRC', 'RAMP2', 'SCGB1A1', 'SCGB3A1', 'SFTPA1', 'SFTPA2', 'SFTPC', 'STMN1', 'TACSTD2', 'TPPP3', 'VWF', 'XBP1']	[]	40362.0	True	True	40362.0			
GSE154826	False									Leader et al. Cancer Cell 2021. CD45-bead CITE-seq. Epithelium is restricted to the epi_endo_fibro_doublet gate; Trop-2 ADT is not on the panel. Omitted because a joint epithelial score would be leak, not a tumor-epithelial compartment.
