gsm	title	run	spots
GSM3401781	Control-1	SRR7904496	1859374
GSM3401782	Control-2	SRR7904497	2544921
GSM3401783	Control-3	SRR7904498	2310441
GSM3401784	Control-4	SRR7904499	2313845
GSM3401785	Control-5	SRR7904500	2332685
GSM3401786	Control-6	SRR7904501	3085187
GSM3401787	PARPi-1	SRR7904502	2673011
GSM3401788	PARPi-2	SRR7904503	2132279
GSM3401789	PARPi-3	SRR7904504	4397927
GSM3401790	PARPi-4	SRR7904505	4275925
GSM3401791	PARPi-5	SRR7904506	3663020
GSM3401792	PARPi-6	SRR7904507	3618849
