dataset	b	endothelial	epithelial	fibroblast	mast	myeloid	nk	t
GSE207422	10762	238	12351	878	849	28425	3530	35297
GSE241934_IIT	15073	3103	1734	7232	750	9966	3361	37472
GSE241934_REAL	50886	4634	14026	30623	2879	21993	7994	96470
GSE291670	232	482	22781	292	15	4128	0	1137
