combo	members	ran	n_cells	n_embed	n_patients	n_mpr	n_nmpr	TACSTD2_median_NMPR	TACSTD2_median_MPR	TACSTD2_delta_NMPR_minus_MPR	TACSTD2_mpr_p	TACSTD2_ols_beta	TACSTD2_ols_p	TACSTD2_tnk_n	TACSTD2_tnk_rho	TACSTD2_tnk_p	TACSTD2_tnk_partial_rho	TACSTD2_tnk_partial_p	direction_NMPR_gt_MPR	direction_rho_negative	KEEP	why_keep	figures
GSE207422+GSE241934	['GSE207422', 'GSE241934']	True	400526	70372	60	1	6	2.645395517349243	2.157928705215454	0.48746681213378906		0.4197738170623775	0.26309564552893444	0					False	False	False	neither	
GSE207422+GSE291670	['GSE207422', 'GSE291670']	True	121397	25200	21	4	9	1.4961333274841309	0.21076416224241257	1.2853691652417183	0.2601398601398601	0.3019772853815183	0.32851532729534805	10	-0.29696969696969694	0.40470167127015705			True	True	True	NMPR>MPR	/workspace/methods/scrna_harmony_neoadj/figures/combos/GSE207422+GSE291670
GSE207422+GSE205335	['GSE207422', 'GSE205335']	True	188835	48237	41	1	5	1.778425693511963	0.780894935131073	0.9975307583808899		0.9172727346420282	0.22213746189097583	27	0.3418803418803419	0.08090912937685264	0.30830280830280826	0.11768274153710763	False	False	False	neither	
GSE241934+GSE291670	['GSE241934', 'GSE291670']	True	337263	59572	51	5	9	0.4367590844631195	0.16099724173545837	0.27576184272766113	0.5184815184815185	0.2898697558169568	0.5025624214209947	0					True	False	True	NMPR>MPR	/workspace/methods/scrna_harmony_neoadj/figures/combos/GSE241934+GSE291670
GSE241934+GSE205335	['GSE241934', 'GSE205335']	True	404701	82609	71	5	14	1.5476335287094116	2.257840156555176	-0.7102066278457642	0.391296869625043	-0.29886079558304335	0.45233725262332247	37	0.2375533428165007	0.15685036978652	0.3259838786154575	0.04895524296243801	False	False	False	neither	
GSE291670+GSE205335	['GSE291670', 'GSE205335']	True	125572	37437	32	3	3	0.06575912237167358	0.21240489184856415	-0.14664576947689056	0.2	-0.07398173213005067	0.26403833134603205	24	0.7443478260869565	3.037670949911943e-05	0.5339130434782609	0.007204793915181838	False	False	False	neither	
LOO_minus_GSE207422	['GSE241934', 'GSE291670', 'GSE205335']	True	433768	89809	77	7	18	1.2247353196144104	2.117415189743042	-0.8926798701286316	0.7450884127314332	-0.5827539716399993	0.040222282918147875	36	0.14105534105534107	0.4118866396684127	0.3498069498069499	0.036496316510440815	False	False	False	neither	
LOO_minus_GSE241934	['GSE207422', 'GSE291670', 'GSE205335']	True	217902	55437	47	4	8	1.1518810987472534	0.17437881976366043	0.977502278983593	0.46060606060606063	0.28957121127417296	0.34965749830059967	33	0.5919117647058824	0.0002851885706896723	0.30314171122994654	0.0863661329939343	True	False	True	NMPR>MPR	/workspace/methods/scrna_harmony_neoadj/figures/combos/LOO_minus_GSE241934
LOO_minus_GSE291670	['GSE207422', 'GSE241934', 'GSE205335']	True	497031	100609	86	6	21	1.5973639488220215	2.197055697441101	-0.5996917486190796	0.5500422283030979	-0.08304887554174212	0.8089198612273623	49	0.07918367346938773	0.5886267639580511	0.21938775510204078	0.12987661301685877	False	False	False	neither	
LOO_minus_GSE205335	['GSE207422', 'GSE241934', 'GSE291670']	True	429593	77572	66	9	24	1.4773019552230835	1.898050308227539	-0.42074835300445557	0.9195056008941386	-0.2648550458535565	0.2800994372743409	0					False	False	False	neither	
