ligand	target_auroc_k50	centered_z_top50	mean_z_top50	mean_rp_top50
IFNB1	0.280765595463138	-0.10802912070153302	-0.205254415443115	0.171660517820482
IFNA1	0.2891304347826087	-0.10728098221161202	-0.204506276953194	0.222115371700087
IFNL3	0.31735349716446126	-0.086010331031084	-0.183235625772666	0.0738975203424827
IFNL1	0.32247952110901074	-0.09163634558667301	-0.188861640328255	0.179090392226059
IL27	0.3308947700063012	-0.08920544826040401	-0.186430743001986	0.195887742277848
IFNG	0.34627914303717705	-0.080342018531245	-0.177567313272827	0.223721183777065
ADM	0.34746376811594204	-0.087429467597732	-0.184654762339314	0.0683823679126286
IFNA13	0.3623660995589162	-0.06956472803497	-0.166790022776552	0.0474577447344264
IL17C	0.370945179584121	-0.075896015371462	-0.173121310113044	0.0713107267545329
CXCL8	0.37649968494013863	-0.06605404128351801	-0.1632793360251	0.0722079960245782
CX3CL1	0.4098771266540643	-0.041974865249519	-0.139200159991101	0.0689408287068167
FGF8	0.4109546313799622	-0.044116355509768015	-0.14134165025135	0.06980127859801
GDF5	0.416291745431632	-0.04587512597037001	-0.143100420711952	0.0706213024602999
PTHLH	0.4246376811594203	-0.04025584877300602	-0.137481143514588	0.0505015171031888
HBEGF	0.43042533081285445	-0.048046276591431	-0.145271571333013	0.0678579470907622
