ligand	n	auroc_high	auroc_low	aupr_high	aupr_low	aupr_corrected_high	aupr_corrected_low	delta_auroc	delta_aupr_corrected	mean_rp_all	mean_z_top25	mean_rp_top25	mean_z_top50	mean_rp_top50	mean_z_top100	mean_rp_top100	mean_z_top200	mean_rp_top200	bg_mean_z	bg_sd_z	centered_z_top25	cohen_d_top25	centered_z_top50	cohen_d_top50	centered_z_top100	cohen_d_top100	centered_z_top200	cohen_d_top200	target_auroc_k25	target_auroc_k50	target_auroc_k100	target_auroc_k200	family	n_patients	mean_delta	p_wilcoxon	mean_GSE123902	mean_GSE131907	mean_GSE205335	mean_GSE189357	potential	best_receptor	best_receptor_frac	frac_patients_pct10	target_auroc	centered_z	outgoing_expr	outgoing_lr	activity_delta_auroc	activity_delta_aupr	realized_activity_delta	rank_delta_auroc	rank_delta_aupr_corrected	rank_target_auroc	rank_centered_z	rank_realized_activity_delta	rank_outgoing_expr	rank_outgoing_lr
CCL4	200	0.5640803484995159	0.4426109228783479	0.04332946464303817	0.027101573665095677	0.012069695965326387	-0.004158195012616106	0.12146942562116803	0.016227890977942493	0.0031890182377643	-0.0552144938251624	0.0228333899372254	-0.0408667461574256	0.0157008835949261	-0.0619968057183983	0.0113573825509762	-0.0474330537480647	0.0086782110133241	-0.097225294741582	0.167982404080547	0.042010800916419594	0.2500904850503006	0.05635854858415639	0.33550269084810014	0.03522848902318369	0.20971535212873696	0.04979224099351729	0.2964134325023833	0.5764569276635807	0.600419029615627	0.5545697046681486	0.5819796708615682	ext_ifn_recruit	59.0	-0.099605494233716	0.0008493039518496	-0.1122584954197091	0.0190245920469161	-0.0979554803748143	-0.3398379296236066	True	CCR5	0.135593220338983	0.5932203389830508	0.600419029615627	0.05635854858415639	-0.099605494233716	-0.013505829726605552	0.12146942562116803	0.016227890977942493	-0.02000457415066938	171.0	184.0	157.0	181.0	280.0	278.0	261.0
CCL5	200	0.5507849306227816	0.4770292836398838	0.03837362322375168	0.031433383891329734	0.007113854546039897	0.00017361521361795168	0.07375564698289777	0.006940239332421945	0.0038189254102785	-0.0705438636802096	0.0443166157652586	-0.0717798879092514	0.0275409942058351	-0.0699109326680141	0.0181052556414913	-0.0628114725126881	0.0127184920782792	-0.097225294741582	0.167982404080547	0.0266814310613724	0.15883467799745707	0.025445406832330597	0.15147662025440242	0.027314362073567897	0.162602519133318	0.0344138222288939	0.20486563707227687	0.5510748470108269	0.5554379332073094	0.5432692918386789	0.5573733462407228	core_ifn_recruit	59.0	-0.1206730532496412	1.1578664341441734e-05	-0.2161494767167314	0.033681397405278	-0.1908959582998235	-0.1765940889961671	True	CXCR3	0.6949152542372882	0.4745762711864407	0.5554379332073094	0.025445406832330597	-0.1206730532496412	-0.08385754547856422	0.07375564698289777	0.006940239332421945	-0.013379729331951395	273.0	277.0	235.0	251.0	276.0	282.0	281.0
CD274	200	0.5898434979025493	0.45110801871571476	0.04291185856479298	0.029554066209654874	0.011652089887081198	-0.0017057024680569091	0.13873547918683454	0.013357792355138107	0.0083788915005914	-0.0962643761085656	0.0757315110342539	-0.128527104957204	0.0725171225303849	-0.129725811375942	0.0703855526975804	-0.113193365930464	0.0688351886936832	-0.097225294741582	0.167982404080547	0.0009609186330163944	0.005720352904079389	-0.03130181021562202	-0.1863398156905345	-0.03250051663436	-0.19347572034256705	-0.015968071188882008	-0.09505799893913515	0.5210795543699984	0.45800882167611845	0.4484566529056843	0.47464988706034206	ext_barrier	59.0	0.0098159983508717	0.0282170313360796	0.0061542268966185	0.0252390156762001	0.01356513937908	-0.027423065674804	True	NCR3	0.3389830508474576	0.1864406779661017	0.45800882167611845	-0.03130181021562202	0.0098159983508717	0.003327457068092101	0.13873547918683454	0.013357792355138107	-0.0008243706743567615	81.0	234.0	281.0	282.0	235.0	216.0	220.0
CDH1	200	0.5857010325911584	0.4226722329783802	0.046422189349028205	0.02562074106365103	0.015162420671316422	-0.0056390276140607515	0.16302879961277816	0.020801448285377173	0.0042848977586109	0.0230620634363485	0.0199639804075972	-0.0111945382716008	0.015196551017025	-0.0240723685994835	0.0120890297849889	-0.0253066989166609	0.0100290272428621	-0.097225294741582	0.167982404080547	0.12028735817793049	0.7160711792185871	0.08603075646998119	0.5121414766080484	0.07315292614209849	0.43547969528416747	0.07191859582492109	0.4281317214059895	0.6965259689314295	0.652284183994959	0.6204302953318513	0.6119143272023233	core_barrier	59.0	0.3819396279507499	3.252273784253618e-11	0.4389384324661046	0.2936375003828426	0.3914557875316607	0.4828188532215903	True	ITGAE	0.8983050847457628	0.9830508474576272	0.652284183994959	0.08603075646998119	0.3819396279507499	0.34309830985406353	0.16302879961277816	0.020801448285377173	0.1163267291556364	8.0	87.0	20.0	39.0	5.0	12.0	7.0
CXCL10	200	0.5540295256534367	0.44648717328170384	0.04026315641121925	0.02729701169319288	0.009003387733507465	-0.003962756984518902	0.10754235237173282	0.012966144718026366	0.0039650672843699	-0.0449858976162675	0.0224108973263803	-0.0271049119929623	0.0164616847405371	-0.0493807199509729	0.0127100101617105	-0.0639356607805478	0.0102239314166234	-0.097225294741582	0.167982404080547	0.052239397125314495	0.31098136385919256	0.07012038274861969	0.41742695095015553	0.04784457479060909	0.2848189669179147	0.033289633961034196	0.19817333930446626	0.6022971912756944	0.6106427221172023	0.5780692283264528	0.55756695708293	core_ifn_recruit	59.0	-0.0050353312660079	0.9797339246366475	0.0040802475807637	-0.0034636696712774	-0.0073219525066986	-0.0131462549007959	False	CXCR3	0.6949152542372882	0.0677966101694915	0.6106427221172023	0.07012038274861969	-0.0050353312660079	-0.003499128506886846	0.10754235237173282	0.012966144718026366	-0.0011142455160659448							
CXCL11	200	0.5479412713778639	0.4500722007099065	0.04233399114544467	0.02737640846506028	0.011074222467732889	-0.003883360212651503	0.09786907066795736	0.014957582680384392	0.0027577122889694	-0.0418397975019138	0.0109757866115095	-0.0392352305132633	0.0091965852127538	-0.0346686060582466	0.0077736584540673	-0.0580028780323871	0.0066022741002969	-0.097225294741582	0.167982404080547	0.055385497239668194	0.32971011185856725	0.05799006422831869	0.3452151107476272	0.06255668868333539	0.3724002464766469	0.03922241670919489	0.233491221440002	0.5969747371724463	0.5866635160680529	0.6015862178469356	0.5673426911907067	ext_ifn_recruit	59.0	-0.0001331893956239	0.7450922578573227	-0.0038459703764206	0.0011901361545997	0.0009799901407051	-0.001398983385534	False	CXCR3	0.6949152542372882	0.0	0.5866635160680529	0.05799006422831869	-0.0001331893956239	-9.255534272169321e-05	0.09786907066795736	0.014957582680384392	-2.308532265549222e-05							
CXCL9	200	0.5545369474023878	0.4456941755404969	0.03983133836470474	0.028298172791479087	0.008571569686992957	-0.0029615958862326958	0.1088427718618909	0.011533165573225652	0.0026523240411487	-0.0469462556976231	0.0208152834376877	-0.0452506734423527	0.0138192153639246	-0.0518175332639935	0.009823066941204	-0.0553888216663165	0.0074320370134112	-0.097225294741582	0.167982404080547	0.0502790390439589	0.29931134346577315	0.05197462129922929	0.3094051521866995	0.045407761477588494	0.27031260640736887	0.041836473075265494	0.2490527106351273	0.591758983210419	0.5790264650283554	0.5755493807557955	0.572283801226202	core_ifn_recruit	59.0	-0.0004971386466525	0.1711335505387978	-0.0128026581574878	0.00375635038249	0.0010380156560134	0.000614046153198	False	CXCR3	0.6949152542372882	0.0	0.5790264650283554	0.05197462129922929	-0.0004971386466525	-0.00034546922902970346	0.1088427718618909	0.011533165573225652	-7.857421974785547e-05							
F11R	200	0.5796321393998064	0.4442457244272346	0.04759182683905914	0.026865432274768175	0.016332058161347356	-0.004394336402943608	0.1353864149725718	0.020726394564290963	0.0031650015033627	-0.004340833170899	0.0126595913872392	-0.0310787449844534	0.0102239423509131	-0.0437331964185168	0.008411644274416	-0.0369325364220969	0.0071455085929966	-0.097225294741582	0.167982404080547	0.09288446157068299	0.5529416136117757	0.0661465497571286	0.3937707054449081	0.053492098323065194	0.31843869967128174	0.06029275831948509	0.3589230589328566	0.6670767299544955	0.6126275992438563	0.5897713559860273	0.5993586640851888	core_barrier	59.0	0.3500440173817793	2.516350662927767e-11	0.3823106213407455	0.2261016928537858	0.4418666632661247	0.3615954132563305	True	ITGB2	0.9830508474576272	1.0	0.6126275992438563	0.0661465497571286	0.3500440173817793	0.34411106793463053	0.1353864149725718	0.020726394564290963	0.07884923461476905	102.0	90.0	125.0	136.0	15.0	14.0	6.0
HLA-A	200	0.5595490480800258	0.4447567763794772	0.04314328637413425	0.029929812936377035	0.011883517696422465	-0.0013299557413347478	0.11479227170054862	0.013213473437757212	0.003960004942822	-0.0439365364434674	0.0164976955012843	-0.065120197347684	0.0135696180154636	-0.058810360769878	0.0112773907271771	-0.0572184168366215	0.0095085277832144	-0.097225294741582	0.167982404080547	0.053288758298114594	0.3172282155966932	0.032105097393898	0.19112178784215822	0.03841493397170399	0.22868427310567696	0.04000687790496049	0.23816112243385523	0.5968052722422721	0.5431379962192817	0.5621959352175294	0.5646055179090029	other	59.0	0.3290058792597191	4.139244353437418e-06	0.4602731364880424	0.3913750020907877	0.3443060824261924	0.0157847489742218	True	CD8A	0.8813559322033898	1.0	0.5431379962192817	0.032105097393898	0.3290058792597191	0.2899712834153456	0.11479227170054862	0.013213473437757212	0.028385308751254435	198.0	235.0	244.0	238.0	57.0	18.0	12.0
IFNG	200	0.5565359793481768	0.5041690868021942	0.03709719724038757	0.035400986741104014	0.005837428562675787	0.004141218063392231	0.05236689254598259	0.0016962104992835556	0.0176792297151734	-0.175797091393014	0.250984182322697	-0.177567313272827	0.223721183777065	-0.174219883303281	0.203462943663619	-0.162620443121774	0.164578700362923	-0.097225294741582	0.167982404080547	-0.078571796651432	-0.4677382555720366	-0.080342018531245	-0.47827639431044977	-0.07699458856169901	-0.4583491287860148	-0.06539514838019202	-0.38929760969985444	0.35139494743448924	0.34627914303717705	0.3536249603048587	0.372136172959019	core_ifn_recruit	59.0	-0.0324932455919617	4.521505763577238e-06	-0.0369958037259531	-0.0001826836747487	-0.0526640216032467	-0.0486364454642004	False	IFNGR1	0.6271186440677966	0.0338983050847457	0.34627914303717705	-0.080342018531245	-0.0324932455919617	-0.02037712011699293	0.05236689254598259	0.0016962104992835556	0.009989779115799643							
