lineage	lineage_index	clusters	n_clusters	start_cluster	end_cluster	n_cells	mean_pseudotime	mean_CLDN4	mean_barrier_keratin	mean_IFN	mean_AT2	end_mean_CLDN4	end_mean_IFN
Lineage1	1	11->6->0->12->4->3->1	7	11	1	7467	18.3156411458615	1.5858984898458781	1.1800985374125776	0.2702474711093649	1.7848889097043141	1.9675524674329279	0.39215014388061925
Lineage2	2	11->6->0->12->4->3->8	7	11	8	7128	17.3799979558578	1.5600139795369539	1.1522631667484824	0.26433803118977933	1.8331294670544864	1.6809382211724553	0.38094600837357695
Lineage3	3	11->6->0->12->10->16->15	7	11	15	6596	20.181980772348	1.0892910031025096	0.9635178833296201	0.28558769533088274	1.90135551497897	0.045951778888702395	0.3445570154894482
Lineage4	4	11->6->0->12->10->5	6	11	5	7585	24.2914929875754	0.9704414741697056	0.9235800064521584	0.27299975453708686	1.7044279763273749	0.059462222522192625	0.25884486147633295
Lineage5	5	11->6->0->12->10->7	6	11	7	6802	22.7036615742016	1.2574023422434226	1.0009325547866048	0.27736912901312466	1.8091029953534015	1.833214038194612	0.28577474686567206
Lineage6	6	11->6->0->12->10->9	6	11	9	7391	20.1951005482035	1.0419750742000295	0.9306363095784949	0.27845676066870706	1.8252394067729594	0.4133597412202732	0.2913984816732221
Lineage7	7	11->6->0->12->10->13	6	11	13	6915	20.5808355305328	1.1244695724899254	0.9733193652442835	0.27778151066488194	1.9109352697371949	0.660514364827354	0.29989301502947435
Lineage8	8	11->6->0->12->10->14	6	11	14	6803	19.7385416716491	1.1140922121784904	0.9739240299370705	0.27148294998221406	1.9536619652749012	0.2641560478735778	0.19213132115950568
Lineage9	9	11->6->0->12->10->17	6	11	17	6474	19.2623304561143	1.1203381401555925	0.9797249464530957	0.2782499368554255	1.971339972697047	0.44681618537431883	0.3147111596096428
Lineage10	10	11->6->0->2	4	11	2	3759	20.4013720537253	1.4033588980935794	1.1354806877508052	0.2606755894455492	2.443022011226281	1.645483708033314	0.21570616262880235
