leiden	n_cells	n_patients	top_stage	mean_CLDN4	mean_AT2	mean_barrier_keratin	mean_IFN	mean_slingshot	mean_dpt	is_start	is_cldn4_high_cluster
0	667	9	MIA	0.9891968141610118	0.6380879464431265	1.3865547650668217	0.2251580935898197	27.061643628746026	0.12110909819602966	False	False
1	558	4	IAC	1.9675524674329279	0.6970491298166157	1.6798071278928999	0.39215014388061925	36.76856162559311	0.06157252937555313	False	False
2	308	9	IAC	1.645483708033314	0.7266733079213343	1.2130500382191434	0.21570616262880235	59.43353181828133	0.04464118182659149	False	False
3	1301	9	IAC	1.122729891405758	0.9036702709475329	1.0970438994713512	0.2043647156540107	23.43705928907305	0.05217921733856201	False	False
4	2168	6	IAC	2.1242512995686478	1.4728027868816609	1.2242901960552783	0.3003802450666506	18.298811059300096	0.05243823677301407	False	True
5	1096	9	AIS	0.059462222522192625	0.18561198547881305	0.5440191037889452	0.25884486147633295	62.229519212336264	0.1813661903142929	False	False
6	1086	9	IAC	1.7650690325990346	2.1115952668159266	1.3596273399374925	0.2968328829741839	13.701899353135154	0.02494991570711136	False	False
7	860	8	AIS	1.833214038194612	0.5070229349585698	0.9853758859051058	0.28577474686567206	67.23799560833193	0.37155577540397644	False	False
8	218	8	IAC	1.6809382211724553	0.6439165347611776	1.5108512693657241	0.38094600837357695	46.27417664576217	0.07313079386949539	False	False
9	996	9	IAC	0.4133597412202732	0.785280741611558	0.5498424425641376	0.2913984816732221	42.01131244873319	0.06577672809362411	False	False
10	1465	9	IAC	0.6115018738821505	0.9765205870173762	0.7346450364799901	0.32313175679825124	30.729843768909717	0.06996552646160126	False	False
11	1605	9	IAC	1.284265105226701	3.7467328313246817	0.8645890779135631	0.25960015793354446	8.182719351310034	0.009420456364750862	True	False
12	382	9	IAC	1.3503302337299468	0.9771308074810949	0.9369762171105356	0.1934299702433845	18.276461914786445	0.050074413418769836	False	False
13	424	9	IAC	0.660514364827354	0.5200110627279717	0.6027877925889297	0.29989301502947435	60.19158289920663	0.13687050342559814	False	False
14	295	9	AIS	0.2641560478735778	0.7083758178235448	0.452032141530581	0.19213132115950568	56.49090233730242	0.05900895595550537	False	False
15	50	7	AIS	0.045951778888702395	0.2853568666179975	0.48331624339024226	0.3445570154894482	104.52257800198053	0.8897383809089661	False	False
16	365	9	MIA	0.19160744008952624	0.37035673451205914	0.4591013951796919	0.4145137310273027	63.999243398742394	0.19922250509262085	False	False
17	324	9	AIS	0.44681618537431883	1.1215085379258103	0.5977362531999991	0.3147111596096428	64.37503901308199	0.16444049775600433	False	False
