dataset	graph	nhood	n_cells	n_tnk	n_malig	frac_tnk	frac_malig	cldn4_all_mean	cldn4_malig_mean	dominant_lineage	n_samples_present	n_cells_da	cldn4_rho	cldn4_p	cldn4_testable	cldn4_BH_FDR	cldn4_SpatialFDR
GSE131907	GSE131907_mBrain	0	31	0	31	0.0	1.0	1.680381178855896	1.680381178855896	Epithelial cells	1	31			False		
GSE131907	GSE131907_mBrain	1	31	31	0	1.0	0.0	0.0736855566501617		NK cells	1	31			False		
GSE131907	GSE131907_mBrain	2	31	0	31	0.0	1.0	2.1429643630981445	2.1429643630981445	Epithelial cells	1	31			False		
GSE131907	GSE131907_mBrain	3	31	31	0	1.0	0.0	0.0429479703307151		NK cells	1	31			False		
GSE131907	GSE131907_mBrain	4	31	31	0	1.0	0.0	0.1275670826435089		T lymphocytes	1	31			False		
GSE131907	GSE131907_mBrain	5	31	0	0	0.0	0.0	0.1914584934711456		Myeloid cells	1	31			False		
GSE131907	GSE131907_mBrain	6	31	31	0	1.0	0.0	0.0		T lymphocytes	1	31			False		
GSE131907	GSE131907_mBrain	7	31	0	31	0.0	1.0	1.6561782360076904	1.6561782360076904	Epithelial cells	1	31			False		
GSE131907	GSE131907_mBrain	8	31	31	0	1.0	0.0	0.0		T lymphocytes	1	31			False		
GSE131907	GSE131907_mBrain	9	31	0	31	0.0	1.0	1.6875412464141846	1.6875412464141846	Epithelial cells	1	31			False		
GSE131907	GSE131907_mBrain	10	31	31	0	1.0	0.0	0.1483236700296402		T lymphocytes	1	31			False		
GSE131907	GSE131907_mBrain	11	31	0	31	0.0	1.0	1.011887550354004	1.011887550354004	Epithelial cells	1	31			False		
GSE131907	GSE131907_mBrain	12	31	12	19	0.3870967741935484	0.6129032258064516	1.0428156852722168	1.7014360427856443	Epithelial cells	6	31	-0.6571428571428573	0.1561749271137024	True	0.4916363636363636	0.4758521052619837
GSE131907	GSE131907_mBrain	13	31	0	31	0.0	1.0	1.8613635301589968	1.8613635301589968	Epithelial cells	1	31			False		
GSE131907	GSE131907_mBrain	14	31	0	31	0.0	1.0	1.9826548099517824	1.9826548099517824	Epithelial cells	1	31			False		
GSE131907	GSE131907_mBrain	15	31	0	31	0.0	1.0	2.169680595397949	2.169680595397949	Epithelial cells	3	31			False		
GSE131907	GSE131907_mBrain	16	31	31	0	1.0	0.0	0.0527701079845428		NK cells	2	31			False		
GSE131907	GSE131907_mBrain	17	31	0	0	0.0	0.0	0.0424648076295852		Myeloid cells	1	31			False		
GSE131907	GSE131907_mBrain	18	31	31	0	1.0	0.0	0.0		T lymphocytes	1	31			False		
