sample	n_cells_high_nhood	n_cells_low_nhood	frac_tnk_high_nhood	frac_tnk_low_nhood	dataset	graph	n_cells	n_malignant	n_tnk	malignant_cldn4	frac_tnk	cldn4_arm	in_pair_n
LUNG_T08	19	44	0.4736842105263157	0.3181818181818182	GSE131907	GSE131907_tLung	3545	42	2128	1.5306764841079712	0.6002820874471086	low	True
LUNG_T20	289	175	0.0034602076124567	0.1885714285714285	GSE131907	GSE131907_tLung	4001	434	2418	1.814907550811768	0.604348912771807	high	True
NS_13	111	877	0.036036036036036	0.0045610034207525	GSE131907	GSE131907_mBrain	4803	1352	1780	1.2590223550796509	0.3706017072662919	low	False
NS_04	125	742	0.0	0.0	GSE131907	GSE131907_mBrain	1718	1229	131	1.3547914028167725	0.0762514551804423	high	False
NS_19	1	563	0.0	0.0035523978685612	GSE131907	GSE131907_mBrain	3111	755	370	1.018040657043457	0.118932819029251	low	False
NS_17	612	141	0.0	0.0	GSE131907	GSE131907_mBrain	2252	1112	410	2.10437536239624	0.1820603907637655	high	False
NS_02	3	171	0.0	0.0760233918128654	GSE131907	GSE131907_mBrain	2219	181	977	0.8218572735786438	0.4402884182063993	low	False
NS_16	1	44	1.0	0.0454545454545454	GSE131907	GSE131907_mBrain	907	79	385	0.0749837458133697	0.4244762954796031	low	False
NS_07	2275	1981	0.0	0.0	GSE131907	GSE131907_mBrain	5646	5108	166	1.7547770738601685	0.0294013460857244	high	False
NS_12	1018	1333	0.0	0.0150037509377344	GSE131907	GSE131907_mBrain	3133	2811	22	1.687066912651062	0.0070220236195339	high	False
NS_06	30	100	0.0	0.19	GSE131907	GSE131907_mBrain	939	83	383	1.161139965057373	0.4078807241746539	low	False
NS_03	1687	477	0.0	0.0062893081761006	GSE131907	GSE131907_mBrain	2980	2713	145	1.998787879943848	0.0486577181208053	high	False
