dataset	graph	sample	n_cells	n_malignant	n_tnk	malignant_cldn4	frac_tnk	cldn4_arm	in_pair_n
GSE148071	GSE148071	P1	5317	3286	147	1.2062486410140991	0.0276471694564604	low	True
GSE148071	GSE148071	P2	306	120	1	1.9771252870559688	0.0032679738562091	high	True
GSE148071	GSE148071	P3	7835	6808	17	0.9790173768997192	0.0021697511167836	low	True
GSE148071	GSE148071	P4	4558	99	304	0.3793200552463531	0.0666959192628345	low	True
GSE148071	GSE148071	P5	2454	23	36	0.7294541001319885	0.0146699266503667	low	True
GSE148071	GSE148071	P6	3119	1439	88	1.9742186069488523	0.0282141712087207	high	True
GSE148071	GSE148071	P7	3059	128	1060	0.5325690507888794	0.3465184700882641	low	True
GSE148071	GSE148071	P8	1342	129	66	2.2132463455200195	0.0491803278688524	high	True
GSE148071	GSE148071	P9	3520	358	62	1.6414695978164673	0.0176136363636363	high	True
GSE148071	GSE148071	P10	3740	2459	70	1.10429048538208	0.0187165775401069	low	True
GSE148071	GSE148071	P11	574	104	46	0.0353891812264919	0.0801393728222996	low	True
GSE148071	GSE148071	P12	891	1	46		0.0516273849607182	unscored	True
GSE148071	GSE148071	P13	938	122	90	1.7487804889678955	0.0959488272921108	high	True
GSE148071	GSE148071	P14	1808	572	31	0.4316194355487823	0.017146017699115	low	True
GSE148071	GSE148071	P15	3606	2017	17	1.2946597337722778	0.00471436494731	high	True
GSE148071	GSE148071	P16	1148	872	0	1.7255853414535522	0.0	high	True
GSE148071	GSE148071	P17	8700	5972	0	0.7044427394866943	0.0	low	True
GSE148071	GSE148071	P18	3314	1559	88	1.2173537015914917	0.0265540132770066	low	True
GSE148071	GSE148071	P19	453	72	48	1.812164545059204	0.1059602649006622	high	True
GSE148071	GSE148071	P20	429	231	0	2.183753252029419	0.0	high	True
GSE148071	GSE148071	P21	1968	1080	12	1.4101277589797974	0.0060975609756097	high	True
GSE148071	GSE148071	P22	644	46	231	1.781869649887085	0.358695652173913	high	True
GSE148071	GSE148071	P23	2387	1388	32	0.658175528049469	0.0134059488898198	low	True
GSE148071	GSE148071	P24	386	79	64	1.007836103439331	0.1658031088082901	low	True
GSE148071	GSE148071	P25	4029	3108	2	1.156801700592041	0.0004964010920824	low	True
GSE148071	GSE148071	P26	570	63	82	1.669910907745361	0.143859649122807	high	True
GSE148071	GSE148071	P27	707	33	87	1.4928152561187744	0.123055162659123	high	True
GSE148071	GSE148071	P28	2373	356	64	1.6435954570770264	0.0269700800674252	high	True
GSE148071	GSE148071	P29	969	320	1	0.8770560026168823	0.001031991744066	low	True
GSE148071	GSE148071	P30	742	541	4	0.9143273830413818	0.0053908355795148	low	True
GSE148071	GSE148071	P31	387	329	4	1.4403133392333984	0.0103359173126615	high	True
