dataset	graph	nhood	n_cells	n_tnk	n_malig	frac_tnk	frac_malig	cldn4_all_mean	cldn4_malig_mean	dominant_lineage	n_samples_present	n_cells_da	cldn4_rho	cldn4_p	cldn4_testable	cldn4_BH_FDR	cldn4_SpatialFDR
GSE131907	GSE131907_tLung	0	31	31	0	1.0	0.0	0.0		T lymphocytes	0	31			False		
GSE131907	GSE131907_tLung	1	31	0	0	0.0	0.0	0.0597450658679008		Myeloid cells	1	31			False		
GSE131907	GSE131907_tLung	2	31	31	0	1.0	0.0	0.0370754078030586		T lymphocytes	3	31			False		
GSE131907	GSE131907_tLung	3	31	31	0	1.0	0.0	0.0		T lymphocytes	3	31			False		
GSE131907	GSE131907_tLung	4	31	0	31	0.0	1.0	1.8252089023590088	1.8252089023590088	Epithelial cells	1	31			False		
GSE131907	GSE131907_tLung	5	31	0	0	0.0	0.0	0.0		B lymphocytes	2	31			False		
GSE131907	GSE131907_tLung	6	31	31	0	1.0	0.0	0.0532258301973342		T lymphocytes	3	31			False		
GSE131907	GSE131907_tLung	7	31	0	0	0.0	0.0	0.0207230094820261		Myeloid cells	5	31	0.1999999999999999	0.7470600781046621	True	0.9370564495487936	0.9332209182681444
GSE131907	GSE131907_tLung	8	31	3	0	0.0967741935483871	0.0	0.0		B lymphocytes	4	31			False		
GSE131907	GSE131907_tLung	9	31	0	31	0.0	1.0	1.8609830141067505	1.8609830141067505	Epithelial cells	1	31			False		
GSE131907	GSE131907_tLung	10	31	0	31	0.0	1.0	1.6932584047317505	1.6932584047317505	Epithelial cells	1	31			False		
GSE131907	GSE131907_tLung	11	31	0	0	0.0	0.0	0.0		B lymphocytes	1	31			False		
GSE131907	GSE131907_tLung	12	31	0	31	0.0	1.0	2.390889883041382	2.390889883041382	Epithelial cells	1	31			False		
GSE131907	GSE131907_tLung	13	31	31	0	1.0	0.0	0.0		T lymphocytes	3	31			False		
GSE131907	GSE131907_tLung	14	31	0	0	0.0	0.0	0.0		B lymphocytes	1	31			False		
GSE131907	GSE131907_tLung	15	31	0	0	0.0	0.0	0.1014330238103866		Myeloid cells	1	31			False		
GSE131907	GSE131907_tLung	16	31	0	0	0.0	0.0	0.0		MAST cells	1	31			False		
GSE131907	GSE131907_tLung	17	31	0	0	0.0	0.0	0.0422724410891532		B lymphocytes	1	31			False		
GSE131907	GSE131907_tLung	18	31	31	0	1.0	0.0	0.0		T lymphocytes	0	31			False		
GSE131907	GSE131907_tLung	19	31	0	31	0.0	1.0	1.1793268918991089	1.1793268918991089	Epithelial cells	1	31			False		
GSE131907	GSE131907_tLung	20	31	0	29	0.0	0.935483870967742	1.5945007801055908	1.5609469413757324	Epithelial cells	5	31	0.8999999999999998	0.0373860734684987	True	0.5134213685474178	0.4323792393704611
GSE131907	GSE131907_tLung	21	31	24	5	0.7741935483870968	0.1612903225806451	0.2253261655569076	1.3970222473144531	T lymphocytes	9	31	-0.2666666666666666	0.4879222748387007	True	0.9161252419861912	0.9160471790155642
GSE131907	GSE131907_tLung	22	31	31	0	1.0	0.0	0.0487761460244655		T lymphocytes	3	31			False		
GSE131907	GSE131907_tLung	23	31	31	0	1.0	0.0	0.0		T lymphocytes	0	31			False		
GSE131907	GSE131907_tLung	24	31	31	0	1.0	0.0	0.0		T lymphocytes	0	31			False		
GSE131907	GSE131907_tLung	25	31	0	0	0.0	0.0	0.0439322367310524		Myeloid cells	5	31	-0.3	0.623837664781073	True	0.9161252419861912	0.9160471790155642
GSE131907	GSE131907_tLung	26	31	31	0	1.0	0.0	0.0		T lymphocytes	1	31			False		
GSE131907	GSE131907_tLung	27	31	31	0	1.0	0.0	0.0952127426862716		T lymphocytes	1	31			False		
GSE131907	GSE131907_tLung	28	31	0	31	0.0	1.0	1.7595187425613403	1.7595187425613403	Epithelial cells	2	31			False		
GSE131907	GSE131907_tLung	29	31	0	0	0.0	0.0	0.1130477935075759		B lymphocytes	1	31			False		
GSE131907	GSE131907_tLung	30	31	31	0	1.0	0.0	0.0		T lymphocytes	4	31			False		
GSE131907	GSE131907_tLung	31	31	0	0	0.0	0.0	0.0		Myeloid cells	2	31			False		
GSE131907	GSE131907_tLung	32	31	0	31	0.0	1.0	1.6892764568328855	1.6892764568328855	Epithelial cells	2	31			False		
GSE131907	GSE131907_tLung	33	31	0	0	0.0	0.0	0.0297519620507955		Myeloid cells	1	31			False		
GSE131907	GSE131907_tLung	34	31	31	0	1.0	0.0	0.0		T lymphocytes	3	31			False		
GSE131907	GSE131907_tLung	35	31	0	0	0.0	0.0	0.0220967084169387		Myeloid cells	4	31			False		
GSE131907	GSE131907_tLung	36	31	0	0	0.0	0.0	0.0447886101901531		B lymphocytes	1	31			False		
GSE131907	GSE131907_tLung	37	31	31	0	1.0	0.0	0.0		T lymphocytes	0	31			False		
GSE131907	GSE131907_tLung	38	31	0	0	0.0	0.0	0.1404299885034561		Myeloid cells	1	31			False		
GSE131907	GSE131907_tLung	39	31	31	0	1.0	0.0	0.0537810362875461		T lymphocytes	2	31			False		
GSE131907	GSE131907_tLung	40	31	31	0	1.0	0.0	0.0		NK cells	1	31			False		
GSE131907	GSE131907_tLung	41	31	31	0	1.0	0.0	0.0		T lymphocytes	0	31			False		
GSE131907	GSE131907_tLung	42	31	0	0	0.0	0.0	0.0		MAST cells	4	31			False		
