family,statistic,outcome,sample,donor,effect
within_fov,delta,cd8nk_count_20,Lung5_Rep1,Lung5,-0.28460914457945463
within_fov,delta,cd8nk_count_40,Lung5_Rep1,Lung5,-0.9302997649085459
within_fov,delta,cd8nk_count_50,Lung5_Rep1,Lung5,-1.2879040738305667
within_fov,delta,cd8nk_count_80,Lung5_Rep1,Lung5,-2.5926158606209992
within_fov,delta,cd8nk_count_100,Lung5_Rep1,Lung5,-3.4297635891321607
within_fov,delta,cd8nk_contact_20,Lung5_Rep1,Lung5,-0.17605466695847902
within_fov,delta,cd8nk_count_20,Lung5_Rep2,Lung5,-0.4144860802755978
within_fov,delta,cd8nk_count_40,Lung5_Rep2,Lung5,-1.2755206768799998
within_fov,delta,cd8nk_count_50,Lung5_Rep2,Lung5,-1.7736757009580955
within_fov,delta,cd8nk_count_80,Lung5_Rep2,Lung5,-3.3218501763332693
within_fov,delta,cd8nk_count_100,Lung5_Rep2,Lung5,-4.228833424851434
within_fov,delta,cd8nk_contact_20,Lung5_Rep2,Lung5,-0.19536591684691498
within_fov,delta,cd8nk_count_20,Lung5_Rep3,Lung5,-0.31119178729469044
within_fov,delta,cd8nk_count_40,Lung5_Rep3,Lung5,-0.941314804252493
within_fov,delta,cd8nk_count_50,Lung5_Rep3,Lung5,-1.286866104417715
within_fov,delta,cd8nk_count_80,Lung5_Rep3,Lung5,-2.3817819287065825
within_fov,delta,cd8nk_count_100,Lung5_Rep3,Lung5,-3.165693235888759
within_fov,delta,cd8nk_contact_20,Lung5_Rep3,Lung5,-0.17857869593593756
within_fov,delta,cd8nk_count_20,Lung6,Lung6,-0.008906379209981328
within_fov,delta,cd8nk_count_40,Lung6,Lung6,0.014118432730216382
within_fov,delta,cd8nk_count_50,Lung6,Lung6,0.03833804166624298
within_fov,delta,cd8nk_count_80,Lung6,Lung6,0.10792199215951166
within_fov,delta,cd8nk_count_100,Lung6,Lung6,0.20911230912397658
within_fov,delta,cd8nk_contact_20,Lung6,Lung6,-0.005638832445536114
within_fov,delta,cd8nk_count_20,Lung9_Rep1,Lung9,-0.24548821924968706
within_fov,delta,cd8nk_count_40,Lung9_Rep1,Lung9,-0.8681195352251617
within_fov,delta,cd8nk_count_50,Lung9_Rep1,Lung9,-1.259433324518219
within_fov,delta,cd8nk_count_80,Lung9_Rep1,Lung9,-2.4831702901054227
within_fov,delta,cd8nk_count_100,Lung9_Rep1,Lung9,-3.342697992830314
within_fov,delta,cd8nk_contact_20,Lung9_Rep1,Lung9,-0.12743448722368517
within_fov,delta,cd8nk_count_20,Lung9_Rep2,Lung9,-0.09868829757699141
within_fov,delta,cd8nk_count_40,Lung9_Rep2,Lung9,-0.31541598332646703
within_fov,delta,cd8nk_count_50,Lung9_Rep2,Lung9,-0.44653737105863317
within_fov,delta,cd8nk_count_80,Lung9_Rep2,Lung9,-0.8141526539285207
within_fov,delta,cd8nk_count_100,Lung9_Rep2,Lung9,-0.9824947744130017
within_fov,delta,cd8nk_contact_20,Lung9_Rep2,Lung9,-0.0685247140207518
within_fov,delta,cd8nk_count_20,Lung12,Lung12,-0.38160586650084666
within_fov,delta,cd8nk_count_40,Lung12,Lung12,-1.2195581264584356
within_fov,delta,cd8nk_count_50,Lung12,Lung12,-1.7099186067025294
within_fov,delta,cd8nk_count_80,Lung12,Lung12,-3.0989406256997674
within_fov,delta,cd8nk_count_100,Lung12,Lung12,-3.916174513288433
within_fov,delta,cd8nk_contact_20,Lung12,Lung12,-0.2033876176811889
within_fov,delta,cd8nk_count_20,Lung13,Lung13,-0.2857364067401543
within_fov,delta,cd8nk_count_40,Lung13,Lung13,-0.7385100328797624
within_fov,delta,cd8nk_count_50,Lung13,Lung13,-0.9039582865588839
within_fov,delta,cd8nk_count_80,Lung13,Lung13,-1.012998430673901
within_fov,delta,cd8nk_count_100,Lung13,Lung13,-0.740296588774741
within_fov,delta,cd8nk_contact_20,Lung13,Lung13,-0.15227580083635367
within_fov,spearman,cd8nk_count_20,Lung5_Rep1,Lung5,-0.15800413517141546
within_fov,spearman,cd8nk_count_40,Lung5_Rep1,Lung5,-0.16845890358365612
within_fov,spearman,cd8nk_count_50,Lung5_Rep1,Lung5,-0.15993861395211753
within_fov,spearman,cd8nk_count_80,Lung5_Rep1,Lung5,-0.1375963763455029
within_fov,spearman,cd8nk_count_100,Lung5_Rep1,Lung5,-0.11911339209721292
within_fov,spearman,cd8nk_contact_20,Lung5_Rep1,Lung5,-0.15802859504662878
within_fov,spearman,cd8nk_count_20,Lung5_Rep2,Lung5,-0.1732836952639337
within_fov,spearman,cd8nk_count_40,Lung5_Rep2,Lung5,-0.1698474519285967
within_fov,spearman,cd8nk_count_50,Lung5_Rep2,Lung5,-0.15741016193452173
within_fov,spearman,cd8nk_count_80,Lung5_Rep2,Lung5,-0.12708894456943684
within_fov,spearman,cd8nk_count_100,Lung5_Rep2,Lung5,-0.10671701763759876
within_fov,spearman,cd8nk_contact_20,Lung5_Rep2,Lung5,-0.17161733475696614
within_fov,spearman,cd8nk_count_20,Lung5_Rep3,Lung5,-0.15666719999557274
within_fov,spearman,cd8nk_count_40,Lung5_Rep3,Lung5,-0.16891652184782932
within_fov,spearman,cd8nk_count_50,Lung5_Rep3,Lung5,-0.15947344295656307
within_fov,spearman,cd8nk_count_80,Lung5_Rep3,Lung5,-0.1357996325254604
within_fov,spearman,cd8nk_count_100,Lung5_Rep3,Lung5,-0.12360857484372678
within_fov,spearman,cd8nk_contact_20,Lung5_Rep3,Lung5,-0.15775689940671436
within_fov,spearman,cd8nk_count_20,Lung6,Lung6,-0.00616434993225476
within_fov,spearman,cd8nk_count_40,Lung6,Lung6,0.00842314482026144
within_fov,spearman,cd8nk_count_50,Lung6,Lung6,0.017705326867768736
within_fov,spearman,cd8nk_count_80,Lung6,Lung6,0.019281822048129355
within_fov,spearman,cd8nk_count_100,Lung6,Lung6,0.021701987776941864
within_fov,spearman,cd8nk_contact_20,Lung6,Lung6,-0.005914442729222896
within_fov,spearman,cd8nk_count_20,Lung9_Rep1,Lung9,-0.15333254461890394
within_fov,spearman,cd8nk_count_40,Lung9_Rep1,Lung9,-0.20318932682715013
within_fov,spearman,cd8nk_count_50,Lung9_Rep1,Lung9,-0.20722528203080795
within_fov,spearman,cd8nk_count_80,Lung9_Rep1,Lung9,-0.1873287231913711
within_fov,spearman,cd8nk_count_100,Lung9_Rep1,Lung9,-0.16984399908159067
within_fov,spearman,cd8nk_contact_20,Lung9_Rep1,Lung9,-0.14489137362526627
within_fov,spearman,cd8nk_count_20,Lung9_Rep2,Lung9,-0.0872672329370277
within_fov,spearman,cd8nk_count_40,Lung9_Rep2,Lung9,-0.11375307637665213
within_fov,spearman,cd8nk_count_50,Lung9_Rep2,Lung9,-0.11793809025654739
within_fov,spearman,cd8nk_count_80,Lung9_Rep2,Lung9,-0.10969129089831448
within_fov,spearman,cd8nk_count_100,Lung9_Rep2,Lung9,-0.09587330984323258
within_fov,spearman,cd8nk_contact_20,Lung9_Rep2,Lung9,-0.08525155733064778
within_fov,spearman,cd8nk_count_20,Lung12,Lung12,-0.17321296844937664
within_fov,spearman,cd8nk_count_40,Lung12,Lung12,-0.2017749292091407
within_fov,spearman,cd8nk_count_50,Lung12,Lung12,-0.19539288019036224
within_fov,spearman,cd8nk_count_80,Lung12,Lung12,-0.1682000111353703
within_fov,spearman,cd8nk_count_100,Lung12,Lung12,-0.15128700024215622
within_fov,spearman,cd8nk_contact_20,Lung12,Lung12,-0.17166061440740757
within_fov,spearman,cd8nk_count_20,Lung13,Lung13,-0.18527809207400858
within_fov,spearman,cd8nk_count_40,Lung13,Lung13,-0.1588951159348113
within_fov,spearman,cd8nk_count_50,Lung13,Lung13,-0.13620563500740682
within_fov,spearman,cd8nk_count_80,Lung13,Lung13,-0.07186489894994719
