outcome,donor,bin,bin_index,mean_outcome
cd8nk_count_50,Lung5,undetected,1,5.345200481817737
cd8nk_count_50,Lung5,P1,2,2.9958791305170913
cd8nk_count_50,Lung5,P2,3,3.34698905592945
cd8nk_count_50,Lung5,P3,4,3.801846873379553
cd8nk_count_50,Lung5,P4,5,4.892243313895274
cd8nk_count_50,Lung6,undetected,1,0.7025686638890197
cd8nk_count_50,Lung6,P1,2,0.5342381724399153
cd8nk_count_50,Lung6,P2,3,0.7040237398762843
cd8nk_count_50,Lung6,P3,4,0.7296085569117092
cd8nk_count_50,Lung6,P4,5,1.007699839621464
cd8nk_count_50,Lung9,undetected,1,3.446889558243394
cd8nk_count_50,Lung9,P1,2,2.540189182558361
cd8nk_count_50,Lung9,P2,3,2.4493913817085384
cd8nk_count_50,Lung9,P3,4,2.392639519636022
cd8nk_count_50,Lung9,P4,5,2.4596129941071623
cd8nk_count_50,Lung12,undetected,1,4.979752838049401
cd8nk_count_50,Lung12,P1,2,3.1364663274598312
cd8nk_count_50,Lung12,P2,3,2.7948357390354706
cd8nk_count_50,Lung12,P3,4,3.157277965575982
cd8nk_count_50,Lung12,P4,5,3.977954882897688
cd8nk_count_50,Lung13,undetected,1,4.243661066683944
cd8nk_count_50,Lung13,P1,2,3.717770718939831
cd8nk_count_50,Lung13,P2,3,3.373341292600139
cd8nk_count_50,Lung13,P3,4,3.205636789321217
cd8nk_count_50,Lung13,P4,5,3.0121666524517563
cd8nk_count_50,mean,undetected,1,3.743614521736699
cd8nk_count_50,mean,P1,2,2.5849087063830063
cd8nk_count_50,mean,P2,3,2.5337162418299766
cd8nk_count_50,mean,P3,4,2.6574019409648963
cd8nk_count_50,mean,P4,5,3.069935536594669
cd8nk_contact_20,Lung5,undetected,1,0.47170305333464285
cd8nk_contact_20,Lung5,P1,2,0.21797706908184378
cd8nk_contact_20,Lung5,P2,3,0.23174804972770865
cd8nk_contact_20,Lung5,P3,4,0.274930469334489
cd8nk_contact_20,Lung5,P4,5,0.38300220401302987
cd8nk_contact_20,Lung6,undetected,1,0.07755716460306569
cd8nk_contact_20,Lung6,P1,2,0.04205932526681529
cd8nk_contact_20,Lung6,P2,3,0.06779114198363143
cd8nk_contact_20,Lung6,P3,4,0.07236459211355323
cd8nk_contact_20,Lung6,P4,5,0.10788472649766769
cd8nk_contact_20,Lung9,undetected,1,0.375755496707719
cd8nk_contact_20,Lung9,P1,2,0.2559398735114911
cd8nk_contact_20,Lung9,P2,3,0.2527738312072526
cd8nk_contact_20,Lung9,P3,4,0.2515097888877889
cd8nk_contact_20,Lung9,P4,5,0.2603615390190292
cd8nk_contact_20,Lung12,undetected,1,0.4589729626412328
cd8nk_contact_20,Lung12,P1,2,0.2357695526639906
cd8nk_contact_20,Lung12,P2,3,0.19434215733887225
cd8nk_contact_20,Lung12,P3,4,0.24311257303700545
cd8nk_contact_20,Lung12,P4,5,0.3490890281366341
cd8nk_contact_20,Lung13,undetected,1,0.3781114037859826
cd8nk_contact_20,Lung13,P1,2,0.24210647579900352
cd8nk_contact_20,Lung13,P2,3,0.21103365556598802
cd8nk_contact_20,Lung13,P3,4,0.19313085107646594
cd8nk_contact_20,Lung13,P4,5,0.20056892879696325
cd8nk_contact_20,mean,undetected,1,0.3524200162145286
cd8nk_contact_20,mean,P1,2,0.19877045926462883
cd8nk_contact_20,mean,P2,3,0.1915377671646906
cd8nk_contact_20,mean,P3,4,0.2070096548898605
cd8nk_contact_20,mean,P4,5,0.2601812852926648
