donor,sample,fov,n_tumor,n_high,n_low,delta_cd8nk_count_20,spearman_cd8nk_count_20,mean_high_cd8nk_count_20,mean_low_cd8nk_count_20,delta_cd8nk_count_40,spearman_cd8nk_count_40,mean_high_cd8nk_count_40,mean_low_cd8nk_count_40,delta_cd8nk_count_50,spearman_cd8nk_count_50,mean_high_cd8nk_count_50,mean_low_cd8nk_count_50,delta_cd8nk_count_80,spearman_cd8nk_count_80,mean_high_cd8nk_count_80,mean_low_cd8nk_count_80,delta_cd8nk_count_100,spearman_cd8nk_count_100,mean_high_cd8nk_count_100,mean_low_cd8nk_count_100,delta_cd8nk_contact_20,spearman_cd8nk_contact_20,mean_high_cd8nk_contact_20,mean_low_cd8nk_contact_20
Lung5,Lung5_Rep1,1,1059,239,820,-0.40871007245637314,-0.2302593693556891,0.2510460251046025,0.6597560975609756,-1.3757424226961936,-0.31626609991338595,1.3096234309623431,2.6853658536585368,-1.9326155730176544,-0.3205655747996356,2.196652719665272,4.1292682926829265,-2.262118583528931,-0.20905674946692393,7.359832635983263,9.621951219512194,-1.825181140932747,-0.1122802884230755,12.615062761506277,14.440243902439024,-0.293948362077763,-0.23775177295752015,0.18410041841004185,0.47804878048780486
Lung5,Lung5_Rep1,2,1392,658,734,-0.4555419361784948,-0.19493686260462684,0.2188449848024316,0.6743869209809265,-1.8178486537521843,-0.22588214775303478,1.088145896656535,2.9059945504087192,-2.7028523392660446,-0.20572509226078206,1.8829787234042554,4.5858310626703,-5.981282558823286,-0.18432377509966752,5.601823708206687,11.583106267029972,-8.657131262267793,-0.17902089423592107,9.153495440729483,17.810626702997276,-0.23683360526076044,-0.19132075081396657,0.1337386018237082,0.37057220708446864
Lung5,Lung5_Rep1,3,2138,993,1145,-0.24438844839641682,-0.15703769181690178,0.17220543806646527,0.4165938864628821,-0.8424033738351869,-0.22478425169913868,0.9174219536757301,1.759825327510917,-1.2047098246678714,-0.23408831281007345,1.5105740181268883,2.7152838427947597,-2.431485023988883,-0.2517112611562077,4.065458207452165,6.4969432314410485,-3.1046302281912244,-0.23738373123987724,6.442094662638469,9.546724890829694,-0.17052731566379506,-0.1572388553800759,0.1299093655589124,0.30043668122270745
Lung5,Lung5_Rep1,4,2027,956,1071,-0.5238183139364533,-0.27521046484196077,0.252092050209205,0.7759103641456583,-1.582193546874817,-0.30585202090378405,1.395397489539749,2.977591036414566,-2.312513429360587,-0.3037258017464051,2.350418410041841,4.662931839402428,-4.908745785622478,-0.28767077197241603,6.4759414225941425,11.38468720821662,-6.655563759674022,-0.2634039229555473,10.468619246861925,17.124183006535947,-0.2947436994323531,-0.2732466988416337,0.17677824267782427,0.4715219421101774
Lung5,Lung5_Rep1,5,1901,907,994,-0.45736824474964455,-0.21526973629018414,0.2227122381477398,0.6800804828973843,-1.6704427224870724,-0.26610894376155747,1.1675854465270121,2.8380281690140845,-2.380392609238674,-0.24802192818738936,1.9757442116868797,4.3561368209255535,-5.288279844447057,-0.23738403203780242,5.41896361631753,10.707243460764587,-7.706301757624024,-0.2220830342932456,8.665931642778391,16.372233400402415,-0.2526626129433714,-0.21399685056889767,0.14773980154355015,0.40040241448692154
Lung5,Lung5_Rep1,6,1023,332,691,-0.900170871619619,-0.24100424738162468,0.7771084337349398,1.6772793053545587,-2.76477690792112,-0.22844619836445945,4.316265060240964,7.081041968162084,-3.879705507994351,-0.20721840229864255,7.1897590361445785,11.06946454413893,-8.317786340731956,-0.18265990288904888,19.3855421686747,27.703328509406656,-12.10635450630307,-0.17689192597884937,30.61144578313253,42.7178002894356,-0.24561487629243461,-0.19623689137987874,0.45481927710843373,0.7004341534008683
Lung5,Lung5_Rep1,7,2292,1146,1146,-0.2914485165794066,-0.2168673014884248,0.056719022687609075,0.3481675392670157,-0.9458987783595112,-0.17394529235939296,0.5174520069808028,1.463350785340314,-1.4389179755671904,-0.169375923865437,0.9267015706806283,2.3656195462478187,-2.849040139616056,-0.130482333703723,3.193717277486911,6.042757417102967,-4.12565445026178,-0.12335728542857297,5.456369982547993,9.582024432809773,-0.16230366492146597,-0.21304684708737662,0.049738219895287955,0.21204188481675393
Lung5,Lung5_Rep1,8,2635,1307,1328,-0.17011101022298836,-0.21908264272353872,0.05202754399387911,0.22213855421686746,-0.48000917211308897,-0.21656218373012975,0.4070390206579954,0.8870481927710844,-0.6231137249840987,-0.1981159048483988,0.7383320581484315,1.3614457831325302,-1.1261937574321772,-0.14883491831116794,2.257842387146136,3.3840361445783134,-1.472299872788783,-0.13585754517779836,3.6564651874521807,5.128765060240964,-0.12278014122288697,-0.21757726362042218,0.045141545524101,0.16792168674698796
Lung5,Lung5_Rep1,9,1436,331,1105,-0.1937635849133983,-0.07355322733834288,0.5347432024169184,0.7285067873303167,-0.4079424751541332,-0.0666553581517145,2.7341389728096677,3.142081447963801,-0.29107189238698083,-0.020559567623794666,4.619335347432024,4.910407239819005,-0.19905401156511715,-0.004454990837808586,12.027190332326285,12.226244343891402,-0.048455933616764923,0.0074251111007792,18.673716012084594,18.72217194570136,-0.09592486773933373,-0.0654267062846176,0.40181268882175225,0.497737556561086
Lung5,Lung5_Rep1,10,1773,877,896,-0.4649054711679426,-0.229267487032621,0.18129988597491448,0.6462053571428571,-1.2815796037628278,-0.2451170003989902,1.1949828962371722,2.4765625,-1.8514657822935332,-0.2524259256004788,2.0045610034207524,3.8560267857142856,-3.914680984280828,-0.25164037333582223,5.4971493728620295,9.411830357142858,-5.687722705245154,-0.2512598377199812,8.726339794754846,14.4140625,-0.2570222145300538,-0.21931298035373772,0.14253135689851767,0.39955357142857145
