family,statistic,outcome,donor,effect,ci_lo,ci_hi
within_fov,delta,cd8nk_count_50,Lung5,-1.449481959735459,-1.6397155899875848,-1.256807466066157
within_fov,delta,cd8nk_count_100,Lung5,-3.608096749957451,-4.207347277855206,-3.0095027049902145
within_fov,delta,cd8nk_contact_20,Lung5,-0.18333309324711053,-0.2020811976885554,-0.16385185586731746
within_fov,delta,cd8nk_count_50,Lung6,0.03833804166624298,-0.012437229440723344,0.10176059930482617
within_fov,delta,cd8nk_count_100,Lung6,0.20911230912397658,0.013739595611796926,0.4918828558214937
within_fov,delta,cd8nk_contact_20,Lung6,-0.005638832445536114,-0.013280043101377446,0.00265334675136155
within_fov,delta,cd8nk_count_50,Lung9,-0.852985347788426,-1.0839956796534271,-0.6510554224616656
within_fov,delta,cd8nk_count_100,Lung9,-2.1625963836216577,-2.8491166491226294,-1.4995322429307791
within_fov,delta,cd8nk_contact_20,Lung9,-0.09797960062221849,-0.119341525103621,-0.07802909057948196
within_fov,delta,cd8nk_count_50,Lung12,-1.7099186067025294,-2.1170558618325175,-1.3254809735352715
within_fov,delta,cd8nk_count_100,Lung12,-3.916174513288433,-4.962209172273863,-2.909424502726374
within_fov,delta,cd8nk_contact_20,Lung12,-0.2033876176811889,-0.23287488660365788,-0.1759354621525553
within_fov,delta,cd8nk_count_50,Lung13,-0.9039582865588839,-1.0967397649170072,-0.7266436279100343
within_fov,delta,cd8nk_count_100,Lung13,-0.740296588774741,-1.4036353179897834,-0.0663360657646405
within_fov,delta,cd8nk_contact_20,Lung13,-0.15227580083635367,-0.17728733327556107,-0.12853556301049696
within_fov,spearman,cd8nk_count_50,Lung5,-0.15894073961440078,-0.17830305308652375,-0.13844256796246687
within_fov,spearman,cd8nk_count_100,Lung5,-0.11647966152617949,-0.1352300579910158,-0.09836378373843084
within_fov,spearman,cd8nk_contact_20,Lung5,-0.16246760973676977,-0.1793867552974897,-0.14495630119831027
within_fov,spearman,cd8nk_count_50,Lung6,0.017705326867768736,0.0007636096204732137,0.035408567287111066
within_fov,spearman,cd8nk_count_100,Lung6,0.021701987776941864,0.002877853766317313,0.04344902341529832
within_fov,spearman,cd8nk_contact_20,Lung6,-0.005914442729222896,-0.015819113551786657,0.0049716153344582445
