n_qc,n_tumor,n_cd8,n_nk,n_cd8nk,n_fov,n_fov_used,n_tumor_used,sample,donor
98046,40547,7010,7222,13313,30,30,40547,Lung5_Rep1,Lung5
100437,40606,9771,8806,17179,29,29,40606,Lung5_Rep2,Lung5
97876,39185,6133,7253,12571,30,30,39185,Lung5_Rep3,Lung5
90126,73852,1299,1390,2541,30,30,73852,Lung6,Lung6
87617,46610,4049,4407,7836,20,20,46610,Lung9_Rep1,Lung9
139544,92862,4985,4628,8840,45,45,92862,Lung9_Rep2,Lung9
71440,30124,7097,5844,11860,28,28,30124,Lung12,Lung12
81248,33220,4982,4737,9099,20,20,33220,Lung13,Lung13
