patient_id,gene,est_counts
0040,CD274,74.00001
0040,CD8A,48.00177
0040,CDH1,16352.19789
0040,CLDN4,10408.02712
0040,CXCL13,28.99997
0040,CXCL9,9.0
0040,EPCAM,2803.38845
0040,FOXA1,4207.0047
0040,GATA3,14276.9983
0040,GZMA,49.0
0040,KRT20,47.0
0040,KRT5,348.99981
0040,PRF1,134.00000001
0040,TACSTD2,6187.0
0040,TGFB1,1296.05459
0040,UPK2,180.0
0471,CD274,55.99994
0471,CD8A,115.023363
0471,CDH1,11297.19894
0471,CLDN4,16904.55628
0471,CXCL13,7.0
0471,CXCL9,41.0
0471,EPCAM,245.3716
0471,FOXA1,2062.00000026
0471,GATA3,3498.99581
0471,GZMA,31.0
0471,KRT20,3144.9946
0471,KRT5,649.934
0471,PRF1,254.0
0471,TACSTD2,39435.0
0471,TGFB1,3243.579
0471,UPK2,11175.974
0522,CD274,357.0004
0522,CD8A,414.01692
0522,CDH1,10628.45281
0522,CLDN4,5989.27168
0522,CXCL13,479.0
0522,CXCL9,1762.0
0522,EPCAM,5314.99
0522,FOXA1,4918.00392288
0522,GATA3,41218.0559
0522,GZMA,173.0
0522,KRT20,94.0
0522,KRT5,453.99996
0522,PRF1,784.9999
0522,TACSTD2,20805.0
0522,TGFB1,4853.298
0522,UPK2,4043.004
1233,CD274,68.0
1233,CD8A,333.0204
1233,CDH1,1437.00738
1233,CLDN4,2198.97164003
1233,CXCL13,77.0
1233,CXCL9,1265.0
1233,EPCAM,454.9529
1233,FOXA1,845.00033
1233,GATA3,2263.001
1233,GZMA,172.0
1233,KRT20,340.9994
1233,KRT5,3751.49376
1233,PRF1,610.999838
1233,TACSTD2,5744.0
1233,TGFB1,5323.1735
1233,UPK2,795.0003
1249,CD274,728.00054
1249,CD8A,137.00222
1249,CDH1,1323.7969
1249,CLDN4,22.7350000204
1249,CXCL13,187.9997
1249,CXCL9,72.0
1249,EPCAM,57.49831
1249,FOXA1,160.000054724
1249,GATA3,65.00004
1249,GZMA,83.0
1249,KRT20,330.000604
1249,KRT5,23859.98269
1249,PRF1,30.0
1249,TACSTD2,1404.0
1249,TGFB1,999.10361
1249,UPK2,14.0
1849,CD274,128.99998
1849,CD8A,696.00974
1849,CDH1,139.1473
1849,CLDN4,6125.56694107
1849,CXCL13,16.00001
1849,CXCL9,93.0
1849,EPCAM,371.99986
1849,FOXA1,2329.9999
1849,GATA3,8430.0085
1849,GZMA,153.0
1849,KRT20,117.0
1849,KRT5,3508.23669
1849,PRF1,642.0
1849,TACSTD2,34747.0
1849,TGFB1,8152.07962
1849,UPK2,76.99995
1994,CD274,228.9999
1994,CD8A,157.00582
1994,CDH1,2060.59585
1994,CLDN4,2834.28438
1994,CXCL13,53.0
1994,CXCL9,319.0
1994,EPCAM,260.539
1994,FOXA1,1417.0047
1994,GATA3,3049.0035
1994,GZMA,112.0
1994,KRT20,117.99998
1994,KRT5,989.39355
1994,PRF1,360.0
1994,TACSTD2,3203.0
1994,TGFB1,4338.1323
1994,UPK2,3490.998
2131,CD274,975.9996
2131,CD8A,402.0155
2131,CDH1,7203.3373
2131,CLDN4,46073.38924
2131,CXCL13,19.99998
2131,CXCL9,1632.0
2131,EPCAM,6060.99114
2131,FOXA1,12803.0012
2131,GATA3,2943.999
2131,GZMA,428.0
2131,KRT20,6405.0
2131,KRT5,3411.37
2131,PRF1,3196.001
2131,TACSTD2,78488.0
2131,TGFB1,6949.7389
2131,UPK2,4912.995
2278,CD274,196.0
2278,CD8A,83.00002
2278,CDH1,1775.92969
2278,CLDN4,2637.42030005
2278,CXCL13,58.0
2278,CXCL9,255.0
2278,EPCAM,442.5488
2278,FOXA1,909.9998
2278,GATA3,376.0
2278,GZMA,56.0
2278,KRT20,62.0
2278,KRT5,2365.69975
2278,PRF1,388.0
2278,TACSTD2,3773.0
2278,TGFB1,1974.6564
2278,UPK2,96.0
2389,CD274,151.99996
2389,CD8A,424.0417
2389,CDH1,5656.8112
2389,CLDN4,3429.8303554
2389,CXCL13,168.0001
2389,CXCL9,965.0
2389,EPCAM,1165.9714
2389,FOXA1,1651.9997
2389,GATA3,7276.99864
2389,GZMA,144.0
2389,KRT20,328.0
2389,KRT5,227.99966
2389,PRF1,587.0
2389,TACSTD2,8893.0
2389,TGFB1,3400.541
2389,UPK2,1676.996
2849,CD274,1424.0006
2849,CD8A,68.00488
2849,CDH1,6605.89182
2849,CLDN4,1053.11954603
