patient_id,libsize
0040,45533737.5035977
0471,44651173.120031
0522,54521938.26929696
1233,37707672.82515065
1249,12778737.759371763
1849,23549844.19450705
1994,49993441.12135528
2131,73680202.94890822
2278,34169980.33662631
2389,35822027.52939689
2849,51096799.48934645
2937,10287574.792091863
3529,25872575.28390472
5037,28705090.012348235
5122,29692275.61102224
5338,37963404.39009496
6229,30354667.762837484
6428,16558080.446170343
6800,10191572.04882817
7577,11122972.407179125
7729,4359285.807510997
8728,34380063.13116654
9517,51866756.61314817
9723,28553574.54042248
9881,26452413.25421121
