cohort,gene,requested_target,present_exact_symbol,n_samples
discovery,TACSTD2,True,False,55
discovery,CLDN4,True,False,55
discovery,EPCAM,False,True,55
discovery,CDH1,False,True,55
discovery,MUC1,False,True,55
discovery,CEACAM6,False,True,55
validation,TACSTD2,True,False,36
validation,CLDN4,True,False,36
validation,EPCAM,False,True,36
validation,CDH1,False,True,36
validation,MUC1,False,True,36
validation,CEACAM6,False,True,36
