SampleName,Slide_ID,roi,ROI_Type,area,q_norm,LOQ.Hs_R_NGS_CTA_v1.0,snr,above_LOQ,GenesDetected
DSP-1001660013300-A-A02.dcc,ExpMSa25_1,1,hybrid hub,71238.02,53.815211,158.34333,1.14533802,FALSE,454
DSP-1001660013300-A-A03.dcc,ExpMSa25_1,2,hybrid hub,63961.82,57.044125,126.1915,1.26770713,FALSE,331
DSP-1001660013300-A-A04.dcc,ExpMSa25_1,3,hybrid hub,61695.96,46.150413,102.95018,1.11947645,FALSE,548
DSP-1001660013300-A-A05.dcc,ExpMSa25_1,4,bystander TLS,40153.68,75.343364,75.34705,1.6259718,FALSE,289
DSP-1001660013300-A-A06.dcc,ExpMSa25_1,5,bystander TLS,51476.26,54.124055,89.5756,1.07007324,FALSE,269
DSP-1001660013300-A-A07.dcc,ExpMSa25_1,6,bystander TLS,62885.8,50.399507,98.6558,1.06439547,FALSE,323
DSP-1001660013300-A-A08.dcc,ExpMSa25_1,7,immunity hub,39576.27,198.032969,72.40565,5.23352012,TRUE,565
DSP-1001660013300-A-A09.dcc,ExpMSa25_1,8,immunity hub,44893.54,144.579741,64.91149,3.91908311,TRUE,554
DSP-1001660013300-A-A10.dcc,ExpMSa25_1,9,immunity hub,53456.29,98.734692,91.22711,2.74871078,TRUE,664
DSP-1001660013300-A-A11.dcc,ExpMSa25_1,10,non-hub,55178.78,71.991969,93.17109,1.41265683,FALSE,233
DSP-1001660013300-A-A12.dcc,ExpMSa25_1,11,non-hub,46975.24,70.794618,88.17131,1.67260116,FALSE,474
DSP-1001660013300-A-B01.dcc,ExpMSa25_1,12,hybrid hub,85111.8,43.005669,154.69198,1.1540588,FALSE,588
DSP-1001660013300-A-B02.dcc,ExpMSa25_1,13,hybrid hub,81964.64,43.369326,162.15423,1.11611116,FALSE,545
DSP-1001660013300-A-B03.dcc,ExpMSa25_1,14,hybrid hub,44968.03,70.322594,74.83782,1.8267662,TRUE,546
DSP-1001660013300-A-B04.dcc,ExpMSa25_1,15,bystander TLS,52470.59,52.561387,78.99276,1.23982092,FALSE,422
DSP-1001660013300-A-B05.dcc,ExpMSa25_1,16,bystander TLS,45698.59,53.446883,66.90434,1.30805052,FALSE,501
DSP-1001660013300-A-B06.dcc,ExpMSa25_1,17,bystander TLS,39454.61,50.468628,54.39668,1.41271416,FALSE,636
DSP-1001660013300-A-B07.dcc,ExpMSa25_1,18,immunity hub,43043.64,106.891508,62.77013,2.8698225,TRUE,591
DSP-1001660013300-A-B08.dcc,ExpMSa25_1,19,immunity hub,53454.69,170.937731,99.70483,4.44451151,TRUE,521
DSP-1001660013300-A-B09.dcc,ExpMSa25_1,20,immunity hub,44970.11,100.888389,76.325,2.53743015,TRUE,587
DSP-1001660013300-A-B10.dcc,ExpMSa25_1,21,non-hub,33787.25,85.75339,61.88741,1.80266707,TRUE,259
DSP-1001660013300-A-B11.dcc,ExpMSa25_1,22,non-hub,34521.81,101.795577,51.14414,2.32525361,TRUE,365
DSP-1001660013300-A-B12.dcc,ExpMSa25_1,23,hybrid hub,78845.6,37.317615,133.92546,1.18296582,FALSE,871
DSP-1001660013300-A-C01.dcc,ExpMSa25_1,24,hybrid hub,73181.44,50.918526,127.40222,1.20688766,FALSE,452
DSP-1001660013300-A-C02.dcc,ExpMSa25_1,25,hybrid hub,47062.04,71.349585,87.84841,1.97312748,TRUE,598
DSP-1001660013300-A-C03.dcc,ExpMSa25_1,26,bystander TLS,80845.14,50.441016,123.79814,1.06887954,FALSE,347
DSP-1001660013300-A-C04.dcc,ExpMSa25_1,27,bystander TLS,49178.91,56.328571,79.37847,1.03113703,FALSE,113
DSP-1001660013300-A-C05.dcc,ExpMSa25_1,28,bystander TLS,40115.96,48.178169,69.38154,0.9190674,FALSE,169
DSP-1001660013300-A-C06.dcc,ExpMSa25_1,29,immunity hub,69356.62,86.401802,119.58494,2.67914166,TRUE,747
DSP-1001660013300-A-C07.dcc,ExpMSa25_1,30,immunity hub,64691.58,66.569411,114.31551,2.01457067,TRUE,657
DSP-1001660013300-A-C08.dcc,ExpMSa25_1,31,immunity hub,33526.04,110.270362,52.49202,2.87153338,TRUE,588
DSP-1001660013300-A-C09.dcc,ExpMSa25_1,32,non-hub,45649.04,123.250673,70.96158,2.65935852,TRUE,370
DSP-1001660013300-A-C10.dcc,ExpMSa25_1,33,non-hub,61138.85,56.069952,89.03389,1.19826829,FALSE,312
DSP-1001660013300-A-C11.dcc,ExpMSa25_1,34,hybrid hub,51938.74,47.653537,96.49977,0.95729493,FALSE,226
DSP-1001660013300-A-C12.dcc,ExpMSa25_1,35,hybrid hub,48941.68,63.907223,90.71051,1.57208489,FALSE,480
DSP-1001660013300-A-D01.dcc,ExpMSa25_1,36,hybrid hub,54605.68,57.156243,87.93385,1.18832555,FALSE,307
DSP-1001660013300-A-D02.dcc,ExpMSa25_1,37,bystander TLS,43462.31,42.886092,63.03149,0.89335985,FALSE,309
DSP-1001660013300-A-D03.dcc,ExpMSa25_1,38,bystander TLS,48225.82,63.84981,78.83832,1.26172035,FALSE,193
DSP-1001660013300-A-D04.dcc,ExpMSa25_1,39,immunity hub,77947.67,82.565602,134.58594,1.6838893,TRUE,315
DSP-1001660013300-A-D05.dcc,ExpMSa25_1,40,immunity hub,74155.95,131.45711,120.08841,3.46811317,TRUE,574
DSP-1001660013300-A-D06.dcc,ExpMSa25_1,41,immunity hub,53253.59,56.203332,91.20066,1.6783177,FALSE,704
DSP-1001660013300-A-D07.dcc,ExpMSa25_1,42,non-hub,41563.65,79.45354,88.36869,1.60613447,FALSE,263
DSP-1001660013300-A-D08.dcc,ExpMSa25_1,43,hybrid hub,36635.16,77.795364,70.78175,1.77384703,TRUE,424
DSP-1001660013300-A-D09.dcc,ExpMSa25_1,44,hybrid hub,40463.81,84.014401,64.51933,1.7071613,FALSE,230
DSP-1001660013300-A-D10.dcc,ExpMSa25_1,45,hybrid hub,58205.26,40.174839,106.52426,0.93715936,FALSE,469
DSP-1001660013300-A-D11.dcc,ExpMSa25_1,46,immunity hub,35330.38,114.365543,73.13193,2.77465347,TRUE,456
DSP-1001660013300-A-D12.dcc,ExpMSa25_1,47,immunity hub,42307.8,63.117214,72.08069,1.48807398,FALSE,430
DSP-1001660013300-A-E01.dcc,ExpMSa25_1,48,hybrid hub,75868.21,49.312106,97.31131,1.13499045,FALSE,422
DSP-1001660013300-A-E02.dcc,ExpMSa25_2,1,hybrid hub,44510.51,62.300978,55.36605,1.25358866,FALSE,204
DSP-1001660013300-A-E03.dcc,ExpMSa25_2,2,hybrid hub,35404.4,66.662073,49.77157,1.35590616,FALSE,178
DSP-1001660013300-A-E04.dcc,ExpMSa25_2,3,hybrid hub,38017.47,65.766914,45.14276,1.35757372,FALSE,230
DSP-1001660013300-A-E05.dcc,ExpMSa25_2,4,bystander TLS,73681.48,52.435871,110.88346,1.0811719,FALSE,239
DSP-1001660013300-A-E06.dcc,ExpMSa25_2,5,bystander TLS,54932.76,48.138676,77.70745,1.0041021,FALSE,227
DSP-1001660013300-A-E07.dcc,ExpMSa25_2,6,bystander TLS,50813.32,57.852475,72.06183,1.15016091,FALSE,141
DSP-1001660013300-A-E08.dcc,ExpMSa25_2,7,immunity hub,33465.77,69.844492,48.16116,1.35891595,FALSE,158
DSP-1001660013300-A-E09.dcc,ExpMSa25_2,8,immunity hub,35451.4,67.434673,52.27623,1.45288839,FALSE,294
DSP-1001660013300-A-E10.dcc,ExpMSa25_2,9,immunity hub,42967.22,64.203181,65.74781,1.33848604,FALSE,216
DSP-1001660013300-A-E11.dcc,ExpMSa25_2,10,non-hub,37204.26,61.99361,63.16546,1.30372617,FALSE,266
DSP-1001660013300-A-E12.dcc,ExpMSa25_2,11,non-hub,50929.54,58.833336,80.21159,1.11696448,FALSE,166
DSP-1001660013300-A-F01.dcc,ExpMSa25_2,12,hybrid hub,46701.56,50.569257,54.26958,1.09896298,FALSE,250
DSP-1001660013300-A-F02.dcc,ExpMSa25_2,13,hybrid hub,57968.18,66.281473,74.52321,1.26711329,FALSE,184
DSP-1001660013300-A-F03.dcc,ExpMSa25_2,14,hybrid hub,62247,50.510443,83.97642,1.0873424,FALSE,312
DSP-1001660013300-A-F04.dcc,ExpMSa25_2,15,bystander TLS,78870.22,50.308465,98.50621,1.06416096,FALSE,262
DSP-1001660013300-A-F05.dcc,ExpMSa25_2,16,bystander TLS,44448.97,58.020972,65.43239,1.12279487,FALSE,175
DSP-1001660013300-A-F06.dcc,ExpMSa25_2,17,bystander TLS,38309.38,54.452325,56.72731,1.11873885,FALSE,112
DSP-1001660013300-A-F07.dcc,ExpMSa25_2,18,immunity hub,36101.71,64.210528,68.662,1.27462301,FALSE,166
