accession	bioproject	access	organism	release_date	title	url
OMIX002441	PRJCA006026	Open	Homo sapiens	2024-02-28	Single-cell transcriptomic profiling reveals the tumor heterogeneity of small-cell lung cancer	https://ngdc.cncb.ac.cn/omix/release/OMIX002441
OMIX003147	PRJCA015245	Open	Homo sapiens	2024-06-20	Human embryonic lung single-cell transcriptome data and spatial transcriptome data	https://ngdc.cncb.ac.cn/omix/release/OMIX003147
OMIX004145	PRJCA017221	Open	Homo sapiens	2023-05-25	Single-cell profiling reveals distinct immune response landscapes in tuberculous pleural effusion (TPE) and non-TPE	https://ngdc.cncb.ac.cn/omix/release/OMIX004145
OMIX007208	PRJCA029532	Open	Homo sapiens	2024-11-23	Single cell transcriptome atlas revealed bronchoalveolar immune features related to disease severity in pediatric Mycoplasma pneumoniae pneumonia	https://ngdc.cncb.ac.cn/omix/release/OMIX007208
OMIX008248	PRJCA033575	Open	Homo sapiens	2024-12-13	COVID-19-associated white lung correlates with the dysfunctional neutrophil response revealed by single-cell immune profiling	https://ngdc.cncb.ac.cn/omix/release/OMIX008248
OMIX011746	PRJCA045688	Open	Homo sapiens	2026-03-23	Single-cell dissection of pleural and systemic immunity uncovers pathogen-specific immune reprogramming in tuberculosis versus lung adenocarcinoma	https://ngdc.cncb.ac.cn/omix/release/OMIX011746
