patient	n_malignant	n_CLDN4_pos	n_CLDN4_zero	pct_CLDN4_pos	median_CLDN4_count	mean_CLDN4_logcpm	spearman_included	poszero_included	reason	spearman_CLDN4_STING	spearman_CLDN4_STING_p	spearman_CLDN4_IFN	spearman_CLDN4_IFN_p	spearman_CLDN4_APM	spearman_CLDN4_APM_p	spearman_CLDN4_TJ	spearman_CLDN4_TJ_p	spearman_CLDN4_log_nCount	spearman_CLDN4_log_nCount_p	spearman_CLDN4_nFeature	spearman_CLDN4_nFeature_p	n_high	n_low	median_nCount_high	median_nCount_low	median_nFeature_high	median_nFeature_low	mean_CLDN4_logcpm_high	mean_CLDN4_logcpm_low	STING_high	STING_low	STING_delta_high_minus_low	IFN_high	IFN_low	IFN_delta_high_minus_low	APM_high	APM_low	APM_delta_high_minus_low	TJ_high	TJ_low	TJ_delta_high_minus_low	CLDN4_delta_high_minus_low	STING1_delta_high_minus_low	CGAS_delta_high_minus_low	TBK1_delta_high_minus_low	IRF3_delta_high_minus_low	STAT1_delta_high_minus_low	ISG15_delta_high_minus_low	MX1_delta_high_minus_low	HLA-A_delta_high_minus_low	B2M_delta_high_minus_low	TAP1_delta_high_minus_low	EPCAM_delta_high_minus_low	PTPRC_delta_high_minus_low	CD3D_delta_high_minus_low	CD68_delta_high_minus_low
P1	2	2	0	1.0	30.0	2.584426255928864	0	0	n_malignant<40																																															
P10	272	247	25	0.9080882352941176	11.0	1.519084993382435	1	1	spearman n>=40	-0.00037338220143734164	0.9951093033347537	0.09263594914929772	0.12750020753820446	0.2088590610504722	0.0005262182033673943	0.304251414928787	3.111821013418496e-07	0.19899389894085132	0.0009673990199445311	0.19173998870038544	0.0014869201678560041	247	25	32438.0	11386.0	3649.0	2244.0	1.6728385352227628	0.0	0.18252510682643155	0.18024031409857597	0.002284792727855589	0.11233519414984437	0.07450426861885118	0.037830925530993195	0.5412729490837294	0.4136546767355037	0.12761827234822565	0.7412661710413508	0.547752141712452	0.19351402932889883	1.6728385352227628	0.05463928140548313	0.01586729707715956	0.01468312012901285	-0.09425640536427338	-0.009553921070716231	0.03450873869943444	0.06156538840405644	0.020369956256571564	0.24234398034456417	0.011243020730417668	0.6171589437008564	0.019664368489180774	0.00338654912224228	-0.0904346173799752
P11	252	235	17	0.9325396825396826	9.0	1.3350112351449168	1	1	spearman n>=40	0.08467943194612454	0.1802553918111868	0.3674471809424696	1.7899519771973282e-09	0.311987997882634	4.3092110368397553e-07	0.5241356665230472	3.483391266345535e-19	0.05290886704246517	0.402979147722741	0.20164322254210215	0.001290008815009322	235	17	42187.0	23016.0	3890.0	2464.0	1.431586515985187	0.0	0.15278098968017753	0.13729659970255595	0.015484389977621582	0.17475482914847337	0.11694103601683872	0.05781379313163465	0.6523129356336583	0.5280863372403973	0.124226598393261	0.7162158746220141	0.4124426287579249	0.30377324586408916	1.431586515985187	0.1489598088878987	-0.10877024883242263	-0.16235308053838596	-0.0030237289461912953	0.12262340812096859	0.38868229401745735	0.06996297483494117	0.29758255546991175	0.2349936208011636	0.02729325084269813	0.9230807817321416	-0.008413242872279847	0.0056719353468854036	-0.01821941513757412
P12	100	80	20	0.8	11.0	0.920277306614835	1	1	spearman n>=40	-0.11224024742991288	0.26622050085322296	0.06553054369442998	0.517137984640509	0.09572026093749228	0.34346263631487883	0.16598018560095118	0.09886049840526255	0.13386899417236445	0.1842294349823268	0.07824009490840966	0.4390778283993756	80	20	67403.5	43695.5	4839.0	4200.0	1.1503466332685437	0.0	0.1316301203131817	0.11412142872171893	0.01750869159146276	0.19128230187804923	0.17279869775765475	0.018483604120394487	0.8541631825041186	0.849225372316855	0.0049378101872635805	0.786823821348961	0.6541300745514316	0.13269374679752943	1.1503466332685437	-0.08247292915169686	0.019543552926270767	0.004238448633902603	0.11263163698545152	0.1154291353845156	0.21048882043539094	0.01876825072305504	-0.005334800300651699	-0.02133473050676349	0.009618602172493107	0.23032165958509054	0.015958079040264805	0.03206917729202512	-0.05210087230372022
P13	274	222	52	0.8102189781021898	4.0	0.7924662492138622	1	1	spearman n>=40	-0.05325145918016367	0.3799101189088718	0.07057908802895112	0.24426056542024352	0.10150198139528288	0.09357985076613555	0.17527275314808588	0.0036075758201214235	0.028618910397586943	0.6371707970364089	0.10927974084421507	0.0709113978295174	222	52	38143.5	27784.5	4192.0	3467.5	0.9780889742549472	0.0	0.20026336611458956	0.21059781434841857	-0.010334448233829008	0.3480170548760581	0.33099855974527326	0.01701849513078485	0.789145758437407	0.755703580283758	0.03344217815364903	0.6913431785565733	0.6192707353136842	0.0720724432428892	0.9780889742549472	-0.026559940134315424	0.003927792657924188	-0.06886251879301747	-0.04196026642151285	0.07835429303429264	0.06122475096414037	0.059942969207361585	-0.01914822664882987	0.033914545903672266	-0.016530242344841822	0.13494946233433147	-0.05275437911101009	-0.01950096375371286	0.023629132678709835
P14	7	7	0	1.0	87.0	1.8853987142991742	0	0	n_malignant<40																																															
P2	335	330	5	0.9850746268656716	48.0	1.8226650402900697	1	0	spearman n>=40; pos/zero group <15	0.09191994191454826	0.09301951336047518	-0.15076470316002882	0.0056930782077282095	-0.0226313193942671	0.6798075472837131	0.321396526877136	1.7331699166506944e-09	0.02005528717750351	0.7145614940880463	0.002391384822320024	0.9652184761860575																																			
P3	332	322	10	0.9698795180722891	13.5	1.1345343349793113	1	0	spearman n>=40; pos/zero group <15	-0.04553931976156983	0.4081999282583832	0.04719636178849186	0.3913382319906582	0.09697498256112098	0.07765375930998121	0.18299475310718508	0.0008078835482753656	0.050669761643718454	0.35738664676612936	0.13413332236912154	0.014450308674917166																																			
P4	252	190	62	0.753968253968254	3.0	0.8818955418089346	1	1	spearman n>=40	-0.01175540785283037	0.8526879023193376	0.1316580935584848	0.03673318799865692	0.1499616932118426	0.01720865009809198	0.150428819421995	0.01686098238061618	0.0790273924036362	0.21121183645821826	0.10469752138116403	0.0972530624630493	190	62	23516.5	13400.0	3592.5	2813.5	1.1696719817676395	0.0	0.12827099281963145	0.11123954043484925	0.017031452384782195	0.10164955245126066	0.07429471792968327	0.027354834521577387	0.5683799826389138	0.5021179809317917	0.06626200170712204	0.6358723177186613	0.5854341734434692	0.05043814427519211	1.1696719817676395	0.02570406827003017	0.003458436745809609	-0.04452017874455824	0.1894571355752472	0.08433009655986445	0.054346589327988054	0.022717702852539236	0.11296059512506429	-0.04363785096579331	0.01176710019311334	0.0835465380013456	-0.023660419126230226	-0.003433010912594372	-0.014081307691359561
P5	57	51	6	0.8947368421052632	22.0	1.2661490189796005	1	0	spearman n>=40; pos/zero group <15	0.18972704390706543	0.1574943499036486	0.08615854946934297	0.5239566268419953	-0.14050620807326425	0.2971894356979354	0.3610098348672169	0.005799810977012556	0.32842069590722833	0.012624243515784455	0.4253774376886869	0.0009717670032745737																																			
P7	221	210	11	0.9502262443438914	22.0	1.271632100500527	1	0	spearman n>=40; pos/zero group <15	0.12046048446352572	0.07391618296038127	-0.01207673879166884	0.8583130255804998	-0.06500225158498685	0.33611707944558805	0.3915111496454742	1.6431579825692021e-09	-0.0298327246601048	0.6591561513996613	-0.07502769871275893	0.2667371536906713																																			
