accession	bioproject	access	is_controlled	title	organization	release_time_string	study_type_id	url
HRA000154	PRJCA002436	Controlled	1	Single cell RNA-seq and WES data of pulmonary subsolid nodules	Peking University People's Hospital	2025-12-02	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000154
HRA000156	PRJCA002435	Controlled	1	Single cell RNA-seq and WES data of early stage lung cancer	Peking University People's Hospital	2025-12-02	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000156
HRA000270	PRJCA003224	Controlled	1	Molecular profiling of human non-small-cell lung cancer by single-cell RNA-seq	Peking University	2026-09-14	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000270
HRA000460	PRJCA003922	Controlled	1	Single cell RNA sequencing of patients diagnosed with lung cancer	Sun Yat-sen University Cancer Center	2025-04-03	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000460
HRA000553	PRJCA004164	Controlled	1	Single cell analysis of hepatic alveolar echinococcosis lesion microenvironment reveals immunosuppressive and lesion metastasis-facilitating statuses	Xinjiang Medical University	2022-09-05	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000553
HRA000607	PRJCA004322	Controlled	1	Single-cell transcriptomic analysis of small cell lung cancer reveals its immunosuppressive microenvironment and implies the benefit of immunotherapy	Shanghai Pulmonary Hospital Tongji University	2026-09-17	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000607
HRA000952	PRJCA005372	Controlled	1	Single-cell RNA-seq analysis of mixed ground-glass nodule reveals the malignant transformation of early lung adenocarcinoma	Xinqiao Hospital, Army Medical Univercity	2025-12-12	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA000952
HRA001033	PRJCA005740	Controlled	1	Single-cell RNA-seq and bulk RNA data of non-small cell lung cancer during neoadjuvant immunotherapy	Shanghai Pulmonary Hospital Tongji University	2026-09-17	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA001033
HRA001130	PRJCA005792	Controlled	1	Deciphering cell lineage specification of human lung adenocarcinoma with single-cell RNA sequencing	Frontiers Science Center for Disease-related Molecular Networks, West China Hospital, Sichuan University, Chengdu, Sichuan, China	2026-09-16	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA001130
HRA001232	PRJCA006026	Controlled	1	Single-cell transcriptomic profiling of small-cell lung cancer reveals intimate interactions between tumor cells and tumor microenvironment	Peking University	2026-09-14	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA001232
HRA001430	PRJCA006719	Controlled	1	Exploration of tumor heterogeneity in patients with lung adenocarcinoma by single cell transcriptome	Beijing Institute of Genomics, Chinese Academy of Sciences	2026-09-20	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA001430
HRA001485	PRJCA007018	Controlled	1	Spatial transcriptomes of lung cancer brain metastasis	YUNNAN UNIVERSITY OF CHINESE MEDICINE 	2026-08-28	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA001485
HRA001579	PRJCA007297	Controlled	1	Single cell transcriptome profiling of lung cancer derived PTCs	Peking University	2026-04-28	1	https://ngdc.cncb.ac.cn/gsa-human/browse/HRA001579
