sample	histology	TACSTD2	CD8	CYT	GEP18	GEP18_common	ESTIMATE	ESTIMATE_Score	ESTIMATE_StromalScore	CD8_AB	purity
TCGA-05-4244-01	LUAD	12.9704	7.15	6.2591	-0.34546800216422135	-0.34546800216422135	933.74	462.76	-470.99	6.390000000000001	0.44
TCGA-05-4249-01	LUAD	12.3143	6.9276	6.61195	-0.082613572081858	-0.082613572081858	1033.35	1033.21	-0.14	6.15245	0.49
TCGA-05-4250-01	LUAD	12.5866	9.9113	9.01585	0.656674513456607	0.656674513456607	1184.84	1447.95	263.1	8.73935	0.5
TCGA-05-4382-01	LUAD	13.064	7.411	7.39785	0.6279687708207254	0.6279687708207254	1641.81	2847.24	1205.42	6.340199999999999	0.21
TCGA-05-4384-01	LUAD	11.9826	6.856	6.6874	-0.5832646515705578	-0.5832646515705578	767.77	692.34	-75.43	5.6296	0.49
TCGA-05-4389-01	LUAD	12.4865	10.2236	8.8371	0.7069315980400389	0.7069315980400389	1456.58	1058.84	-397.74	9.329049999999999	0.48
TCGA-05-4390-01	LUAD	12.1225	6.3023	5.7217	-0.9243535083307461	-0.9243535083307461	76.91	201.39	124.48	6.47765	0.57
TCGA-05-4395-01	LUAD	13.8468	7.649	8.7226	0.012850604907045541	0.012850604907045541	854.14	233.39	-620.75	6.517250000000001	0.61
TCGA-05-4396-01	LUAD	12.5302	6.1447	6.2004	-0.6616757334802488	-0.6616757334802488	-204.96	-919.14	-714.18	4.97025	0.82
TCGA-05-4397-01	LUAD	12.1637	6.9364	7.0167	0.07933021043710742	0.07933021043710742	463.66	-224.49	-688.16	6.08575	0.87
TCGA-05-4398-01	LUAD	13.2303	8.3339	7.31555	0.4565346720340717	0.4565346720340717	1514.83	1877.48	362.65	7.1144	0.33
TCGA-05-4402-01	LUAD	13.5477	6.9463	7.123799999999999	0.002447023572976088	0.002447023572976088	848.38	1056.88	208.5	5.91375	0.44
TCGA-05-4403-01	LUAD	13.4356	7.1322	7.5152	0.16272990108463847	0.16272990108463847	1327.2	1419.3	92.1	6.230650000000001	0.46
TCGA-05-4405-01	LUAD	12.3312	7.9969	6.5767500000000005	-0.4414358879212206	-0.4414358879212206	845.61	1719.54	873.93	6.611800000000001	0.38
TCGA-05-4410-01	LUAD	13.0412	9.3879	8.53895	0.8673963819860461	0.8673963819860461	1449.18	1345.71	-103.47	8.40495	0.24
TCGA-05-4415-01	LUAD	7.8968	8.7567	8.475999999999999	-0.0066013700064969415	-0.0066013700064969415	52.89	-1071.18	-1124.07	7.36955	0.67
TCGA-05-4417-01	LUAD	11.3582	8.8367	8.4228	0.5681354364669469	0.5681354364669469	1580.98	2873.0	1292.02	7.8473500000000005	0.4
TCGA-05-4418-01	LUAD	11.881	8.9393	8.33295	0.7545993211050332	0.7545993211050332	1233.33	1121.62	-111.7	8.009549999999999	0.55
TCGA-05-4420-01	LUAD	13.9231	6.6382	6.995950000000001	-1.084165064063213	-1.084165064063213	-179.48	-601.43	-421.95	6.4549	0.59
TCGA-05-4422-01	LUAD	11.9682	10.1199	8.4497	0.7550075934882976	0.7550075934882976	1425.83	732.83	-693.0	9.17125	0.62
TCGA-05-4424-01	LUAD	11.8641	8.3257	7.24245	0.23072183981522634	0.23072183981522634	1169.53	1678.95	509.42	7.48235	0.24
TCGA-05-4425-01	LUAD	12.7918	7.6333	8.841750000000001	0.4610928126116573	0.4610928126116573	1600.66	2040.69	440.03	6.6175999999999995	0.61
TCGA-05-4426-01	LUAD	14.0765	6.7589	6.267849999999999	-0.35375157641901595	-0.35375157641901595	695.94	105.7	-590.25	5.81235	0.7
TCGA-05-4427-01	LUAD	12.5083	8.2053	7.5008	0.03851502910222271	0.03851502910222271	823.37	900.55	77.18	7.2089	0.47
TCGA-05-4430-01	LUAD	12.0457	8.2556	7.8721	0.3896342793931058	0.3896342793931058	1304.67	2361.71	1057.05	7.21725	0.2
TCGA-05-4432-01	LUAD	11.6769	8.5163	8.1208	0.4107810462655939	0.4107810462655939	822.09	681.85	-140.24	7.844849999999999	0.36
TCGA-05-4433-01	LUAD	12.795	8.7479	7.94815	0.3955594007632761	0.3955594007632761	1499.08	1193.72	-305.36	7.51535	0.62
TCGA-05-4434-01	LUAD	14.0121	8.4747	8.26025	1.1228246522002288	1.1228246522002288	1881.89	2499.7	617.81	7.5611	0.45
TCGA-05-5420-01	LUAD	12.4951	9.741	9.73025	1.2811864510897113	1.2811864510897113	2704.93	3349.06	644.13	8.9826	0.25
TCGA-05-5423-01	LUAD	12.5293	7.9407	7.88305	0.16952966550669116	0.16952966550669116	1820.79	1910.9	90.11	7.2809	0.59
TCGA-05-5425-01	LUAD	11.8696	9.807	9.1402	1.0550216857194705	1.0550216857194705	1753.64	1918.97	165.33	9.3579	0.71
TCGA-05-5428-01	LUAD	13.4794	7.5246	7.09915	-0.7415723950951983	-0.7415723950951983	831.02	924.87	93.84	6.9026	0.63
TCGA-05-5429-01	LUAD	13.9396	6.5155	5.734400000000001	-0.9292882176807519	-0.9292882176807519	-66.98	-562.94	-495.96	6.0173000000000005	0.82
TCGA-05-5715-01	LUAD	13.4856	6.9494	5.96665	-0.6168648296381124	-0.6168648296381124	944.86	1402.74	457.88	5.756349999999999	0.73
TCGA-35-3615-01	LUAD	10.0115	7.4308	6.643649999999999	-0.28994282109903696	-0.28994282109903696	405.82	-17.17	-422.99	6.6972	0.69
TCGA-35-4122-01	LUAD	13.2624	9.7812	9.819749999999999	1.1637465148874342	1.1637465148874342	2295.05	3039.28	744.23	9.05405	0.21
TCGA-35-4123-01	LUAD	12.5089	11.6923	10.068000000000001	1.2377425936849211	1.2377425936849211	2138.23	2760.27	622.04	10.84065	0.4
TCGA-35-5375-01	LUAD	13.8649	9.3886	8.56705	0.44766465193678495	0.44766465193678495	1039.07	813.87	-225.2	8.42095	0.58
TCGA-38-4625-01	LUAD	8.2507	8.5807	7.8438	0.4722517968538535	0.4722517968538535	964.93	826.71	-138.22	7.17825	0.35
TCGA-38-4626-01	LUAD	11.473	7.8871	7.488300000000001	0.21578004899998102	0.21578004899998102	1926.47	3008.93	1082.46	6.81105	0.28
TCGA-38-4627-01	LUAD	12.654	7.306	7.62875	0.23044643411690047	0.23044643411690047	1512.22	3610.98	2098.77	6.534	0.22
TCGA-38-4628-01	LUAD	13.3303	5.1348	4.4119	-0.990175785835654	-0.990175785835654	720.64	1056.96	336.32	7.06525	0.5
TCGA-38-4629-01	LUAD	13.5799	9.4195	8.8524	1.1935885370175328	1.1935885370175328	1883.89	2802.86	918.97	8.3988	0.4
TCGA-38-4630-01	LUAD	10.8605	7.6893	6.0549	-0.3116855442439925	-0.3116855442439925	-361.37	-773.82	-412.46	6.82615	0.79
TCGA-38-4631-01	LUAD	12.3032	7.5827	7.36735	-0.257733133620869	-0.257733133620869	254.82	-573.31	-828.13	7.101	0.49
