cohort	patient	split	gate	contrast	n_high	n_low	n_tnk	gate_gap	cov_gap	n_extra	match_rate	expr_prop_pp	expr_prop_pp__F11R	expr_prop_pp__NECTIN2	expr_prop_pp__CDH1	expr_prop_pp__LGALS9	cellchat_hill	cellchat_hill__F11R	cellchat_hill__NECTIN2	cellchat_hill__CDH1	cellchat_hill__LGALS9	cpdb_means	cpdb_means__F11R	cpdb_means__NECTIN2	cpdb_means__CDH1	cpdb_means__LGALS9	liana_logfc	liana_logfc__F11R	liana_logfc__NECTIN2	liana_logfc__CDH1	liana_logfc__LGALS9
GSE123902	LX255B	q4q1	TACSTD2	crude	57	57	1583	1.8880349703199926	0.6872761080994868	0		-0.43859649122807015	0.0	0.0	0.0	-1.7543859649122806	-0.0068826406596371684	0.0	0.0	0.0	-0.027530562638548674	-0.019432059048974784	0.0	0.0	0.0	-0.07772823619589914	-0.05606907044843486	0.0	0.0	0.0	-0.22427628179373943
GSE123902	LX255B	q4q1	TACSTD2	strata_resid	57	57	1583	1.8880349703199926	0.6872761080994868	0		-0.656949445038088	0.0	0.0	0.0	-2.627797780152352	-0.0033331496561527533	0.0	0.0	0.0	-0.013332598624611013	-0.016355701644429198	0.0	0.0	0.0	-0.06542280657771679	-0.047192579305354934	0.0	0.0	0.0	-0.18877031722141974
GSE123902	LX255B	q4q1	TACSTD2	linear_resid	57	57	1583	1.8880349703199926	0.6872761080994868	0		-0.5379322435768662	0.0	0.0	0.0	-2.151728974307465	-0.0041129542406611735	0.0	0.0	0.0	-0.016451816962644694	-0.016950275579134956	0.0	0.0	0.0	-0.06780110231653982	-0.048908157039438606	0.0	0.0	0.0	-0.19563262815775442
GSE123902	LX255B	q4q1	TACSTD2	matched	30	30	1583	2.124235379012742	-0.059736591312957166	30	0.5263157894736842	0.8333333333333335	0.0	0.0	0.0	3.333333333333334	0.0	0.0	0.0	0.0	0.0	-0.010573860166686704	0.0	0.0	0.0	-0.042295440666746814	-0.03050971125106451	0.0	0.0	0.0	-0.12203884500425805
GSE123902	LX255B	q4q1	TACSTD2	strata_local	57	57	1583	1.8880349703199926	0.6872761080994868	3		0.8518062397372742	0.0	0.0	0.0	3.407224958949097	0.001459214360290757	0.0	0.0	0.0	0.005836857441163028	0.00033514153545553815	0.0	0.0	0.0	0.0013405661418221526	0.0009670140623952352	0.0	0.0	0.0	0.003868056249580941
GSE123902	LX255B	q4q1	CLDN4	crude	57	57	1583	2.0755112486527914	0.42138093634040774	0		-0.43859649122807015	0.0	0.0	0.0	-1.7543859649122806	-0.004007148271096334	0.0	0.0	0.0	-0.016028593084385336	-0.016554909917165964	0.0	0.0	0.0	-0.06621963966866386	-0.04776737287971772	0.0	0.0	0.0	-0.19106949151887087
GSE123902	LX255B	q4q1	CLDN4	strata_resid	57	57	1583	2.0755112486527914	0.42138093634040774	0		-1.1168798137796427	0.0	0.0	0.0	-4.467519255118571	-0.0023420276532538356	0.0	0.0	0.0	-0.009368110613015342	-0.015291894145214216	0.0	0.0	0.0	-0.061167576580856864	-0.04412307969819905	0.0	0.0	0.0	-0.1764923187927962
GSE123902	LX255B	q4q1	CLDN4	linear_resid	57	57	1583	2.0755112486527914	0.42138093634040774	0		-0.46989414678659447	0.0	0.0	0.0	-1.8795765871463779	-0.0022614015444568005	0.0	0.0	0.0	-0.009045606177827202	-0.014916415776426856	0.0	0.0	0.0	-0.05966566310570742	-0.043039678136977844	0.0	0.0	0.0	-0.17215871254791137
GSE123902	LX255B	q4q1	CLDN4	matched	38	38	1583	2.1701575215856304	-0.1366691924660079	38	0.6666666666666666	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
GSE123902	LX255B	q4q1	CLDN4	strata_local	57	57	1583	2.0755112486527914	0.42138093634040774	2		0.83128078817734	0.0	0.0	0.0	3.32512315270936	0.002337987852444388	0.0	0.0	0.0	0.009351951409777551	0.0018958613979911422	0.0	0.0	0.0	0.007583445591964569	0.005470299674189277	0.0	0.0	0.0	0.021881198696757108
GSE123902	LX255B	decile	TACSTD2	crude	22	22	1583	2.6310867220782375	0.5504700055716973	0		0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
