family	n_tested	n_p05	n_fdr05	n_up	n_down	median_logFC	top_gene	top_logFC	top_p	top_fdr	n_q1	n_q4	compartment	contrast
IFN	199	26	0	4	22	-0.6087576987004703	IL15RA	-2.8376696214139203	0.001916647412530506	0.43866410502405717	4.0	3.0	malignant	q4q1_GSE123902
MHC-I/APM	20	3	0	0	3	-0.9518632615571537	B2M	-1.4502902753379923	0.007551908155239842	0.502876107765	4.0	3.0	malignant	q4q1_GSE123902
TJ	161	24	0	17	7	0.2121988861995078	FZD5	2.064959568110862	0.00045892682178243097	0.4138918758567634	4.0	3.0	malignant	q4q1_GSE123902
IFN	212	29	0	5	24	-0.24957790844948533	CSF2RB	-1.3160282958719882	0.00018585226954955005	0.10027937830798636			malignant	continuous_GSE123902
MHC-I/APM	21	5	0	0	5	-0.25975875642443075	B2M	-0.6209156340828001	0.010219292712059519	0.2870026608351279			malignant	continuous_GSE123902
TJ	174	24	0	16	8	0.08886602720811544	TBCD	0.6918907183795524	0.0012878739156055533	0.20567668315755386			malignant	continuous_GSE123902
IFN	218	21	0	8	13	-0.10107736040952511	LGALS3BP	0.6865382522102165	0.001469635336046162	0.311925993632349			malignant	continuous_GSE189357
MHC-I/APM	21	0	0	0	0	-0.10532561007943264	CANX	0.28568620025604513	0.10630058340858628	0.5608666996629353			malignant	continuous_GSE189357
TJ	184	19	0	10	9	-0.01088569061325205	TIAM1	-0.61728959257601	0.0032305559763028437	0.3283476531859039			malignant	continuous_GSE189357
IFN	216	45	0	4	41	-0.46349239966296496	B2M	-1.3397645636305	0.0007884778923668579	0.20001663662931743	7.0	5.0	malignant	q4q1_combined
MHC-I/APM	21	7	0	0	7	-0.7242429916717383	B2M	-1.3397645636305	0.0007884778923668579	0.20001663662931743	7.0	5.0	malignant	q4q1_combined
TJ	184	29	0	17	12	0.10231125490739487	TBCD	1.0478052244496705	0.00021970942945563393	0.16900996144896235	7.0	5.0	malignant	q4q1_combined
IFN	218	47	4	9	38	-0.14006657186180174	CSF2RB	-1.0483284640404822	1.1579945716963288e-05	0.012998934449818866			malignant	continuous_combined
MHC-I/APM	21	8	0	1	7	-0.2251276618954887	B2M	-0.49843816687088793	0.0026410694830991534	0.0896305278299208			malignant	continuous_combined
TJ	187	38	1	24	14	0.0740717061323252	TBCD	0.547980377715121	2.579728932507646e-05	0.016947818355275434			malignant	continuous_combined
