patient	cohort	unit	cldn4_pct	cldn4_mean	n_malignant	n_tnk	quartile
LX255B	GSE123902	donor	0.3508771929824561	0.4488016514639581	228	1583	Q2
LX653	GSE123902	donor	0.7172413793103448	1.2524068271342224	145	49	Q4
LX661	GSE123902	donor	0.5897435897435898	0.8576085684228482	117	3726	Q3
LX666	GSE123902	donor	0.6717557251908397	0.9923952117887151	786	177	Q3
LX675	GSE123902	donor	0.313915857605178	0.582960587751478	618	1336	Q1
LX676	GSE123902	donor	0.4217687074829932	0.831390019521496	147	2606	Q2
LX679	GSE123902	donor	0.4325955734406438	0.5643712240448416	497	625	Q2
LX680	GSE123902	donor	0.7325581395348837	1.85907788462344	258	344	Q4
LX681	GSE123902	donor	0.6329743164871583	1.1775350457817828	1207	86	Q3
LX682	GSE123902	donor	0.1876484560570071	0.4613182340255857	421	2558	Q1
LX684	GSE123902	donor	0.7283236994219653	0.9118972941270772	173	92	Q4
LX699	GSE123902	donor	0.1521739130434782	0.3141177643147814	46	2263	Q1
LX701	GSE123902	donor	0.1111111111111111	0.1116109679423314	90	322	Q1
TD1	GSE189357	patient	0.561299176578225	0.9674971541301648	2186	9915	Q3
TD2	GSE189357	patient	0.356255178127589	0.5306434754503818	1207	11334	Q1
TD3	GSE189357	patient	0.4804216867469879	0.6981268538447051	664	6525	Q3
TD4	GSE189357	patient	0.3034623217922607	0.5108686257635009	491	7096	Q1
TD5	GSE189357	patient	0.3686635944700461	0.5360227792318812	1736	11055	Q2
TD6	GSE189357	patient	0.6350123864574732	1.13970175467227	1211	3392	Q4
TD7	GSE189357	patient	0.3663133097762073	0.4511173921656661	849	1851	Q1
TD8	GSE189357	patient	0.4533856722276742	0.6825880840310956	1019	7257	Q2
TD9	GSE189357	patient	0.7856412354264676	1.286821189923943	4889	4345	Q4
