gene	logFC	AveExpr	t	p	se	df	fdr	compartment	cohort	contrast	n_q1	n_q4	family
TMEM263	-0.39344677392009164	5.364048505451445	-1.3851902665296125	0.2246099294143686	0.28403807291096106	5	0.7169118983170721	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
CLIC5	1.8747746825545735	2.464286550989029	1.3851055524886562	0.2246342049072701	1.3535247759177023	5	0.7169118983170721	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
HMCN1	2.126033777584069	1.9649045355889752	1.385028300157624	0.2246563443404862	1.5350110733059494	5	0.7169118983170721	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
SDR39U1	0.3482483112422326	4.618743614643492	1.3850107453787013	0.22466137558007623	0.2514408732237031	5	0.7169118983170721	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
SPATA18	1.3351732909508798	1.6185136017206603	1.3843040382568927	0.22486400757160527	0.964508701883238	5	0.7171818739247497	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
RP11-53O19.3	0.9441348778215781	1.6438744307734634	1.3842943817303925	0.22486677754942253	0.6820333090143679	5	0.7171818739247497	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
PRPF6	0.30307222092324493	5.703177388827157	1.3838335049362598	0.2249990175667754	0.21900916536719106	5	0.7174109383963188	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
USP6NL	0.2664090418554698	3.4687909849606013	1.383178789506705	0.22518700183432278	0.19260636721481364	5	0.7175073678368663	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
UTP15	-0.42870091373769026	2.5711848492961407	-1.3829192173244933	0.22526157205236466	0.3099970760165511	5	0.7175073678368663	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
NR1H3	1.2334149552255873	2.4933801928417685	1.3828804030371216	0.22527272466603382	0.8919172999463483	5	0.7175073678368663	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
PHKB	0.693801936806785	5.125431218348614	1.3827000757491932	0.22532454540627878	0.501773268820326	5	0.7175073678368663	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
ADGRV1	2.0620588340382917	2.8781169015101433	1.3826762460612723	0.22533139419434683	1.4913533373501762	5	0.7175073678368663	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
PFKFB2	1.5951563899927024	3.34559150434761	1.3824431054373374	0.22539841047216005	1.1538676591598849	5	0.7175283447577556	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
DUOXA1	2.0941312319928236	2.077198072827861	1.3819883478351196	0.22552918452821488	1.5153031031508142	5	0.7175580945918498	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
FAIM	0.6763441572003501	4.427008914879441	1.381844879785721	0.2255704562611685	0.4894501308317827	5	0.7175580945918498	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
PRPF39	1.1344970783843933	2.5424999089204197	1.3815889525229437	0.22564409699911392	0.8211538434153431	5	0.7175580945918498	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
GNB1	0.4328053502594603	6.471786663169225	1.3813618387694915	0.22570946585273885	0.31331787089543506	5	0.7175580945918498	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
RNF103	0.542475908795597	4.178142298855002	1.381318166260063	0.22572203790356565	0.3927233580546889	5	0.7175580945918498	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
ACTR10	0.32408511613031094	5.906262229057084	1.3811503897085595	0.2257703420410267	0.23464868021989777	5	0.7175580945918498	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
MRPL35	-0.539183055426306	4.641804087933565	-1.3809090263013917	0.22583984944684674	0.39045516044633777	5	0.7175869339930045	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
DYNLRB1	0.2053869501926535	7.81404376998735	1.3801486835886567	0.22605894318776787	0.14881508973265636	5	0.7180517548391177	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
FBXW11	0.923759421756517	4.161500572681741	1.3799817098234421	0.22610708365702045	0.6693997573885996	5	0.7180517548391177	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
TYW3	-0.39505928841807375	4.790686808668821	-1.3797079452080871	0.2261860340261554	0.28633544496874735	5	0.7180758503702942	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
TMX3	0.6102080922866349	3.9802981709344536	1.3794831866582375	0.2262508710215076	0.44234543645642266	5	0.7180758503702942	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
HOMER2	1.4634078057232054	1.8572939193984848	1.3791488729408417	0.22634734416278623	1.0610948784685539	5	0.7180758503702942	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
UBL5	0.41677590976027373	8.906103575702035	1.3791169103936125	0.22635656964258136	0.30220491578289915	5	0.7180758503702942	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
PLEKHB1	0.881681281023482	3.766060337497767	1.3785845994673278	0.2265102646852686	0.6395554406774567	5	0.718169755152388	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
CORO1B	-0.6857201283651644	5.900511843705078	-1.3783928828924739	0.22656564336515933	0.4974779954799406	5	0.718169755152388	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
DNAJC14	-0.7995850124254281	2.921425745188331	-1.3783273925587465	0.2265845636245196	0.5801125456420533	5	0.718169755152388	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
PTK2	0.6441037922314865	5.082357946191981	1.378176712015285	0.22662810110796683	0.46735936445307086	5	0.718169755152388	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
STX4	-0.42536848555138557	4.990762234555059	-1.376840483726142	0.22701453372791494	0.3089453648255688	5	0.7190555752303409	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
JOSD2	-0.5636135530572735	5.385890457894908	-1.3764982484905255	0.2271136065382629	0.40945460967737135	5	0.7190555752303409	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
ENTPD5	1.5474567754038047	2.157214542293227	1.3763749012847293	0.22714932396656304	1.1242988912100802	5	0.7190555752303409	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
CTNND1	0.5094695802252324	5.775092970245704	1.3763730429914036	0.22714986210956786	0.37015370420068183	5	0.7190555752303409	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
LSM7	0.14571037799597802	6.969067964265619	1.3761505519388277	0.22721430193222777	0.10588258515079614	5	0.7190678627780577	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
TIFA	-0.8468011399212302	4.366220131609455	-1.3757233029971574	0.22733809370094918	0.6155315811518095	5	0.7192679255542421	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
NOL4L	0.36392821334959286	3.1545212861641576	1.375119293504609	0.22751320844440498	0.2646521033255891	5	0.7193436452777655	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
PPP2CA	-0.4314985397803375	5.828080309933306	-1.3748385356374178	0.22759464903594584	0.31385397528174563	5	0.7193436452777655	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	TJ
HHEX	-0.7972064968183905	2.7845345801115493	-1.3748292150239296	0.22759735317422633	0.5798585657815795	5	0.7193436452777655	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
UXS1	0.6278341113275738	4.9173471510055515	1.3748050920794739	0.2276043519714136	0.4566713601401764	5	0.7193436452777655	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
ZNF687	0.4363835378862195	2.393782681608471	1.374579898328491	0.22766969725411346	0.31746684089944005	5	0.7193574793142682	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
BLOC1S3	0.8059803978572393	1.7717579765787619	1.374372500256973	0.22772989428518903	0.5864351896640403	5	0.7193574793142682	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
ASRGL1	1.1080956116194507	4.680526836680015	1.3739431060868168	0.2278545729161288	0.8065076397344159	5	0.7193841980587002	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
STX11	-1.1339621643022473	3.0892478459614834	-1.373621238605145	0.22794807218886642	0.8255275416778926	5	0.7193841980587002	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
GTF2F2	-0.5318827317129755	5.024124979377672	-1.3735624346502482	0.22796515803894082	0.38722865324167766	5	0.7193841980587002	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
ZNF197	0.30127568701391183	2.056151027771882	1.3733679847668112	0.22802166520845782	0.2193699651918611	5	0.7193841980587002	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
CAPG	-1.256044905496474	6.2303524496000176	-1.3733005086086039	0.22804127686482634	0.9146176657060073	5	0.7193841980587002	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
CASC4	0.46014166949815244	5.119412531503124	1.3727354918380144	0.22820555872519901	0.3352005337037283	5	0.7197112362026595	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
DUS3L	0.4686717057001081	2.544221596871586	1.3721951107354526	0.22836278155207604	0.34154888181237947	5	0.7200158439058286	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
BAIAP2	1.2347647118364582	5.270187917393644	1.371416599797466	0.22858946653065262	0.9003571285478177	5	0.720373880487645	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
NOMO3	1.2168566501369047	2.4897069932705294	1.3713884260611722	0.22859767405065237	0.8873172815318958	5	0.720373880487645	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	other
NFKBIA	0.800463905297129	9.606336635191724	1.3697565365688906	0.22907354514213973	0.5843840740502795	5	0.7209298696364249	malignant	GSE123902	q4q1_GSE123902	4.0	3.0	IFN
