cohort	role	n	n_benefit	n_other	endpoint	timepoint	treatment	scale	CLDN4_delta	CLDN4_p	NHEJ_delta	NHEJ_p	NHEJ_core_delta	NHEJ_core_p	IFN_Teff_delta	IFN_Teff_p	IFN_Hallmark_delta	IFN_Hallmark_p	rho_CLDN4_NHEJ	p_CLDN4_NHEJ	rho_CLDN4_IFN_Teff	p_CLDN4_IFN_Teff	rho_CLDN4_IFN_Hallmark	p_CLDN4_IFN_Hallmark	partial_rho_CLDN4_NHEJ_given_Teff	partial_p_Teff	partial_rho_CLDN4_NHEJ_given_MKI67	partial_p_MKI67	NHEJ_genes_found	Teff_genes_found	Hallmark_genes_found	NHEJ_scored	Hallmark_scored
GSE126044	response	16	5	11	GEO ORR responder vs non-responder	pre-treatment	anti-PD-1	log2(CPM+1)	-0.527	0.1149	-0.455	0.1804	-0.382	0.2674	1.000	0.0005	0.673	0.0380	0.232	0.3865	-0.603	0.0134	-0.403	0.1217	0.103	0.7030	0.281	0.2920	12	8	199	yes	yes
GSE135222	response	27	7	20	DCB (PFS >= 180 days) vs not	tumor RNA, timing not split in GEO	anti-PD-1/PD-L1	log2(deposited expression + 1)	0.114	0.6850	-0.186	0.4980	-0.100	0.7253	0.457	0.0813	0.071	0.8079	0.440	0.0218	0.191	0.3397	0.432	0.0243	0.522	0.0052	0.512	0.0063	13	8	196	yes	yes
GSE166449	response	22	7	15	GEO title responder vs non-responder	pre-treatment	immunotherapy (GEO title)	log2(TPM+1)	0.029	0.9452	-0.181	0.5349	-0.105	0.7309	0.467	0.0911	0.124	0.6796	0.081	0.7209	-0.193	0.3906	0.086	0.7023	0.119	0.5968	0.119	0.5975	13	8	200	yes	yes
GSE190266	response	69	17	52	6-month PFS landmark (no event vs event)	diagnosis, before anti-PD-1	anti-PD-1 monotherapy	log2(TPM+1)	0.317	0.0516					0.222	0.1737					0.402	0.0006							5	7	107	no	no
GSE207422	response	24	9	15	pathologic MPR vs NMPR	pre-treatment biopsy	anti-PD-1 + chemotherapy	deposited log2 TPM	-0.289	0.2572	-0.556	0.0274	-0.496	0.0491	0.615	0.0145	0.244	0.3401	0.190	0.3750	-0.330	0.1148	0.065	0.7621	0.121	0.5745	-0.127	0.5530	13	8	200	yes	yes
GSE218989	response	355	168	187	GEO responder vs non-responder	not stated beyond treatment with PD-1/PD-L1 inhibitor	PD-1/PD-L1 inhibitor	log2(TPM+1)	-0.051	0.4035	-0.008	0.8982	-0.031	0.6107	0.194	0.0016	0.134	0.0292	0.404	2.13e-15	0.001	0.9862	0.297	1.18e-08	0.410	8.06e-16	0.466	1.51e-20	13	8	200	yes	yes
GSE253564	correlation_only	32			none in GEO	pre-treatment	durvalumab +/- SBRT (neoadjuvant)	log2(FPKM+1)											-0.389	0.0280	-0.425	0.0154	-0.224	0.2186	-0.396	0.0247	-0.376	0.0342	13	8	198	yes	yes
GSE248378	correlation_only	29			none in GEO	post-resection	durvalumab +/- SBRT (neoadjuvant)	log2(FPKM+1)											-0.335	0.0752	-0.522	0.0037	-0.183	0.3427	-0.241	0.2082	0.118	0.5415	12	7	197	yes	yes
