n_patients	median_delta	mean_delta	n_neg	n_pos	n_zero	wilcoxon_stat	wilcoxon_p	spec	role	k	d	graph	target	comparison	gene_set	n_cells_focal	n_cells_other	n_cells_in_both_hits
53	-0.022309994507005604	-0.026399389269067822	43	10	0	191.0	3.4292934205684186e-06	primary_k30_d30_q34	primary	30	30	full	T/NK	down_vs_other	CGAS_STING_GO	997	7012	0
58	0.005531546251758071	0.016327543565292316	26	32	0	698.0	0.22268489540586955	countmax_k15_d10_q4_vs_rest	count_max_sensitivity	15	10	full	malignant	up_vs_other	IFN	1482	4486	6
42	-0.05256660373054552	-0.04363098227837985	31	11	0	177.0	0.00038144704240039573	countmax_k15_d10_q4_vs_rest	count_max_sensitivity	15	10	full	malignant	down_vs_other	IFN	650	4486	6
58	0.0027048103905714244	0.005025830966228336	27	31	0	735.0	0.3508442704219381	countmax_k15_d10_q4_vs_rest	count_max_sensitivity	15	10	full	malignant	up_vs_other	NHEJ	1482	4486	6
42	-0.027777076040605114	-0.033624673455487634	32	10	0	143.0	5.0029284011543496e-05	countmax_k15_d10_q4_vs_rest	count_max_sensitivity	15	10	full	malignant	down_vs_other	NHEJ	650	4486	6
58	-0.0008788187825187269	-0.004587192991210216	29	29	0	846.0	0.9413666226561762	countmax_k15_d10_q4_vs_rest	count_max_sensitivity	15	10	full	malignant	up_vs_other	STING	1482	4486	6
42	-0.03341478439377464	-0.037509188969050304	29	13	0	236.0	0.006279030217683612	countmax_k15_d10_q4_vs_rest	count_max_sensitivity	15	10	full	malignant	down_vs_other	STING	650	4486	6
58	-0.0018456867331948373	-0.0011195068884238728	30	28	0	791.0	0.6175106880510738	countmax_k15_d10_q4_vs_rest	count_max_sensitivity	15	10	full	malignant	up_vs_other	CGAS_STING_GO	1482	4486	6
42	-0.03527011896085344	-0.039121325261331406	31	11	0	173.0	0.0003057592521145125	countmax_k15_d10_q4_vs_rest	count_max_sensitivity	15	10	full	malignant	down_vs_other	CGAS_STING_GO	650	4486	6
0			0	0	0			countmax_k15_d10_q4_vs_rest	count_max_sensitivity	15	10	full	T/NK	up_vs_other	IFN	0	5805	0
58	-0.009896394150655102	-0.007321381189978265	37	21	0	682.0	0.1791757013268478	countmax_k15_d10_q4_vs_rest	count_max_sensitivity	15	10	full	T/NK	down_vs_other	IFN	1473	5805	0
0			0	0	0			countmax_k15_d10_q4_vs_rest	count_max_sensitivity	15	10	full	T/NK	up_vs_other	NHEJ	0	5805	0
58	-0.01141280764651259	-0.013158977362625253	43	15	0	448.0	0.0016049436130004741	countmax_k15_d10_q4_vs_rest	count_max_sensitivity	15	10	full	T/NK	down_vs_other	NHEJ	1473	5805	0
0			0	0	0			countmax_k15_d10_q4_vs_rest	count_max_sensitivity	15	10	full	T/NK	up_vs_other	STING	0	5805	0
58	-0.009884455031860931	-0.008222420150014505	38	20	0	657.0	0.1243285577487597	countmax_k15_d10_q4_vs_rest	count_max_sensitivity	15	10	full	T/NK	down_vs_other	STING	1473	5805	0
0			0	0	0			countmax_k15_d10_q4_vs_rest	count_max_sensitivity	15	10	full	T/NK	up_vs_other	CGAS_STING_GO	0	5805	0
58	-0.006843045187855848	-0.0056658241141186476	36	22	0	653.0	0.1169218695313054	countmax_k15_d10_q4_vs_rest	count_max_sensitivity	15	10	full	T/NK	down_vs_other	CGAS_STING_GO	1473	5805	0
54	0.02271044637233545	0.024894735884362515	22	32	0	474.0	0.02078630747811155	malignant_only_k30_d30_q34	malignant_intrinsic	30	30	mal	malignant	up_vs_other	IFN	2209	4651	24
29	0.014798072476310709	0.028367756966699628	12	17	0	145.0	0.12065461277961731	malignant_only_k30_d30_q34	malignant_intrinsic	30	30	mal	malignant	down_vs_other	IFN	438	4651	24
54	0.00239287892210905	0.001660358271665815	25	29	0	655.0	0.45121314234283616	malignant_only_k30_d30_q34	malignant_intrinsic	30	30	mal	malignant	up_vs_other	NHEJ	2209	4651	24
29	0.017640425389343184	0.014244254383818593	10	19	0	151.0	0.1556677184998989	malignant_only_k30_d30_q34	malignant_intrinsic	30	30	mal	malignant	down_vs_other	NHEJ	438	4651	24
54	0.01452790610226981	0.004616185270458311	24	30	0	617.0	0.27988293336826975	malignant_only_k30_d30_q34	malignant_intrinsic	30	30	mal	malignant	up_vs_other	STING	2209	4651	24
29	0.020466143314295804	0.011778450578301236	13	16	0	172.0	0.33573371544480324	malignant_only_k30_d30_q34	malignant_intrinsic	30	30	mal	malignant	down_vs_other	STING	438	4651	24
54	0.025009409784491732	0.011798080947662735	18	36	0	544.0	0.08742719159638444	malignant_only_k30_d30_q34	malignant_intrinsic	30	30	mal	malignant	up_vs_other	CGAS_STING_GO	2209	4651	24
29	0.01714455859285091	0.01589549019961903	12	17	0	157.0	0.19762490689754486	malignant_only_k30_d30_q34	malignant_intrinsic	30	30	mal	malignant	down_vs_other	CGAS_STING_GO	438	4651	24
