graph	k	d	contrast	malignant_only	n_cells	n_nhoods_sampled	singular	n_samples	rank	n_coef	n_tested	n_tnk_tested	n_tnk_down_sfdr05	n_tnk_up_sfdr05	frac_tnk_down_sfdr05	median_logfc_tnk	median_logfc_tnk_down_hits	n_mal_tested	n_mal_up_sfdr05	n_mal_down_sfdr05	median_logfc_mal	min_spatial_fdr	status	n_high	n_low
full	15	10	q34	False	22653	1972	False	65	5	5	1730	725	45	2	0.06206896551724138	-0.578980699765727	-1.71843966767009	407	136	7	0.752595772248339	9.575124079486234e-06	fit	31	34
full	15	10	q4_vs_q1	False	22653	1972	False	35	5	5	1325	653	27	0	0.04134762633996937	-0.863109654352938	-2.41594633944847	175	47	1	0.65739221930218	0.001381576380755779	fit	16	19
full	15	10	q4_vs_rest	False	22653	1972	False	65	5	5	1730	725	65	0	0.0896551724137931	-0.731225333632382	-1.99069269675132	407	99	30	0.460342891053045	3.920492445393489e-07	fit	16	49
full	15	10	upper_half	False	22653	1972	False	65	5	5	1730	725	45	0	0.06206896551724138	-0.541376978378533	-1.60357413737643	407	122	4	0.786521927751107	4.497374044838686e-05	fit	34	31
full	15	10	tertile	False	22653	1972	False	44	5	5	1554	705	39	1	0.05531914893617021	-0.78617447037672	-2.04362806026269	292	76	12	0.50336662840194	0.0002905249759351775	fit	21	23
full	30	10	q34	False	22653	1857	False	65	5	5	1729	707	14	0	0.019801980198019802	-0.555310719004647	-1.82247639551147	461	161	3	1.14297117810023	2.8704017781662487e-08	fit	31	34
full	30	10	q4_vs_q1	False	22653	1857	False	35	5	5	1559	694	17	0	0.024495677233429394	-0.9250873778091395	-2.93106839904623	323	106	5	1.38566301795244	0.00011587312837481301	fit	16	19
full	30	10	q4_vs_rest	False	22653	1857	False	65	5	5	1729	707	19	0	0.026874115983026876	-0.758947966282168	-2.385478471881	461	148	17	0.899234832311961	1.2792675543991607e-08	fit	16	49
full	30	10	upper_half	False	22653	1857	False	65	5	5	1729	707	10	0	0.014144271570014143	-0.556739819781737	-1.8314628920919551	461	150	2	1.09859136360404	1.7095894058481241e-07	fit	34	31
full	30	10	tertile	False	22653	1857	False	44	5	5	1655	706	14	0	0.019830028328611898	-0.7704760567629365	-2.255987072749945	394	124	5	1.197700550403955	1.6923378571944816e-05	fit	21	23
full	50	10	q34	False	22653	1745	False	65	5	5	1667	660	19	0	0.02878787878787879	-0.5969214557863685	-1.91368493677463	487	177	3	1.44588089753744	6.850067427975402e-07	fit	31	34
full	50	10	q4_vs_q1	False	22653	1745	False	35	5	5	1583	657	6	0	0.0091324200913242	-0.907920562252987	-3.129097260496195	418	137	2	1.5964374313659002	3.100382888360269e-05	fit	16	19
full	50	10	q4_vs_rest	False	22653	1745	False	65	5	5	1667	660	13	0	0.019696969696969695	-0.8338336065043841	-2.58223466412342	487	172	12	1.25615183044957	1.6412873509320342e-07	fit	16	49
full	50	10	upper_half	False	22653	1745	False	65	5	5	1667	660	9	0	0.013636363636363636	-0.570414759448197	-1.8382875396733	487	167	3	1.46356985393243	2.769356184339725e-06	fit	34	31
full	50	10	tertile	False	22653	1745	False	44	5	5	1636	660	10	0	0.015151515151515152	-0.8224985539225225	-2.3061514531972103	456	163	2	1.522898094003735	3.172955213940922e-06	fit	21	23
full	15	20	q34	False	22653	1743	False	65	5	5	1415	641	37	0	0.057722308892355696	-0.484289740123662	-1.73683208025745	248	84	12	0.8575614049612066	1.528747172694089e-06	fit	31	34
full	15	20	q4_vs_q1	False	22653	1743	False	35	5	5	1128	594	31	0	0.05218855218855219	-0.9780490699687845	-2.72985578507481	84	30	7	1.1445554466701702	0.0010294618943709269	fit	16	19
full	15	20	q4_vs_rest	False	22653	1743	False	65	5	5	1415	641	29	0	0.0452418096723869	-0.790930716092826	-2.24381176451729	248	60	42	0.2853235794677435	2.5477619990415546e-09	fit	16	49
full	15	20	upper_half	False	22653	1743	False	65	5	5	1415	641	29	0	0.0452418096723869	-0.504841177145035	-1.82007781514241	248	74	3	0.7359558653373834	1.9871781534856934e-06	fit	34	31
full	15	20	tertile	False	22653	1743	False	44	5	5	1276	628	20	0	0.03184713375796178	-0.7286530595241945	-2.25916578040228	152	45	1	0.6477252660667776	0.00018623900170720192	fit	21	23
full	30	20	q34	False	22653	1566	False	65	5	5	1374	562	13	0	0.023131672597864767	-0.478104717807736	-1.85321187571837	318	151	14	1.5601246957367452	8.982226885427158e-10	fit	31	34
