unit_key	dataset	n_focal	n_other	mean_focal	mean_other	delta	spec	target	comparison	gene_set
GSE123902|LX255B	GSE123902	16	11	0.20591044317870322	0.15270720072237656	0.053203242456326655	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE123902|LX653	GSE123902	82	45	0.23234716529465677	0.2549571925661626	-0.02261002727150585	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE123902|LX661	GSE123902	5	1	0.27540221230272066	0.3443797315096817	-0.06897751920696105	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE123902|LX666	GSE123902	4	218	0.34244989390407	0.363165525496681	-0.020715631592611028	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE123902|LX675	GSE123902	10	13	0.30416193841821426	0.32935113939950483	-0.02518920098129057	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE123902|LX676	GSE123902	1	4	0.28464303043932454	0.2790438546615085	0.005599175777816046	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE123902|LX679	GSE123902	2	7	0.21907012979321652	0.1515037356450906	0.06756639414812593	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE123902|LX680	GSE123902	49	59	0.24278062989874624	0.2550877953000157	-0.012307165401269443	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE123902|LX681	GSE123902	65	217	0.17146458275010512	0.28292181381322246	-0.11145723106311733	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE123902|LX682	GSE123902	6	2	0.4074202069623676	0.4917864619262735	-0.08436625496390593	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE123902|LX684	GSE123902	161	25	0.2817686911239903	0.26422219294310184	0.017546498180888437	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE123902|LX701	GSE123902	24	4	0.21076056944658073	0.18344704151874508	0.027313527927835646	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE131907|BRONCHO_11	GSE131907	12	9	0.265692720732225	0.30504163813340246	-0.03934891740117746	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE131907|BRONCHO_58	GSE131907	12	42	0.3475885257599553	0.33769609286886354	0.009892432891091762	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE131907|EBUS_06	GSE131907	4	178	0.13764982766356437	0.12298565071650858	0.014664176947055796	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE131907|EBUS_10	GSE131907	12	17	0.3428632604776456	0.2702062595857858	0.07265700089185978	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE131907|EBUS_12	GSE131907	26	8	0.43626603915675666	0.4087084742572376	0.02755756489951905	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE131907|EBUS_13	GSE131907	2	28	0.14045258117224885	0.19473830335793973	-0.05428572218569089	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE131907|EBUS_15	GSE131907	20	44	0.2835163716292072	0.22565172441970646	0.057864647209500714	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE131907|EBUS_19	GSE131907	26	5	0.33233772909442566	0.3307486967062555	0.001589032388170153	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE131907|EBUS_28	GSE131907	278	36	0.25655439943224373	0.2869918821447254	-0.030437482712481645	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE131907|EBUS_49	GSE131907	7	15	0.12607604058107896	0.13290677194775685	-0.006830731366677889	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE131907|EBUS_51	GSE131907	138	9	0.34003058650603213	0.20076964460020755	0.13926094190582458	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE131907|NS_02	GSE131907	6	26	0.1984158416788889	0.22828255015101673	-0.02986670847212783	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE131907|NS_03	GSE131907	285	27	0.23487566706454413	0.24541143762129705	-0.010535770556752921	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE131907|NS_04	GSE131907	32	191	0.18737112327101452	0.3009912923897607	-0.11362016911874617	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE131907|NS_06	GSE131907	2	26	0.308276275767138	0.2547147105623608	0.05356156520477723	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE131907|NS_07	GSE131907	51	249	0.13523616451089807	0.18441806830016308	-0.049181903789265013	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE131907|NS_12	GSE131907	258	62	0.23850962650640484	0.28799477232164367	-0.04948514581523883	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE131907|NS_13	GSE131907	22	84	0.2408285830284954	0.24894323155592474	-0.008114648527429325	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE131907|NS_17	GSE131907	44	165	0.19315467123645436	0.2579468826672006	-0.06479221143074626	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE131907|NS_19	GSE131907	26	57	0.3256787373648184	0.35375367186534634	-0.028074934500527948	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE189357|TD1	GSE189357	20	18	0.40457301861911227	0.3185109471026542	0.08606207151645806	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE189357|TD2	GSE189357	11	13	0.2696276362973323	0.21971033761348419	0.04991729868384809	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE189357|TD3	GSE189357	4	12	0.33696809952396595	0.2713852238499386	0.06558287567402737	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE189357|TD4	GSE189357	6	4	0.31653632891267164	0.2645911199237936	0.051945208988878055	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE189357|TD5	GSE189357	5	15	0.32534488605350526	0.3180266189094273	0.007318267144077961	primary_k30_d30_q34	malignant	up_vs_other	IFN
GSE189357|TD6	GSE189357	25	15	0.27523314229288487	0.26842295980175507	0.0068101824911298015	primary_k30_d30_q34	malignant	up_vs_other	IFN
