unit_key	dataset	unit_id	unit_type	tissue	n_cells	n_malignant	n_tnk	frac_tnk	mal_CLDN4_pct	mal_CLDN4_mean	eligible	malig_def	cldn4_quartile	ifn_score	mhc_score	tj_score	cldn4_high	cldn4_per10	q4q1	patient_id	n_cells_embedded	n_malignant_embedded	n_tnk_embedded	frac_tnk_embedded	site_mLN	site_tLB	keep_all	keep_q4q1	keep_131907	keep_GSE123902	keep_GSE131907	keep_GSE189357	keep_GSE205335
GSE123902|LX255B	GSE123902	LX255B	donor	METASTASIS	3886	228	1583	0.407359752959341	35.0877192982456	0.448801651463958	True	marker_malig	Q2	3.80232618752314	5.90575280988569	3.13074210054713	0	3.5087719298245603	0	GSE123902|LX255B	350	28	197	0.5628571428571428	0	0	1	0	0	1	0	0	0
GSE123902|LX653	GSE123902	LX653	donor	PRIMARY	392	145	49	0.125	71.7241379310345	1.25240682713422	True	marker_malig	Q4	4.19058257970432	6.2665626477526	4.12731788826093	1	7.17241379310345	1	GSE123902|LX653	283	145	58	0.2049469964664311	0	0	1	1	0	1	0	0	0
GSE123902|LX661	GSE123902	LX661	donor	PRIMARY	4566	117	3726	0.816031537450723	58.974358974359	0.857608568422848	True	marker_malig	Q3	4.37926445275215	6.5841079980962	3.76599166931212	1	5.8974358974359	0	GSE123902|LX661	350	6	287	0.82	0	0	1	0	0	1	0	0	0
GSE123902|LX666	GSE123902	LX666	donor	METASTASIS	1316	786	177	0.134498480243161	67.175572519084	0.992395211788715	True	marker_malig	Q3	3.69177140088097	6.37288618176613	2.84643811135261	1	6.7175572519084	0	GSE123902|LX666	350	232	58	0.1657142857142857	0	0	1	0	0	1	0	0	0
GSE123902|LX675	GSE123902	LX675	donor	PRIMARY	3435	618	1336	0.388937409024745	31.3915857605178	0.582960587751478	True	marker_malig	Q1	4.72803377054024	6.83058355231828	4.17170794753075	0	3.1391585760517797	1	GSE123902|LX675	350	26	141	0.40285714285714286	0	0	1	1	0	1	0	0	0
GSE123902|LX676	GSE123902	LX676	donor	PRIMARY	4014	147	2606	0.649227703039362	42.1768707482993	0.831390019521496	True	marker_malig	Q2	4.52243871913172	6.3092001929736	3.77934300252489	0	4.21768707482993	0	GSE123902|LX676	350	5	250	0.7142857142857143	0	0	1	0	0	1	0	0	0
GSE123902|LX679	GSE123902	LX679	donor	PRIMARY	2017	497	625	0.309866137828458	43.2595573440644	0.564371224044842	True	marker_malig	Q2	4.10866442052731	6.95854473001303	3.77894972433892	0	4.32595573440644	0	GSE123902|LX679	350	105	127	0.3628571428571429	0	0	1	0	0	1	0	0	0
GSE123902|LX680	GSE123902	LX680	donor	PRIMARY	941	258	344	0.365568544102019	73.2558139534884	1.85907788462344	True	marker_malig	Q4	3.94410189804447	6.54094968031744	3.87353492322282	1	7.32558139534884	1	GSE123902|LX680	350	111	147	0.42	0	0	1	1	0	1	0	0	0
GSE123902|LX681	GSE123902	LX681	donor	METASTASIS	1630	1207	86	0.052760736196319	63.2974316487158	1.17753504578178	True	marker_malig	Q3	3.54260645192572	4.92106471299153	3.52674757339171	1	6.32974316487158	0	GSE123902|LX681	350	282	28	0.08	0	0	1	0	0	1	0	0	0
GSE123902|LX682	GSE123902	LX682	donor	PRIMARY	4092	421	2558	0.625122189638319	18.7648456057007	0.461318234025586	True	marker_malig	Q1	5.54683579639357	8.06903121012987	4.03060113968979	0	1.87648456057007	1	GSE123902|LX682	350	12	201	0.5742857142857143	0	0	1	1	0	1	0	0	0
GSE123902|LX684	GSE123902	LX684	donor	PRIMARY	378	173	92	0.243386243386243	72.8323699421965	0.911897294127077	True	marker_malig	Q4	4.49264859361721	6.74563739361184	4.22705743693152	1	7.283236994219649	1	GSE123902|LX684	320	187	52	0.1625	0	0	1	1	0	1	0	0	0
GSE123902|LX699	GSE123902	LX699	donor	METASTASIS	2671	46	2263	0.847248221639835	15.2173913043478	0.314117764314781	True	marker_malig	Q1	4.74661340931235	6.93426669761363	4.04587315875025	0	1.52173913043478	1	GSE123902|LX699	350	1	309	0.8828571428571429	0	0	1	1	0	1	0	0	0
GSE123902|LX701	GSE123902	LX701	donor	METASTASIS	788	90	322	0.408629441624365	11.1111111111111	0.111610967942331	True	marker_malig	Q1	1.79378702935851	3.84720741324377	1.2881826669792	0	1.11111111111111	1	GSE123902|LX701	350	31	89	0.2542857142857143	0	0	1	1	0	1	0	0	0
GSE131907|BRONCHO_11	GSE131907	BRONCHO_11	sample	mLN	3178	203	809	0.254562617998741	80.7881773399015	1.80595997088303	True	author_malig	Q2	4.3895269460006	6.21949106456306	3.80091436030115	0	8.07881773399015	0	GSE131907|P1011	350	23	90	0.2571428571428571	1	0	1	0	1	0	1	0	0
GSE131907|BRONCHO_58	GSE131907	BRONCHO_58	sample	tL/B	2813	460	1546	0.549591183789549	72.1739130434783	1.42635333622356	True	author_malig	Q2	4.20857120490724	6.61213837670256	3.31772622423494	0	7.21739130434783	0	GSE131907|P1058	350	54	203	0.58	0	1	1	0	1	0	1	0	0
GSE131907|EBUS_06	GSE131907	EBUS_06	sample	tL/B	2303	1186	611	0.26530612244898	71.1635750421585	1.35522930358697	True	author_malig	Q2	3.22019978480028	4.69691023518111	4.11454705396714	0	7.11635750421585	0	GSE131907|P1006	350	184	88	0.25142857142857145	0	1	1	0	1	0	1	0	0
GSE131907|EBUS_10	GSE131907	EBUS_10	sample	mLN	5144	367	1530	0.297433903576983	84.4686648501362	1.90497348559425	True	author_malig	Q3	3.95505926651064	5.93098442405652	3.27702392282469	1	8.446866485013619	0	GSE131907|P1010	350	33	116	0.3314285714285714	1	0	1	0	1	0	1	0	0
GSE131907|EBUS_12	GSE131907	EBUS_12	sample	mLN	3115	257	328	0.10529695024077	88.3268482490272	2.35490406103567	True	author_malig	Q3	4.88010454177949	7.31081708448919	3.7509248019398	1	8.832684824902719	0	GSE131907|P1012	350	37	37	0.10571428571428572	1	0	1	0	1	0	1	0	0
