graph	k	d	contrast	malignant_only	n_cells	n_nhoods_sampled	singular	n_samples	rank	n_coef	n_tested	n_tnk_tested	n_tnk_down_sfdr05	n_tnk_up_sfdr05	frac_tnk_down_sfdr05	median_logfc_tnk	median_logfc_tnk_down_hits	n_mal_tested	n_mal_up_sfdr05	n_mal_down_sfdr05	median_logfc_mal	min_spatial_fdr	status	n_high	n_low
mal	15	10	q34	True	7424	633	False	64	5	5	401	0	0	0				401	123	17	0.701264338204718	6.951097539590983e-06	fit	31	34
mal	15	10	q4_vs_q1	True	7424	633	False	34	5	5	196	0	0	0				196	53	14	0.7522392303540975	0.0007445650299907076	fit	16	19
mal	30	10	q34	True	7424	616	False	64	5	5	494	0	0	0				494	141	5	0.9110823623437725	6.424080217698503e-07	fit	31	34
mal	30	10	q4_vs_q1	True	7424	616	False	34	5	5	336	0	0	0				336	125	19	1.17602438213705	6.021222132939071e-05	fit	16	19
mal	50	10	q34	True	7424	576	False	65	5	5	499	0	0	0				499	161	2	1.08281299429199	4.326949088133004e-08	fit	31	34
mal	50	10	q4_vs_q1	True	7424	576	False	35	5	5	421	0	0	0				421	152	20	1.02042714359983	9.81614012559258e-05	fit	16	19
mal	15	20	q34	True	7424	596	False	65	5	5	281	0	0	0				281	77	10	0.756312353247566	1.1635367799380035e-06	fit	31	34
mal	15	20	q4_vs_q1	True	7424	596	False	35	5	5	110	0	0	0				110	37	15	1.204369705549055	0.0003552602331019908	fit	16	19
mal	30	20	q34	True	7424	546	False	65	5	5	353	0	0	0				353	147	9	1.25090410283419	2.205430822909009e-08	fit	31	34
mal	30	20	q4_vs_q1	True	7424	546	False	35	5	5	204	0	0	0				204	76	14	1.144174350638735	7.38454673864974e-05	fit	16	19
mal	50	20	q34	True	7424	478	False	65	5	5	370	0	0	0				370	160	9	1.457296464680475	1.4905671974592323e-07	fit	31	34
mal	50	20	q4_vs_q1	True	7424	478	False	35	5	5	258	0	0	0				258	84	23	1.127481653556195	6.003321187790338e-05	fit	16	19
mal	15	30	q34	True	7424	563	False	65	5	5	210	0	0	0				210	52	18	0.662588758161953	8.101664395929853e-08	fit	31	34
mal	15	30	q4_vs_q1	True	7424	563	False	34	5	5	89	0	0	0				89	24	10	0.62824135472377	0.00039958110785191466	fit	16	19
mal	30	30	q34	True	7424	506	False	65	5	5	281	0	0	0				281	71	17	1.02966476172386	1.6425931358286715e-07	fit	31	34
mal	30	30	q4_vs_q1	True	7424	506	False	35	5	5	156	0	0	0				156	41	17	0.6354759788896684	6.405865501915165e-05	fit	16	19
mal	50	30	q34	True	7424	459	False	65	5	5	319	0	0	0				319	77	15	1.03676514547447	2.1327176001923337e-07	fit	31	34
mal	50	30	q4_vs_q1	True	7424	459	False	35	5	5	225	0	0	0				225	76	11	1.35769002413824	2.4876468338689055e-05	fit	16	19
