contrast	n_high	n_low	GSE123902_high	GSE131907_high	GSE189357_high	GSE205335_high	GSE123902_low	GSE131907_low	GSE189357_low	GSE205335_low
q34	31	34	6	10	4	11	7	11	5	11
q4_vs_q1	16	19	3	5	2	6	4	6	3	6
q4_vs_rest	16	49	3	5	2	6	10	16	7	16
upper_half	34	31	7	11	5	11	6	10	4	11
tertile	21	23	4	7	3	7	5	7	3	8
