k	d	contrast	rule	n_high	n_low	n_nhoods_sampled	median_ncells_graph	n_samples	rank	n_coef	singular	n_tested	n_tnk_tested	n_tnk_down_sfdr05	n_tnk_up_sfdr05	frac_tnk_down_sfdr05	median_logfc_tnk	median_abs_logfc_tnk_down	median_logfc_tnk_down	median_ncells_tnk_down	median_ncells_tnk	n_mal_tested	n_mal_up_sfdr05	n_mal_down_sfdr05	median_logfc_mal	min_spatial_fdr	n_tnk_down_sfdr001	median_abs_logfc_down_sfdr001	n_tnk_down_sfdr010	median_abs_logfc_down_sfdr010	n_tnk_down_sfdr020	median_abs_logfc_down_sfdr020	status	n65	joint_score	pareto	selected_count	selected_abs_logfc	selected_joint
12	15	top40	within-cohort top 0.400 vs rest	28	37	1882	25.0	65	5	5	False	1556	708	111	4	0.15677966101694915	-0.6865244439587025	1.59553092083539	-1.59553092083539	30.0	27.0	296	85	35	0.412280922311093	3.11419531880702e-06	38	2.01499589762404	166	1.475872017511985	267	1.25091579695562	fit	True	177.1039322127283	True	True	False	True
15	5	top33	within-cohort top 0.333 vs rest	23	42	2089	22.0	65	5	5	False	1940	781	103	0	0.13188220230473752	-0.685323980793419	1.68134809913104	-1.68134809913104	22.0	21.0	530	142	10	0.739410713426034	2.6073207713900513e-09	31	2.03878383228044	161	1.51336287696844	248	1.31229431028622	fit	True	173.17885421049712	True	False	False	False
10	5	q4_vs_rest	locked Q4 vs Q1+Q2+Q3	16	49	2102	15.0	65	5	5	False	1870	780	99	1	0.12692307692307692	-0.6695347618767575	1.7077977313312	-1.7077977313312	15.0	15.0	468	91	31	0.41463673688742997	5.180977664292848e-07	0		131	1.64973996921663	154	1.61075123088433	fit	True	169.07197540178882	True	False	False	False
12	5	q4_vs_rest	locked Q4 vs Q1+Q2+Q3	16	49	2105	18.0	65	5	5	False	1912	788	93	1	0.11802030456852793	-0.6382822225705564	1.80194462151439	-1.80194462151439	17.0	17.0	502	123	22	0.531281239086646	2.8092379423544294e-06	0		100	1.79308260107242	169	1.61517284554882	fit	True	167.58084980083825	True	False	False	False
20	5	q4_vs_rest	locked Q4 vs Q1+Q2+Q3	16	49	2097	29.0	65	5	5	False	1978	773	92	0	0.11901681759379043	-0.720052963287146	1.91705913943996	-1.91705913943996	29.0	28.0	560	147	21	0.6712188878643285	6.291863757479325e-07	35	2.3193392700576	119	1.84878714440887	199	1.67324445262378	fit	True	176.36944082847634	True	False	False	False
10	30	top20	within-cohort top 0.200 vs rest	15	50	1740	24.0	65	5	5	False	1293	613	83	2	0.13539967373572595	-0.759297374684751	1.96116558321238	-1.96116558321238	29.0	30.0	153	35	24	-0.0895286362154351	6.75498590616961e-08	18	2.37242128941798	105	1.87776174215385	172	1.6320966620719348	fit	True	162.77674340662753	True	False	False	False
25	3	q4_vs_rest	locked Q4 vs Q1+Q2+Q3	16	49	2103	32.0	65	5	5	False	2065	729	77	0	0.1056241426611797	-0.809051318865645	1.97492579754286	-1.97492579754286	30.0	31.0	632	191	8	0.803198166360984	3.2484011356477423e-06	25	2.53609200683634	132	1.819982417838545	263	1.43461795003585	fit	True	152.06928641080023	True	False	False	False
15	5	q4_vs_rest	locked Q4 vs Q1+Q2+Q3	16	49	2089	22.0	65	5	5	False	1940	781	74	0	0.09475032010243278	-0.701110515477168	2.013443334245255	-2.013443334245255	21.5	21.0	530	135	17	0.6661738673230645	2.0719962181556104e-06	24	2.1578499534213247	128	1.795872458038185	221	1.51154971870299	fit	True	148.99480673414888	True	False	False	False
15	5	top20	within-cohort top 0.200 vs rest	15	50	2089	22.0	65	5	5	False	1940	781	73	0	0.09346991037131883	-0.673731303462117	2.01537158617227	-2.01537158617227	21.0	21.0	530	140	16	0.7517901759410295	1.1172088347676585e-06	0		95	1.95738088518936	189	1.52251447604874	fit	True	147.1221257905757	True	False	False	False
20	30	q4_vs_rest	locked Q4 vs Q1+Q2+Q3	16	49	1573	47.0	65	5	5	False	1288	552	65	0	0.11775362318840579	-0.8128910178816405	2.4209479818234	-2.4209479818234	51.0	57.0	229	70	35	0.433796178395985	9.820090014151269e-09	30	2.77956649947479	87	2.30840324506049	148	1.791100727357755	fit	True	157.36161881852098	True	False	False	False
25	30	q4_vs_rest	locked Q4 vs Q1+Q2+Q3	16	49	1514	57.0	65	5	5	False	1272	534	43	0	0.08052434456928839	-0.777436117494525	2.53945986593933	-2.53945986593933	63.0	71.0	246	85	36	0.605111397163118	3.8668927031431644e-09	17	3.05713174097396	60	2.43529718360198	105	1.90630899285985	fit	True	109.19677423539119	True	False	False	False
30	30	q4_vs_rest	locked Q4 vs Q1+Q2+Q3	16	49	1502	69.0	65	5	5	False	1287	536	41	0	0.07649253731343283	-0.812477691893931	2.72864335449961	-2.72864335449961	68.0	85.0	266	87	34	0.4011431784575745	3.807157119954487e-10	15	3.14144036872727	60	2.2994627948220296	110	1.95049975066799	fit	True	111.87437753448401	True	False	False	False
40	30	q4_vs_rest	locked Q4 vs Q1+Q2+Q3	16	49	1399	90.0	65	5	5	False	1220	476	32	0	0.06722689075630252	-0.7602420524787284	2.907579720148755	-2.907579720148755	100.0	113.0	283	93	36	0.456639048847761	2.369266056840229e-10	14	3.4412335946633803	45	2.61099293943415	82	2.030834078997945	fit	True	93.04255104476016	True	False	False	False
