dataset	gene	source
GSE123902	ADAR	official:13/13
GSE123902	APOL6	official:13/13
GSE123902	ARID5B	official:13/13
GSE123902	ARL4A	official:13/13
GSE123902	AUTS2	official:13/13
GSE123902	B2M	official:13/13
GSE123902	BANK1	official:13/13
GSE123902	BATF2	absent:1/13;official:12/13
GSE123902	BPGM	official:13/13
GSE123902	BST2	official:13/13
GSE123902	BTG1	official:13/13
GSE123902	C1R	official:13/13
GSE123902	C1S	official:13/13
GSE123902	CASP1	official:13/13
GSE123902	CASP3	official:13/13
GSE123902	CASP4	official:13/13
GSE123902	CASP7	official:13/13
GSE123902	CASP8	official:13/13
GSE123902	CCL2	official:13/13
GSE123902	CCL5	official:13/13
GSE123902	CCL7	absent:2/13;official:11/13
GSE123902	CCRL2	official:13/13
GSE123902	CD274	official:13/13
GSE123902	CD38	official:13/13
GSE123902	CD40	official:13/13
GSE123902	CD47	official:13/13
GSE123902	CD69	official:13/13
GSE123902	CD74	official:13/13
GSE123902	CD86	official:13/13
GSE123902	CDKN1A	official:13/13
GSE123902	CFB	official:13/13
GSE123902	CFH	official:13/13
GSE123902	CIITA	official:13/13
GSE123902	CMKLR1	official:13/13
GSE123902	CMPK2	official:13/13
GSE123902	CMTR1	official:13/13
GSE123902	CNP	official:13/13
GSE123902	CSF1	official:13/13
GSE123902	CSF2RB	official:13/13
GSE123902	CXCL10	official:13/13
GSE123902	CXCL11	absent:2/13;official:11/13
GSE123902	CXCL9	absent:1/13;official:12/13
GSE123902	DDX58	official:13/13
GSE123902	DDX60	official:13/13
GSE123902	DHX58	official:13/13
GSE123902	EIF2AK2	official:13/13
GSE123902	EIF4E3	official:13/13
GSE123902	ELF1	official:13/13
GSE123902	EPSTI1	official:13/13
GSE123902	FAS	official:13/13
GSE123902	FCGR1A	official:13/13
GSE123902	FGL2	official:13/13
GSE123902	FPR1	official:13/13
GSE123902	GBP2	official:13/13
GSE123902	GBP4	official:13/13
GSE123902	GBP6	absent:6/13;official:7/13
GSE123902	GCH1	official:13/13
GSE123902	GMPR	official:13/13
GSE123902	GPR18	official:13/13
GSE123902	GZMA	official:13/13
GSE123902	HELZ2	official:13/13
GSE123902	HERC6	official:13/13
GSE123902	HIF1A	official:13/13
GSE123902	HLA-A	official:13/13
GSE123902	HLA-B	official:13/13
GSE123902	HLA-C	official:13/13
GSE123902	HLA-DMA	official:13/13
GSE123902	HLA-DQA1	official:13/13
GSE123902	HLA-DRB1	official:13/13
GSE123902	HLA-G	official:13/13
GSE123902	ICAM1	official:13/13
GSE123902	IDO1	absent:1/13;official:12/13
GSE123902	IFI27	official:13/13
GSE123902	IFI30	official:13/13
GSE123902	IFI35	official:13/13
GSE123902	IFI44	official:13/13
GSE123902	IFI44L	official:13/13
GSE123902	IFIH1	official:13/13
GSE123902	IFIT1	official:13/13
GSE123902	IFIT2	official:13/13
GSE123902	IFIT3	official:13/13
GSE123902	IFITM1	official:13/13
GSE123902	IFITM2	official:13/13
GSE123902	IFITM3	official:13/13
GSE123902	IFNAR2	official:13/13
GSE123902	IL10RA	official:13/13
GSE123902	IL15	official:13/13
GSE123902	IL15RA	official:13/13
GSE123902	IL18BP	official:13/13
GSE123902	IL2RB	official:13/13
GSE123902	IL4R	official:13/13
GSE123902	IL6	official:13/13
GSE123902	IL7	official:13/13
GSE123902	IRF1	official:13/13
GSE123902	IRF2	official:13/13
GSE123902	IRF4	official:13/13
GSE123902	IRF5	official:13/13
GSE123902	IRF7	official:13/13
GSE123902	IRF8	official:13/13
GSE123902	IRF9	official:13/13
GSE123902	ISG15	official:13/13
GSE123902	ISG20	official:13/13
GSE123902	ISOC1	official:13/13
GSE123902	ITGB7	official:13/13
GSE123902	JAK2	official:13/13
GSE123902	KLRK1	absent:3/13;official:10/13
GSE123902	LAMP3	official:13/13
GSE123902	LAP3	official:13/13
GSE123902	LATS2	official:13/13
GSE123902	LCP2	official:13/13
GSE123902	LGALS3BP	official:13/13
GSE123902	LPAR6	official:13/13
GSE123902	LY6E	official:13/13
GSE123902	LYSMD2	official:13/13
GSE123902	MARCHF1	alias:MARCH1:13/13
GSE123902	METTL7B	official:13/13
GSE123902	MOV10	official:13/13
GSE123902	MT2A	official:13/13
GSE123902	MTHFD2	official:13/13
GSE123902	MVB12A	official:13/13
GSE123902	MVP	official:13/13
GSE123902	MX1	official:13/13
GSE123902	MX2	official:13/13
GSE123902	MYD88	official:13/13
GSE123902	NAMPT	official:13/13
GSE123902	NCOA3	official:13/13
GSE123902	NCOA7	official:13/13
GSE123902	NFKB1	official:13/13
GSE123902	NFKBIA	official:13/13
GSE123902	NLRC5	official:13/13
GSE123902	NMI	official:13/13
GSE123902	NOD1	official:13/13
GSE123902	NUB1	official:13/13
GSE123902	NUP93	official:13/13
GSE123902	OAS1	official:13/13
GSE123902	OAS2	official:13/13
GSE123902	OAS3	official:13/13
GSE123902	OASL	official:13/13
GSE123902	OGFR	official:13/13
GSE123902	P2RY14	official:13/13
GSE123902	PARP12	official:13/13
GSE123902	PARP14	official:13/13
GSE123902	PARP9	official:13/13
GSE123902	PDE4B	official:13/13
GSE123902	PELI1	official:13/13
GSE123902	PFKP	official:13/13
GSE123902	PIM1	official:13/13
GSE123902	PLA2G4A	official:13/13
GSE123902	PLSCR1	official:13/13
GSE123902	PML	official:13/13
GSE123902	PNP	official:13/13
GSE123902	PNPT1	official:13/13
GSE123902	PROCR	official:13/13
GSE123902	PSMA2	official:13/13
GSE123902	PSMA3	official:13/13
GSE123902	PSMB10	official:13/13
GSE123902	PSMB2	official:13/13
GSE123902	PSMB8	official:13/13
GSE123902	PSMB9	official:13/13
GSE123902	PSME1	official:13/13
GSE123902	PSME2	official:13/13
GSE123902	PTGS2	official:13/13
GSE123902	PTPN1	official:13/13
GSE123902	PTPN2	official:13/13
GSE123902	PTPN6	official:13/13
GSE123902	RAPGEF6	official:13/13
GSE123902	RBCK1	official:13/13
GSE123902	RIPK1	official:13/13
GSE123902	RIPK2	official:13/13
GSE123902	RNF213	official:13/13
GSE123902	RNF31	absent:2/13;official:11/13
GSE123902	RSAD2	official:13/13
GSE123902	RTP4	official:13/13
GSE123902	SAMD9	official:13/13
GSE123902	SAMD9L	official:13/13
GSE123902	SAMHD1	official:13/13
GSE123902	SECTM1	official:13/13
GSE123902	SELL	official:13/13
GSE123902	SELP	absent:4/13;official:9/13
GSE123902	SERPING1	official:13/13
GSE123902	SLAMF7	absent:1/13;official:12/13
GSE123902	SLC25A28	official:13/13
GSE123902	SOCS1	official:13/13
GSE123902	SOCS3	official:13/13
GSE123902	SOD2	official:13/13
GSE123902	SP110	official:13/13
GSE123902	SPPL2A	official:13/13
GSE123902	SRI	official:13/13
GSE123902	SSPN	official:13/13
GSE123902	ST3GAL5	official:13/13
GSE123902	ST8SIA4	official:13/13
GSE123902	STAT1	official:13/13
GSE123902	STAT2	official:13/13
GSE123902	STAT3	official:13/13
GSE123902	STAT4	official:13/13
GSE123902	TAP1	official:13/13
GSE123902	TAPBP	official:13/13
GSE123902	TDRD7	official:13/13
GSE123902	TENT5A	alias:FAM46A:13/13
GSE123902	TMEM140	official:13/13
GSE123902	TNFAIP2	official:13/13
GSE123902	TNFAIP3	official:13/13
GSE123902	TNFAIP6	official:13/13
GSE123902	TNFSF10	official:13/13
GSE123902	TOR1B	official:13/13
GSE123902	TRAFD1	official:13/13
GSE123902	TRIM14	official:13/13
GSE123902	TRIM21	official:13/13
GSE123902	TRIM25	official:13/13
GSE123902	TRIM26	official:13/13
GSE123902	TRIM5	official:13/13
GSE123902	TXNIP	official:13/13
GSE123902	UBA7	official:13/13
GSE123902	UBE2L6	official:13/13
GSE123902	UPP1	official:13/13
GSE123902	USP18	official:13/13
GSE123902	VAMP5	official:13/13
GSE123902	VAMP8	official:13/13
GSE123902	VCAM1	official:13/13
GSE123902	WARS1	alias:WARS:13/13
GSE123902	XAF1	official:13/13
GSE123902	XCL1	official:13/13
GSE123902	ZBP1	official:13/13
GSE123902	ZNFX1	official:13/13
GSE123902	ACTR2	official:13/13
GSE123902	APLF	official:13/13
GSE123902	ASTE1	official:13/13
GSE123902	ATM	official:13/13
GSE123902	ATP23	official:13/13
GSE123902	AUNIP	absent:2/13;official:11/13
GSE123902	CYREN	alias:C7orf49:13/13
GSE123902	DCLRE1A	official:13/13
GSE123902	DCLRE1B	official:13/13
GSE123902	DCLRE1C	official:13/13
GSE123902	DEK	official:13/13
GSE123902	DNTT	absent:12/13;official:1/13
GSE123902	ERCC1	official:13/13
GSE123902	ERCC4	official:13/13
GSE123902	ERCC6	official:13/13
GSE123902	ERCC6L2	official:13/13
GSE123902	ERCC8	official:13/13
GSE123902	FH	official:13/13
GSE123902	HELQ	official:13/13
GSE123902	HMCES	official:13/13
GSE123902	HMGA2	absent:4/13;official:9/13
GSE123902	HMGB1	official:13/13
GSE123902	HMGB2	official:13/13
GSE123902	HSF1	official:13/13
GSE123902	IFFO1	official:13/13
GSE123902	KDM2A	official:13/13
GSE123902	KDM4D	absent:1/13;official:12/13
GSE123902	KMT5B	official:13/13
GSE123902	KMT5C	official:13/13
GSE123902	LIG3	official:13/13
GSE123902	LIG4	official:13/13
GSE123902	LMNA	official:13/13
GSE123902	MAD2L2	official:13/13
GSE123902	MLH1	official:13/13
GSE123902	MRE11	alias:MRE11A:13/13
GSE123902	MRNIP	alias:C5orf45:13/13
GSE123902	NBN	official:13/13
GSE123902	NHEJ1	absent:5/13;official:8/13
GSE123902	NSD2	alias:WHSC1:13/13
GSE123902	NSMCE2	official:13/13
GSE123902	NUDT16L1	official:13/13
GSE123902	PARP3	official:13/13
GSE123902	PAXX	alias:C9orf142:13/13
GSE123902	PLK1	official:13/13
GSE123902	PNKP	official:13/13
GSE123902	POLA1	official:13/13
GSE123902	POLB	official:13/13
GSE123902	POLL	official:13/13
GSE123902	POLM	official:13/13
GSE123902	POLQ	absent:2/13;official:11/13
GSE123902	POT1	official:13/13
GSE123902	PRKDC	official:13/13
GSE123902	PRPF19	official:13/13
GSE123902	PSMD14	official:13/13
GSE123902	RHNO1	official:13/13
GSE123902	RIF1	official:13/13
GSE123902	RNF168	official:13/13
GSE123902	RNF8	official:13/13
GSE123902	SETMAR	official:13/13
GSE123902	SHLD1	alias:C20orf196:13/13
GSE123902	SHLD2	alias:FAM35A:13/13
GSE123902	SHLD3	absent:13/13
GSE123902	SMARCAL1	official:13/13
GSE123902	SMC5	official:13/13
GSE123902	SMCHD1	official:13/13
GSE123902	TFIP11	official:13/13
GSE123902	TOP2B	official:13/13
GSE123902	TOPBP1	official:13/13
GSE123902	TP53BP1	official:13/13
GSE123902	USP51	official:13/13
GSE123902	UVRAG	official:13/13
GSE123902	WAS	official:13/13
GSE123902	WRAP53	official:13/13
GSE123902	XRCC1	official:13/13
GSE123902	XRCC4	official:13/13
GSE123902	XRCC5	official:13/13
GSE123902	XRCC6	official:13/13
GSE123902	ZBTB7A	official:13/13
GSE123902	CGAS	alias:MB21D1:13/13
GSE123902	DDX41	official:13/13
GSE123902	DTX4	official:13/13
GSE123902	IFI16	official:13/13
GSE123902	IRF3	official:13/13
GSE123902	NLRC3	absent:1/13;official:12/13
